 33 NGVS-UCD33  NGVS-J121252.91+124121.4 l 183.2204675 12.6892760 0.030 21.086 0.004               1.001 0.011  0.649 0.007  0.680 0.012  0.055 0
 34 NGVS-UCD34  NGVS-J121305.54+125312.0 l 183.2730893 12.8866545 0.033 20.426 0.002 18.115 0.173  0.853 0.006  0.669 0.004  0.762 0.006  0.083 1
 35 NGVS-UCD35  NGVS-J121310.81+111925.2 l 183.2950532 11.3236761 0.032 21.498 0.004               0.899 0.014  0.654 0.009  0.663 0.022  0.062 1
 36 NGVS-UCD36  NGVS-J121315.42+100737.1 l 183.3142622 10.1269729 0.022 21.316 0.004               0.973 0.012  0.657 0.008  0.688 0.011  0.023 1
 37 NGVS-UCD37  NGVS-J121330.29+104301.9 l 183.3762015 10.7172051 0.027 20.927 0.003               0.885 0.009  0.608 0.007  0.681 0.011  0.039 1
 38 NGVS-UCD38  NGVS-J121343.77+130338.6 l 183.4323907 13.0607096 0.030 21.451 0.004               0.904 0.010  0.789 0.007  0.855 0.011  0.038 0
 39 NGVS-UCD39  NGVS-J121350.12+113906.9 l 183.4588402 11.6519070 0.028 20.877 0.002               0.879 0.006  0.636 0.005  0.683 0.008  0.014 1
 40 NGVS-UCD40  NGVS-J121350.50+104136.6 l 183.4604291 10.6935073 0.027 21.160 0.003               0.956 0.009  0.569 0.007  0.660 0.011  0.088 0
 41 NGVS-UCD41  NGVS-J121356.25+134035.2 s 183.4843746 13.6764551 0.030 17.952 0.004 14.486 0.007                            1.381 0.010  0.222 0
 42 NGVS-UCD42  NGVS-J121431.28+094514.4 l 183.6303525  9.7540128 0.017 20.279 0.002 17.659 0.107  0.983 0.005  0.688 0.004  0.847 0.004  0.042 1
 43 NGVS-UCD43  NGVS-J121435.75+160829.8 l 183.6489700 16.1416151 0.033 18.775 0.001               0.926 0.002  0.732 0.002  0.891 0.002  0.224 0
 44 NGVS-UCD44  NGVS-J121441.47+135441.2 l 183.6727962 13.9114378 0.029 21.480 0.004               0.927 0.011  0.647 0.008  0.727 0.014 -0.005 1
 45 NGVS-UCD45  NGVS-J121452.31+160446.7 l 183.7179418 16.0796349 0.032 21.135 0.003               0.908 0.011  0.763 0.006  0.820 0.012 -0.011 0
 46 NGVS-UCD46  NGVS-J121501.26+144034.0 l 183.7552498 14.6760998 0.034 20.971 0.002               1.120 0.009  0.739 0.005  0.829 0.009  0.051 1
 47 NGVS-UCD47  NGVS-J121504.62+064925.6 l 183.7692606  6.8237857 0.018 20.722 0.002 18.196 0.197  1.085 0.007  0.840 0.004  0.902 0.005 -0.023 0
 48 NGVS-UCD48  NGVS-J121507.37+143317.2 l 183.7806964 14.5547768 0.034 20.962 0.002               0.897 0.008  0.654 0.005  0.736 0.009  0.008 1
 49 NGVS-UCD49  NGVS-J121514.93+083530.2 l 183.8122140  8.5917108 0.017 21.336 0.004               1.146 0.012  0.784 0.007  0.825 0.010 -0.027 1
 50 NGVS-UCD50  NGVS-J121516.14+132830.5 l 183.8172668 13.4751404 0.031 19.957 0.002 16.605 0.042  0.765 0.005  0.564 0.003  0.623 0.004 -0.213 0
 51 NGVS-UCD51  NGVS-J121520.46+114351.2 l 183.8352681 11.7308932 0.025 21.221 0.003               0.920 0.011  0.679 0.008  0.730 0.009  0.021 1
 52 NGVS-UCD52  NGVS-J121531.90+161654.9 l 183.8829061 16.2819090 0.035 21.353 0.004               0.882 0.011  0.797 0.006  0.852 0.012  0.018 1
 53 NGVS-UCD53  NGVS-J121533.95+065102.2 l 183.8914576  6.8506000 0.018 21.480 0.004               1.037 0.013  0.821 0.007  0.901 0.009  0.002 1
 54 NGVS-UCD54  NGVS-J121542.84+065024.4 l 183.9285083  6.8401028 0.019 21.298 0.003               1.031 0.011  0.705 0.007  0.776 0.008  0.007 1
 55 NGVS-UCD55  NGVS-J121543.62+080052.7 l 183.9317469  8.0146495 0.021 21.350 0.005               0.868 0.013  0.732 0.010  0.768 0.014 -0.035 1
 56 NGVS-UCD56  NGVS-J121559.52+161819.4 l 183.9980129 16.3053961 0.033 21.034 0.003               1.006 0.013  0.827 0.007  0.943 0.011  0.023 1
