rank,tier,objname,ra,dec,glat,glon,dist_best,dist_source,M_Ks,log_L_K,L_K,m_Ks,m_W1,m_W2,dm_trgb,dm_sbf,dm_tf,dm_fp,ttype_lvg,bmag,kmag,z,hyperleda_type,hyperleda_t
1,1,NGC 1316,50.673754,-37.207939,-56.69016585371814,240.1623183091848,19.76969640111861,CF4,-25.893000000000004,11.669200000000004,466874334392.0226,5.587,5.1058764,5.128447,31.35,31.614,,30.096,,,,0.0060100001282989,SO,
2,1,MESSIER 049,187.44484125,8.00047583333,70.19608097473625,286.92178609311827,16.726304546595625,CF4,-25.720999999999997,11.6004,398474009717.7756,5.396,5.0204654,5.118674,,31.124,,30.856,,,,0.0032720000017434,E,
3,1,NGC 2974,145.6387045,-3.6991485,35.01421079392015,239.5122433735335,22.428488158692858,CF4,-25.49900000000001,11.511600000000003,324788018763.5394,6.255,6.369305,5.982826,,31.754,,,,,,0.0062939999625086,E,
4,1,MESSIER 060,190.9166453,11.5526118,74.31775761986307,295.87341160925473,16.6571232806881,CF4,-25.368999999999996,11.4596,288137643483.97,5.739,5.4133105,5.4660797,,31.094,,31.656,,,,0.003703000023961,,
5,1,MESSIER 087,187.705930779167,12.3911232583333,74.49115453910551,283.77775502280457,16.85776517828977,CF4,-25.322,11.4408,275930685581.7517,5.812,5.39706,5.440462,,31.134,,,,,,0.0042829997837543,E,
6,1,NGC 1399,54.6209166666667,-35.4501944444444,-53.63586625891352,236.71549088504472,20.739582044538317,CF4,-25.277999999999995,11.4232,264972009887.89612,6.306,5.751033,5.8014064,,31.564,,32.196,,,,0.0047530001029372,E,
7,1,NGC 4753,193.091951,-1.1996105,61.67125273576919,303.4217243994919,24.479356661960654,CF4,-25.222,11.400800000000002,251651776161.4655,6.722,6.4559145,6.4688225,,31.944,,,,,,0.003878999967128,SO,
8,1,NGC 3923,177.7571327,-28.8059408,32.22259651447907,287.27553198398056,21.777097723531604,CF4,-25.19,11.388,244343055269.39713,6.5,6.056142,6.1285744,,31.834,,31.206,,,,0.0058010001666843,E,
9,1,MESSIER 088,187.9965382,14.4202706,76.50767487155558,282.3288490302198,19.453600816226633,CF4,-25.178,11.383200000000002,241657345143.684,6.267,6.062656,5.9793005,,,31.445,,,,,0.0076190000399947,Sb,
10,1,NGC 4365,186.11785208333,7.31767277778,69.1820878189861,283.8075031036484,22.636016404497504,CF4,-25.134,11.3656,232059846159.8925,6.64,6.442244,6.5170403,,31.774,,31.776,,,,0.0041459999047219,E,
