rank,tier,objname,ra,dec,glat,glon,dist_best,dist_source,M_Ks,log_L_K,L_K,m_Ks,m_W1,m_W2,dm_trgb,dm_sbf,dm_tf,dm_fp,ttype_lvg,bmag,kmag,z,has_ls_dr10
122,1,NGC 4013,179.6304505,43.94741316,70.0883174239804,151.8646743745294,19.471526498538996,CF4,-23.812999999999995,10.8372,68738491959.0322,7.634,7.342145,7.229348,,,31.345,,,,,0.0027729999274015,True
123,1,NGC 4448,187.0642795,28.6203282,84.66503181924318,195.3509536231602,21.134890398366466,CF4,-23.812,10.836800000000002,68675210614.88215,7.813,7.9240394,7.9259562,,,31.625,,,,,0.0021949999500066,True
124,1,NGC 3245,156.8266285,28.5073896,58.22062119157489,201.9052938975536,21.617227843354705,CF4,-23.812,10.8368,68675210614.88187,7.862,7.7359886,7.7489285,,31.674,,,,,,0.0044229999184608,True
125,1,NGC 4438,186.9401863,13.00888491,74.83273090808684,280.34746229193667,16.398344276265377,CF4,-23.808999999999997,10.8356,68485715912.58549,7.265,6.768695,6.7545714,,31.074,,,,,,0.0002370000001974,True
126,1,NGC 4435,186.9187721,13.07902392,74.89103331177077,280.1781270684918,16.62646796893536,CF4,-23.807,10.8348,68359676683.81067,7.297,7.5213237,7.555875,,31.104,,,,,,0.0026380000635981,True
127,1,MESSIER 099,184.7068087,14.4164937,75.1898575363834,270.43113521544535,13.933917999267578,NED-LVS,-23.791366251973663,10.828546500789466,67382403931.23587,6.929,6.6720586,6.489906,,,,,,,,0.0080260001122951,True
128,1,NGC 0289,13.176134,-31.2058643,-85.91303154583862,299.12899416262775,22.750974307720703,CF4,-23.788000000000004,10.827200000000005,67173812854.73855,7.997,7.7706237,7.73951,,,31.785,,,,,0.0054339999333024,True
129,1,NGC 4278,185.02843911375,29.2807537430556,82.77274433942327,193.78236974339433,15.588344677043889,CF4,-23.78,10.824,66680676921.36219,7.184,7.000283,7.0542684,,30.964,,,-2.0,11.1,6.8,0.0021649999544024,True
130,1,NGC 2434,113.7132527,-69.2841232,-21.54434517294834,281.00021368646674,21.517905703397552,CF4,-23.778,10.823200000000002,66557959636.72318,7.886,7.621259,7.6286607,,31.664,,,,,,0.0046370001509785,True
131,1,NGC 2903,143.04213,21.50083,44.54009672280068,208.71150968666623,9.15,LVG,-23.771105470332245,10.8204421881329,66136649267.03832,6.036,5.6800594,5.6056614,29.76,,29.815,,4.0,9.5,6.0,0.0018339999951422,True
132,1,MESSIER 096,161.690353,11.820001,57.01023663520777,234.43502647416187,10.42,LVG,-23.76933859481753,10.819735437927012,66029109152.83863,6.32,5.99824,5.984171,30.19,30.144,30.165,,3.0,10.1,6.3,0.0029619999695569,True
133,1,NGC 4251,184.534731,28.175346,82.55366778885039,202.9296419821008,19.80614708971741,CF4,-23.757,10.814800000000002,65282984415.86168,7.727,7.646213,7.6629224,,31.484,,,,,,0.0035560000687837,True
134,1,NGC 2855,140.3645449,-11.909521,25.85463395123704,243.32631893737175,22.0394118181011,CF4,-23.748,10.8112,64744070456.88171,7.968,7.724239,7.701568,,,,31.716,,,,0.0063280002214014,True
135,1,NGC 0596,23.216288,-7.03162,-67.62664875295157,150.8851748079036,22.01912211484476,CF4,-23.738999999999997,10.8076,64209605256.75953,7.975,,,,31.714,,,,,,0.00634799990803,True
136,1,NGC 4157,182.768173,50.485004,65.40791962605526,138.4711748338917,16.557699634695275,CF4,-23.732,10.8048,63796962266.257935,7.363,7.099882,6.9274077,,,31.095,,,,,0.0025720000267028,True
137,1,NGC 4527,188.535275,2.654004,65.1780630254013,292.59613730833814,13.511170387268066,NED-LVS,-23.72046485418361,10.800185941673446,63122754451.34102,6.933,6.6886945,6.523603,,,,,,,,0.0057910000905394,True
138,1,NGC 4217,183.96208,47.091778,68.8468165188675,139.89777221476623,18.15515662773137,CF4,-23.713,10.797200000000002,62690249747.61678,7.582,7.1958127,7.0585527,,,31.295,,,,,0.0034290000330656,True
139,1,NGC 3608,169.245666,18.1487181,66.48123768006907,230.40233213348333,22.95091476024225,CF4,-23.708,10.7952,62402214213.89785,8.096,7.70598,7.77093,,31.804,,,,,,0.0041800001636147,True
140,1,MESSIER 101,210.80226708333,54.34895,59.771296494849686,102.0373660508558,6.95,LVG,-23.697924022950566,10.791169609180228,61825780713.402,5.512,5.121573,5.0427136,29.07,,,,6.0,8.3,5.5,0.0008040000102482,True
141,1,NGC 3338,160.5313321,13.74705,57.019372342784784,230.33093672507377,23.067471887200703,CF4,-23.684000000000005,10.785600000000002,61037958555.85339,8.131,8.506895,8.464418,,,31.815,,,,,0.0043359999544918,True
142,1,NGC 7332,339.3522763,23.7982705,-29.669149994164545,87.38890685639848,21.817249589882987,CF4,-23.682,10.784800000000002,60925625974.96594,8.012,7.9236245,7.931679,,31.694,,,,,,0.0039929999038577,True
143,1,NGC 2681,133.3863588,51.3137002,39.67978931935843,167.32560350649334,16.703212258150426,CF4,-23.680000000000003,10.784000000000002,60813500127.87214,7.434,7.345608,7.3012805,,31.114,,,,,,0.0023080001119524,True
144,1,NGC 1302,49.9633458,-26.0605439,-56.92548142751843,219.69816677556096,20.0,NED-LVS,-23.678149978319908,10.783259991327965,60709966234.4503,7.827,7.5548162,7.5420566,,,,,,,,0.0057040001265704,True
145,1,NGC 4800,193.6573642,46.5311559,70.58686008931932,121.28027229638464,24.851314544677734,NED-LVS,-23.676746831423255,10.782698732569305,60631558625.125336,8.3,8.177045,8.126889,,,,,,,,0.0027899302076548,True
146,1,MESSIER 098,183.451242,14.90052564,74.95992316618977,265.4317458012072,12.95089340209961,NED-LVS,-23.67349864371524,10.781399457486096,60450438772.740845,6.888,6.6628695,6.617974,,,,,,,,-0.0004740000003948,True
147,1,NGC 4596,189.9831309,10.1762059,72.83241667898,293.29913806211647,16.780310782909552,CF4,-23.661,10.776400000000002,59758542971.55761,7.463,7.122512,7.1588364,,31.124,,,,,,0.0063109998591244,True
148,1,NGC 1201,46.0332852,-26.069671,-60.40430925512173,218.5422986340192,18.281002161427416,CF4,-23.633999999999993,10.7656,58290797886.72325,7.676,7.6005535,7.6393867,,31.298,,31.116,,,,0.0056239999830722,True
149,1,NGC 2683,133.1720971,33.42185359,38.76067682007145,190.45464959292303,9.82,LVG,-23.63255743893475,10.7650229755739,58213401371.65472,6.328,6.121535,6.103733,29.91,29.394,30.225,,3.0,10.3,6.3,0.0013709999620914,True
150,1,NGC 5775,223.4899816,3.5445043,52.42300484913149,359.43173291705824,19.010782799232995,CF4,-23.632,10.7648,58183521104.80731,7.763,7.3223696,7.1137633,,,31.395,,,,,0.0055905343033373,True
151,1,NGC 4102,181.5960329,52.7110309,63.07213006085789,138.07881073994972,18.57804455091697,CF4,-23.63,10.764,58076441752.131355,7.715,7.47192,7.246677,,,31.345,,,,,0.0026197999250143,True
152,1,NGC 4754,193.0729442,11.3138478,74.18432203362254,303.6999635082485,16.173350557998514,CF4,-23.629999999999995,10.764,58076441752.13112,7.414,7.335161,7.3701,,31.044,,,,,,0.0045059998519718,True
153,1,NGC 1448,56.132835,-44.644764,-51.39409259254497,251.52225726496889,18.06342083169975,CF4,-23.624,10.7616,57756384639.453514,7.66,7.3060527,7.19321,31.33,,31.105,,,,,0.0038960000965744,True
154,1,NGC 1947,81.698084,-63.7598884,-33.43867120251335,273.32111453962995,16.847488403320312,NED-LVS,-23.622675830523427,10.761070332209371,57685987591.812454,7.51,7.0676103,7.0914536,,,,,,,,0.0036689999978989,True
155,1,NGC 2146,94.65713,78.35702,24.896257142333003,135.65342242182803,13.68182373046875,NED-LVS,-23.61771995449693,10.759087981798771,57423278170.47694,7.063,6.4291096,6.090711,,,,,,,,0.0029987411107867,True
156,1,NGC 4151,182.635755,39.405849,75.06307730144366,155.07701604117108,15.812480392703842,CF4,-23.613999999999997,10.7576,57226870922.28432,7.381,6.93299,6.1207037,,,,,,,,0.0033256339374929,True
157,1,NGC 3626,170.0158447,18.3568417,67.22807408850423,230.7669380735382,22.50090572279306,CF4,-23.60299999999999,10.7532,56650011191.953255,8.158,7.980915,7.943786,,31.574,32.305,,,,,0.0049829999916255,True
158,1,NGC 4845,194.5049885,1.575672689,64.39873090411963,306.74088737418543,19.010782799232995,CF4,-23.600999999999996,10.7524,56545754068.762085,7.794,7.5638185,7.4677877,,,31.395,,,,,0.0036629999522119,True
159,1,NGC 1527,62.100435,-47.896892,-46.70982734441013,255.1458267286312,17.546883796679143,CF4,-23.591000000000005,10.748400000000004,56027339479.38017,7.63,7.5077796,7.529515,,31.264,,30.996,,,,0.004042999818921,True
160,1,NGC 5101,200.4423649,-27.4304161,34.95697235356267,311.1480272881844,14.099379493587223,CF4,-23.589999999999996,10.748,55975760149.51093,7.156,6.929438,6.9773245,,,,30.746,,,,0.0062310001812875,True
161,1,NGC 5506,213.311982,-3.207694,53.81004418259331,339.15018457514725,22.67437171936035,NED-LVS,-23.589676310502966,10.747870524201188,55959074636.978134,8.188,7.2533145,6.201662,,,,,,,,0.0060840002261102,True
162,1,NGC 7814,0.8121263,16.1453085,-45.17479160594727,106.40883176276326,13.551894123510364,CF4,-23.576000000000004,10.742400000000004,55258615563.00826,7.084,6.884805,6.8856263,30.73,30.464,31.135,,,,,0.0035059999208897,True
163,1,NGC 4442,187.0162691,9.8036952,71.81918796175134,284.17700865186737,14.84567675052273,CF4,-23.563999999999997,10.7376,54651237451.987274,7.294,7.223136,7.271329,,30.854,,31.046,,,,0.0018250000430271,True
164,1,NGC 1079,40.9347178,-29.0032519,-65.2130877452559,223.88321016385763,24.043628000069347,CF4,-23.561,10.7364,54500438934.17634,8.344,8.197189,8.206887,,,31.905,,,,,0.004842999856919,True
165,1,NGC 4710,192.4118316,15.1657777,78.03028031975302,300.84823218064787,16.799999237060547,NED-LVS,-23.559546310016103,10.735818524006442,54427517236.2066,7.567,7.4646297,7.4356284,,,,,,,,0.0036760000512003,True
166,1,NGC 1617,67.9141563,-54.6020803,-41.83484129029248,263.3432895576654,13.399999618530272,NED-LVS,-23.5585239300068,10.73540957200272,54376289862.279915,7.077,6.9928265,7.009348,,,,,,,,0.003565999912098,True
167,1,NGC 1187,45.6566278,-22.8670987,-60.05622413314996,212.0906911796055,21.428906011200596,CF4,-23.554,10.733600000000004,54150191895.34928,8.101,7.7706685,7.644284,,,31.655,,,,,0.0046370001509785,True
168,1,NGC 4203,183.7710248,33.1973666,80.07873764208777,173.0319395807379,15.516722739072344,CF4,-23.548,10.7312,53851772199.75295,7.406,7.3672423,7.379958,,30.954,,,,,,0.0036230001132935,True
169,1,NGC 5473,211.1801117,54.8926431,59.19627717534837,102.26027831596176,23.82792282104492,NED-LVS,-23.527430923717763,10.722972369487106,52841163230.847115,8.358,8.240506,8.29003,,,,,,,,0.0067449999041855,True
170,1,NGC 7177,330.171708,17.737955,-28.958217426809423,75.36668539042239,21.837234497070312,NED-LVS,-23.52498818877388,10.721995275509554,52722412596.22122,8.171,8.034661,8.018796,,,,,,,,0.0038330000825226,True
171,1,NGC 4388,186.444922333333,12.6621558611111,74.3355428226316,279.12131376592004,20.183663636815595,CF4,-23.521,10.7204,52529104845.005005,8.004,7.6524515,7.2997026,,,31.525,,,,,0.0084189996123313,True
172,1,NGC 4100,181.535557,49.582504,65.91649535106305,141.11031954289652,20.3704207770572,CF4,-23.511000000000003,10.716400000000002,52047515117.05247,8.034,7.7358575,7.6317244,,,31.545,,,,,0.0035840000491589,True
173,1,NGC 4419,186.735206,15.0474614,76.64269938680208,276.4470937186803,17.52142333984375,NED-LVS,-23.480846914277866,10.704338765711146,50621937781.89528,7.737,7.6588073,7.5808463,,,,,,,,-0.0008709999965503,True
174,1,NGC 1415,55.2368696,-22.5645688,-51.45285993238621,215.73286693031363,22.542392121524305,CF4,-23.475,10.702000000000002,50350060878.79068,8.29,8.017522,7.9384727,,,31.765,,,,,0.0051769148558378,True
175,1,IC 5271,344.5077751,-33.7422596,-64.76586933837697,10.79266799405726,23.49632820848307,CF4,-23.47499999999999,10.701999999999998,50350060878.79027,8.38,8.181241,8.127295,,,31.855,,,,,0.0057290000841021,True
176,1,NGC 4535,188.5845809,8.1979153,70.64149556394949,290.0713548260716,14.832009671818756,CF4,-23.472,10.7008,50211130546.995476,7.384,6.920084,6.7835517,,,31.265,,,,,0.0065509998239576,True
177,1,NGC 4570,189.2223887,7.246566,69.82085488908791,292.42068894728044,17.09228005234333,CF4,-23.472,10.7008,50211130546.995476,7.692,7.6160555,7.631439,,31.164,,31.186,,,,0.0059609999880194,True
178,1,NGC 5850,226.7819987,1.5442673,48.63596884639939,0.5161121293333547,20.590415954589844,NED-LVS,-23.464325600248593,10.69773024009944,49857470401.25287,8.104,7.859785,7.9074945,,,,,,,,0.0084887156262993,True
179,1,NGC 1084,41.49958,-7.578464,-56.55446856389591,182.48068082281105,18.92343618644977,CF4,-23.455,10.694,49431068698.68364,7.93,7.4601235,7.2458763,,,31.275,,,,,0.0047070002183318,True
180,1,NGC 4293,185.3033969,18.3825838,78.82483660183779,262.8514358935635,15.358440399169922,NED-LVS,-23.452735583547955,10.693094233419185,49328082464.71514,7.479,7.2846723,7.2114196,,,,,,,,0.0030030615162104,True
181,1,NGC 3301,159.2335299,21.882149,59.050323844671304,215.23107627668247,24.791662216186523,NED-LVS,-23.449528230272456,10.691811292108984,49182578308.48099,8.522,8.35159,8.321975,,,,,,,,0.0044660000130534,True
182,1,NGC 7205,332.1430106,-57.4425982,-48.36046539906479,334.824168644169,18.749945080674173,CF4,-23.443999999999996,10.6896,48932792408.19356,7.921,7.688524,7.561546,,,31.365,,,,,0.0056230002082884,True
183,1,NGC 1559,64.398961,-62.783699,-41.198289699662624,274.51057617040016,19.57942799877064,CF4,-23.440999999999995,10.6884,48797772728.64855,8.018,7.542126,7.333165,,,30.405,,,,,0.0043500000610947,True
184,1,NGC 1515,61.0111246,-54.100171,-45.85117428980712,264.09499262420434,17.988709151287864,CF4,-23.44,10.688,48752849010.3387,7.835,7.592273,7.5383835,,,31.275,,,,,0.0039200000464916,True
185,1,NGC 3998,179.48388875,55.45358944444,60.06334884847162,138.1723355398079,14.41451385758211,CF4,-23.429,10.683600000000002,48261409326.85232,7.365,7.2597895,7.273738,,30.794,,,,,,0.0034008000511676,True
186,1,NGC 3705,172.53135,9.27667,63.78580339499931,252.02142481807476,18.57804455091697,CF4,-23.426,10.6824,48128242186.76037,7.919,7.7262244,7.655968,,,31.345,,,,,0.003396000014618,True
187,1,IC 5181,333.3403464,-46.0175499,-53.597611798379326,351.05828460132875,20.892641067504883,NED-LVS,-23.425966716068046,10.68238668642722,48126766807.586685,8.174,8.134127,8.160319,,,,,,,,0.006628000177443,True
188,1,NGC 4051,180.7900304,44.5313083,70.08515859955028,148.8831232947105,16.542456450577305,CF4,-23.423,10.681200000000002,47995442493.194695,7.67,7.233459,6.9275193,,,30.155,,,,,0.0023360000923275,True
189,1,NGC 1461,57.1131176,-16.3930889,-47.75161356869105,207.62830217307143,22.418960571289062,NED-LVS,-23.414077365867016,10.677630946346808,47602629847.28027,8.339,8.294118,8.35614,,,,,,,,0.0048929997719824,True
190,1,NGC 3673,171.3036239,-26.7366972,32.2828791142364,280.09427618334735,24.60367604147625,CF4,-23.408,10.6752,47336920334.830185,8.547,8.294701,8.29003,,,31.955,,,,,0.0064710001461207,True
191,1,NGC 1317,50.6845795,-37.1035751,-56.69322420476801,239.97170290939175,16.899999618530273,NED-LVS,-23.402433474053517,10.672973389621408,47094846924.69494,7.737,7.5421624,7.52569,,,,,,,,0.0064739999361336,True
192,1,NGC 4371,186.2309385,11.7041666,73.36705776596597,279.67306258066935,16.703212258150426,CF4,-23.396000000000004,10.670400000000004,46816613972.43671,7.718,7.5055914,7.5368133,,31.114,,,,,,0.0031119999475777,True
193,1,NGC 1326,50.9850597,-36.4644865,-56.51752503091926,238.7727309495639,14.786736488342283,NED-LVS,-23.395361667314184,10.670144666925674,46789097351.394455,7.454,7.3066983,7.2917433,,,,,,,,0.0045369998551905,True
194,1,NGC 7145,328.3343814,-47.882361,-49.797945936122574,349.69814733272415,23.92213847512053,CF4,-23.388,10.6672,46472924167.6205,8.506,8.227541,8.22822,,31.894,,,,,,0.0065609999001026,True
195,1,NGC 5248,204.3834315,8.8852522,68.75059719571874,335.929584275573,13.396766874259358,CF4,-23.382000000000005,10.664800000000003,46216813609.2248,7.253,7.0345325,6.903284,,,30.635,,,,,0.0038389998953789,True
196,1,NGC 3885,176.6935945,-27.9222494,32.80356307616914,285.91348295943754,22.43881923782765,CF4,-23.380000000000003,10.664,46131757456.03809,8.375,8.138539,8.020632,,,31.755,,,,,0.0065109999850392,True
197,1,MESSIER 090,189.2075329,13.1629433,75.62285607038847,288.4672965181917,9.790959358215332,NED-LVS,-23.37312623918228,10.661250495672911,45840621349.77668,6.581,6.490379,6.4334173,,,,,,,,-0.0007839999743737,True
198,1,NGC 4546,188.8729132,-3.7931266,58.8398679893169,295.2272815953799,14.216739313080032,CF4,-23.373000000000005,10.661200000000004,45835291743.81916,7.391,7.269589,7.306874,,30.764,,,,,,0.0035260000731796,True
199,1,NGC 3184,154.570575,41.424278,55.637747121286814,178.33515798063712,13.134090365327332,CF4,-23.366999999999997,10.6588,45582695154.01936,7.225,6.8498464,6.755017,,,,,6.0,10.4,7.2,0.0019409999949857,True
200,1,NGC 1832,78.0139709,-15.6877964,-28.902134545487435,216.6121814746539,22.335722228305325,CF4,-23.357000000000006,10.654800000000003,45164790492.91155,8.388,8.218666,8.111296,,,31.745,,,,,0.0064679998904466,True
201,1,NGC 1425,55.5479081,-29.8934169,-52.59928511993805,227.5200129108488,21.57744409152668,CF4,-23.357,10.654800000000002,45164790492.91137,8.313,7.982008,7.9186826,,,31.725,,,,,0.0050429999828338,True
202,1,NGC 1055,40.438455,0.44333,-51.74936451165194,171.33097651414155,12.6182753459067,CF4,-23.354000000000003,10.653600000000004,45040167816.809006,7.151,6.641758,6.4827995,,,30.505,,,,,0.0033219999168068,True
203,1,NGC 4220,184.048872,47.8834312,68.13443151611614,138.94242710830173,19.81527025805098,CF4,-23.352,10.6528,44957277130.19065,8.133,8.01487,7.9879494,,,31.485,,,,,0.0030489999335259,True
204,1,NGC 3175,153.6758199,-28.8719315,22.577369084676302,266.1195536548403,16.865530253887425,CF4,-23.349000000000004,10.651600000000002,44833227043.27351,7.786,7.4947863,7.340725,,,31.135,,,,,0.0036259999033063,True
205,1,NGC 7079,323.1468529,-44.0676163,-46.93986309040618,356.32605775503504,24.277278476809965,CF4,-23.348999999999997,10.6516,44833227043.27333,8.577,8.534008,8.533773,,,,31.926,,,,0.0089530004188418,True
206,1,NGC 4536,188.6127763,2.1882354,64.73024356807247,292.94963635374216,14.79326343536377,NED-LVS,-23.33431995572812,10.645727982291248,44231124662.30735,7.516,7.191184,7.0457497,,,,,,,,0.0060310000553727,True
207,1,MESSIER 095,160.9906028,11.70374,56.36808750927369,233.95164544409533,9.95,LVG,-23.324115403728623,10.641646161491453,43817355334.83095,6.665,6.4822984,6.4779806,29.94,,30.365,,3.0,10.6,6.7,0.002597999991849,True
208,1,NGC 0150,8.571105022899998,-27.80610052792,-86.13535158555713,21.846064028365145,23.280912576650092,CF4,-23.324,10.641600000000002,43812698202.24953,8.511,8.163325,8.026569,,,31.835,,,,,0.0052939997985959,True
209,1,NGC 6340,257.6035368,72.30439,33.35534672831073,103.7166582335176,22.0,NED-LVS,-23.32111340411104,10.640445361644415,43696370144.36731,8.391,7.673893,7.675256,,,,,,,,0.0040259999223053,True
210,1,NGC 4111,181.763024,43.0657037,71.69649631163158,149.52940564559432,14.95546772744395,CF4,-23.32099999999999,10.6404,43691806338.52876,7.553,7.5386677,7.5458736,,30.874,,,,,,0.0026279999874532,True
211,1,NGC 7339,339.44467,23.78628,-29.72680265481006,87.46141695725237,23.71373705661655,CF4,-23.313,10.637200000000002,43371056350.04432,8.562,8.281293,8.107949,,,31.875,,,,,0.0044660000130534,True
212,1,NGC 1672,71.4270926,-59.2472674,-38.99005658570602,268.78389330490853,11.641569137573242,NED-LVS,-23.310057608554175,10.636023043421671,43253678058.51851,7.02,6.6405497,6.5052447,,,,,,,,0.0044399998150765,True
213,1,NGC 7742,356.0655941,10.7670279,-48.75047275718743,97.4328923085674,24.456820721043737,CF4,-23.31,10.636000000000005,43251383103.501144,8.632,8.49009,8.461488,,,,,,,,0.0055340002290904,True
214,1,NGC 1374,53.8191597,-35.2262654,-54.295184709321134,236.36215660492704,19.57942799877064,CF4,-23.296999999999997,10.6308,42736603149.69312,8.162,7.9655657,8.018898,,31.454,,31.706,,,,0.0045031150802969,True
215,1,NGC 1411,54.6870809,-44.100583,-52.52037788055664,251.0206289007293,19.44464416448129,CF4,-23.291000000000004,10.628400000000005,42501083317.604965,8.153,8.084697,8.102398,,31.444,,,,,,0.0032790000550448,True
216,1,NGC 5921,230.4853689,5.0706424,47.93848082607672,8.125447849517153,18.897310544316777,CF4,-23.286,10.6264,42305808577.65235,8.096,7.9272575,7.8531337,,,,,,,,0.0049370001070201,True
217,1,NGC 2397,110.3329987,-69.0013467,-22.59530344723884,280.29801385487065,21.727011788637434,CF4,-23.254000000000005,10.613600000000003,41077121255.339096,8.431,8.118763,7.9813323,,,31.685,,,,,0.0045199999585747,True
218,1,NGC 0660,25.760045,13.64504,-47.34689350238786,141.60733768256776,13.091819229994076,CF4,-23.249,10.611600000000005,40888389026.77003,7.336,6.8773866,6.373099,,,30.585,,,,,0.0028289998881518,True
219,1,NGC 6643,274.9440704,74.5683861,28.174406666639047,105.53573334966636,20.276827195212817,CF4,-23.248000000000005,10.611200000000004,40850746766.31285,8.287,7.7932243,7.639099,,,31.535,,,,,0.0049499999731779,True
220,1,NGC 3227,155.877395,19.8650946,55.44533293902701,216.99135297974593,14.994526863098145,NED-LVS,-23.240663832976065,10.608265533190426,40575654435.38465,7.639,7.233459,6.9778323,,,,,,,,0.0037559317424893,True
221,1,NGC 1381,54.1319087,-35.295143,-54.03816024405051,236.46878129336477,21.419039907221233,CF4,-23.230999999999995,10.604399999999998,40216104433.42117,8.423,8.315538,8.344852,,31.654,,,,,,0.0058140223845839,True
222,1,NGC 4350,185.9910404,16.6933646,77.7803698946793,270.1666536611167,16.099040762157053,CF4,-23.219,10.5996,39774066910.50286,7.815,7.6956406,7.727676,,30.954,,31.536,,,,0.0040359999984502,True
223,1,NGC 3957,178.5063276,-19.5688348,41.27547257994559,284.8245971511051,23.94418172863381,CF4,-23.207,10.5948,39336888067.320305,8.689,8.451328,8.418188,,,,31.896,,,,0.0054600001312792,True
224,1,NGC 5422,210.1751107,55.1644061,59.27294640979083,103.49637608078756,24.758298873901367,NED-LVS,-23.206604006454064,10.594641602581628,39322543594.51774,8.762,8.673716,8.703423,,,,,,,,0.0061309998854994,True
225,1,NGC 1426,55.7045461,-22.1083336,-50.91125197144301,215.22351178708857,23.735588276908953,CF4,-23.206000000000003,10.594400000000002,39300674134.1855,8.671,8.3127165,8.346946,,31.894,,31.746,,,,0.0048130000941455,True
226,1,NGC 4088,181.3928356,50.539385,65.0108520718113,140.3342631694625,13.70881766164853,CF4,-23.205999999999996,10.5944,39300674134.18534,7.479,7.1406994,6.948917,,,30.685,,,,,0.0024880000855773,True
227,1,NGC 4689,191.9398139,13.7628572,76.60703229128043,299.0727429110217,17.076544728138735,CF4,-23.201,10.5924,39120103938.73522,7.961,7.8941817,7.8877144,,31.214,30.945,,,,,0.0053504975512623,True
228,1,NGC 3877,176.5322004,47.49454704,65.95647234762812,150.71983232831545,15.45254439538414,CF4,-23.199,10.5916,39048108374.92533,7.746,7.5167546,7.4057255,,,30.945,,,,,0.0029849999118596,True
229,1,MESSIER 074,24.1741387,15.7836868,-45.70517814541946,138.61705901735098,10.19,LVG,-23.195870920032135,10.590348368012856,38935734158.4624,6.845,6.3710647,6.2729006,29.9,,,,5.0,9.8,6.8,0.0021919999271631,True
230,1,NGC 3893,177.1589984,48.7108953,65.22723338040848,148.15506764824116,16.481623915255085,CF4,-23.194000000000003,10.589600000000004,38868698613.73046,7.891,7.7019167,7.5602756,,,31.085,,,,,0.0032259998843073,True
231,1,NGC 7232,333.9084302,-45.8500654,-54.0248302460863,351.12677155223207,22.299999237060547,NED-LVS,-23.19352424094923,10.589409696379692,38851670458.8886,8.548,8.40539,8.402504,,,,,,,,0.0063880002126097,True
232,1,NGC 5713,220.047694,-0.288912,52.12427502689747,351.0233312896647,20.155059814453125,NED-LVS,-23.19092045676398,10.588368182705594,38758609031.71422,8.331,8.003377,7.800615,,,,,,,,0.0062810000963509,True
233,1,NGC 1421,55.6219808,-13.4880355,-47.87978962653032,202.8025173945649,20.749135174549107,CF4,-23.19,10.588,38725764492.161804,8.395,8.113503,7.9031796,,,31.585,,,,,0.0069710002280771,True
234,1,NGC 3941,178.2307104,36.986325,74.19392940788593,170.71747249843511,12.612465753175393,CF4,-23.18800000000001,10.587200000000005,38654494659.82864,7.316,7.249938,7.280584,,30.504,,,,,,0.0030749998986721,True
235,1,NGC 4503,188.0260042,11.1764662,73.41319705123433,286.09989087911316,16.398344276265377,CF4,-23.185,10.586,38547835766.57721,7.889,7.8253083,7.8890705,,31.074,,,,,,0.0044499998912215,True
236,1,NGC 1379,54.016552,-35.4411845,-54.128288354686255,236.7219398091383,19.222063163300977,CF4,-23.181000000000004,10.584400000000002,38406081572.581375,8.238,7.9834304,7.998001,,31.494,,30.586,,,,0.0045664925128221,True
237,1,NGC 4143,182.4003123,42.5342146,72.39631084012312,149.18324443897131,16.099040762157053,CF4,-23.180999999999997,10.5844,38406081572.581215,7.853,7.7832074,7.8180943,,31.034,,,,,,0.0031560000497847,True
238,1,NGC 4461,187.2625831,13.1838324,75.1050909953675,281.25203872137723,17.322078404288266,CF4,-23.179,10.5836,38335400075.90445,8.014,7.9220195,7.920729,,31.174,,31.476,,,,0.0064179999753832,True
239,1,NGC 1792,76.3100325,-37.9805961,-36.45291141225292,241.69532411101287,10.889300933334328,CF4,-23.175000000000004,10.582000000000004,38194427084.004875,7.01,6.720542,6.561544,,,30.185,,,,,0.0040389997884631,True
240,1,NGC 3887,176.7691335,-16.8545027,43.32863397125895,281.54672002047295,17.336101531982422,NED-LVS,-23.171757209212995,10.580702883685198,38080521185.60366,8.023,7.8269663,7.7509174,,,,,,,,0.0040290001779794,True
241,1,MESSIER 051b,202.4980839,47.2661666,68.48804610327218,104.8819889548851,7.66,LVG,-23.17014384816302,10.580057539265209,38023977059.109245,6.251,6.158214,6.105184,,29.354,,,0.0,10.5,6.3,0.001518000033684,True
242,1,NGC 3041,148.2797624,16.6777125,47.57079604478851,217.66816819264108,24.043628000069347,CF4,-23.167,10.5788,37914034418.33074,8.738,8.614953,8.579875,,,31.905,,,,,0.0047070002183318,True
243,1,NGC 4267,184.9386407,12.7982686,73.86432129850542,274.0152638572933,15.856232308335493,CF4,-23.15900000000001,10.575600000000003,37635700169.36758,7.842,7.793776,7.817671,,30.994,,31.356,,,,0.0034060000907629,True
244,1,NGC 1325,51.1066508,-21.5439866,-54.84154786954416,212.30808277024423,22.750974307720703,CF4,-23.158,10.575200000000002,37601052366.84979,8.627,8.230974,8.209266,,,31.785,,,,,0.0053070001304149,True
245,1,NGC 7743,356.0881245,9.9341966,-49.525070073800094,96.96400419135044,20.64429232073992,CF4,-23.15600000000001,10.574400000000004,37531852423.79176,8.418,8.2368355,8.211406,,31.574,,,,,,0.0056599997915327,True
246,1,NGC 1300,49.9209389,-19.4111526,-55.22274188534601,208.16463274292607,13.899526312133531,CF4,-23.150999999999996,10.5724,37359409225.88,7.564,7.3844495,7.3388166,,,30.715,,,,,0.0052640000358223,True
