  0   0.000   0.000   1 0.431 450.477 2.340 83.362  2.686 -0.029 0.024 -0.018 0.026
  1   0.000  -1.000   1 0.433 463.031 2.281 80.385  3.140 -0.070 0.025 -0.011 0.028
  2  -1.000  -1.000   1 0.450 464.170 2.650 80.204  3.179 -0.049 0.029 -0.023 0.030
  3  -1.000   0.000   1 0.482 453.589 2.663 81.470  2.810 -0.024 0.027 -0.017 0.026
  4  -1.000  -2.000   1 0.356 473.035 2.978 75.435  4.000 -0.077 0.033 -0.035 0.037
  5   0.000  -2.000   1 0.356 472.183 2.617 71.216  3.592 -0.086 0.030  0.001 0.031
  6  -2.000  -1.000   1 0.447 465.518 3.209 75.366  3.699 -0.027 0.039 -0.024 0.034
  7  -2.000  -2.000   1 0.343 473.348 4.053 76.619  4.636 -0.043 0.044 -0.039 0.043
  8  -2.000   0.000   1 0.505 459.516 2.955 71.608  3.661 -0.059 0.034  0.010 0.034
  9  -1.000  -3.000   1 0.331 478.563 3.711 76.001  4.388 -0.098 0.041 -0.023 0.038
 10  -3.000  -1.000   1 0.288 465.014 4.027 70.728  4.160 -0.025 0.045 -0.051 0.042
 11  -2.000  -3.000   1 0.378 476.624 3.782 70.342  5.024 -0.047 0.047  0.012 0.045
 12  -3.000  -2.000   1 0.344 468.576 5.107 73.984  4.534 -0.017 0.052 -0.047 0.046
 13   0.000  -3.000   1 0.357 477.461 3.709 71.914  4.321 -0.080 0.040 -0.003 0.039
 14  -3.270  -3.602   3 0.688 472.032 3.054 68.022  3.489 -0.079 0.037  0.014 0.035
 15  -2.000  -4.866   3 0.603 473.924 2.934 65.765  3.037 -0.038 0.035 -0.040 0.033
 16  -1.000  -4.440   2 0.541 475.048 3.356 71.812  3.729 -0.046 0.039 -0.025 0.036
 17   0.000  -4.000   1 0.343 478.127 4.525 71.034  4.840 -0.054 0.048 -0.028 0.046
 18   1.000  -2.000   1 0.355 466.449 3.283 71.350  3.833 -0.061 0.032  0.000 0.036
 19   1.000  -3.000   1 0.375 473.601 4.077 69.525  4.660 -0.042 0.040 -0.015 0.043
 20   1.000  -1.000   1 0.426 460.258 2.880 77.554  3.423 -0.060 0.028  0.009 0.028
 21   1.000  -4.439   2 0.490 475.219 2.738 61.094  3.950 -0.023 0.038  0.013 0.036
 22  -0.307  -5.616   3 0.710 478.828 2.488 60.968  3.744 -0.090 0.037 -0.016 0.032
 23   2.000  -3.000   1 0.410 470.397 4.255 73.401  5.491  0.020 0.045 -0.032 0.050
 24   2.000  -2.000   1 0.448 463.859 3.727 70.733  3.915 -0.012 0.037 -0.034 0.041
