a UCD-FORS  1 1_0630  3 38 56.14 -35 24 49.0 20.35 1.02 25.21 108 32.86 590 0.18  666| 48
b UCD-FORS 13 Y446    3 38 33.82 -35 25 57.0 21.01 1.03 25.01 211  8.07 119 1.77 1224|221
c UCD-FORS 13 Y446    3 38 33.82 -35 25 57.0 21.01 1.03 23.80 307  8.07 119 2.58 1224|221
d UCD-FORS 13 Y446    3 38 33.82 -35 25 57.0 21.01 1.03 24.59 241  8.07 119 2.03 1224|221
e UCD-FORS 20 77.002  3 38 38.11 -35 26 46.7 21.02 1.03 24.81 119 10.32 151 0.79 1788| 58
f UCD-FORS 32 UCD6    3 38 05.04 -35 24 09.7 18.93 1.13 23.20 263 31.30 985 0.27 1220| 45
g UCD-FORS 33 NTT414  3 38 09.72 -35 23 01.2 19.61 0.99 23.78 206 31.03 686 0.30 1607|141
h UCD-FORS 35 UCD32   3 38 16.70 -35 20 23.1 20.09 0.99 23.64 278 39.24 748 0.37 1439| 23
i UCD-FORS 36 UCDm    3 38 06.48 -35 23 03.8 20.01 1.0  25.12 283 33.53 659 0.43 1442|123
j UCD-FORS 37 UCD36   3 38 23.23 -35 20 00.6 20.22 1.12 24.62 139 39.35 820 0.17 1347| 61
k UCD-FORS 52 2_2127  3 38 11.69 -35 27 16.2 20.93 1.16 23.77 154 19.53 349 0.44 1443|131
l UCD-FORS 57 Y3905   3 38 23.28 -35 26 32.7 21.27 1.09 24.62 224  7.01 101 2.22 1504| 12
m UCD-FORS 64 K1042m  3 38 36.88 -35 25 43.8 21.37 1.23 22.71 151 11.43 193 0.78 1328| 90
n UCD-FORS 69 Y9410   3 38 27.35 -35 25 37.5 21.30 1.16 25.08 174  8.02 127 1.37 1392| 32
o UCD-FORS 70 Y4081   3 38 26.63 -35 25 34.0 21.39 1.22 25.50 100  8.56 143 0.70 1442| 22
p UCD-FORS 71 Y10048  3 38 35.23 -35 25 39.2 21.57 1.09 25.11  63 10.34 136 0.46 1602| 30
q UCD-FORS 76 80.039  3 38 21.34 -35 24 35.6 21.63 1.13 23.93 211 16.03 220 0.96  900| 66
r UCD-FORS 80 K1040   3 38 28.84 -35 25 00.7 21.93 1.17 24.92 124 11.18 149 0.83 1481| 57
s UCD-FORS 81 UCD2    3 38 06.29 -35 28 58.8 19.31 1.13 24.47 193 27.71 776 0.24 1249| 37
t UCD-FORS 92 Y7623   3 38 16.65 -35 29 35.2 21.59 1.05 24.22 177 19.77 248 0.71 1676| 50
u UCD-FORS 96 89.038  3 38 11.93 -35 32 01.7 21.45 0.97 23.72 291 33.58 417 0.70 1350| 78
