FDS-UCD-35   55.098996 -36.752049 22.13 0.033 20.82 0.017 19.99 0.009 19.68 0.025 18.19 0.032 17.34 0.065 72.4 76  0 100  0
FDS-UCD-36   53.100339 -35.199096 22.00 0.035 20.84 0.054 20.00 0.012 19.84 0.034 18.54 0.087 17.85 0.099 21.1  0  0 100  0
FDS-UCD-37   53.042631 -35.075725 21.90 0.032 20.84 0.053 20.04 0.010 19.82 0.022 18.59 0.100 17.76 0.091 10.2 49  0 100  0
FDS-UCD-38   54.260122 -33.574978 22.12 0.039 20.85 0.010 20.14 0.004 19.78 0.003 18.65 0.085 17.74 0.120  8.1 17  0 100  0
FDS-UCD-39   56.298953 -35.445692 21.90 0.025 20.87 0.019 20.36 0.013 19.99 0.037 19.06 0.053 18.37 0.186 19.9 73  3  97  0
FDS-UCD-40   56.897209 -35.825162 22.33 0.042 20.91 0.012 20.34 0.024 19.90 0.108 18.57 0.038 17.52 0.062 54.0 76  0 100  0
FDS-UCD-41   53.256089 -36.026285 22.13 0.037 20.91 0.018 20.16 0.022 19.92 0.030 18.64 0.041 17.97 0.143 19.4 18  0 100  0
FDS-UCD-42   55.235179 -33.904410 22.43 0.058 20.91 0.019 20.64 0.052 19.89 0.041 18.83 0.053 17.86 0.143 12.8 61  0 100  0
FDS-UCD-43   53.259188 -35.735038 22.44 0.049 20.99 0.005 20.28 0.013 19.99 0.022 18.47 0.037 17.72 0.085 26.8 44  0 100  0
FDS-UCD-44   53.950830 -35.186377 21.92 0.034 20.99 0.028 20.20 0.028 20.03 0.015 18.63 0.054 18.18 0.128 29.0 57  8  92  0
