  1 NGVS J123909.32+112147.9 189.7888329 11.3633175 0.033 21.159|0.003 1.415|0.010             1.004|0.005 1.175|0.007              0.057 1
  2 NGVS J123948.33+105157.0 189.9513674 10.8658447 0.022 20.858|0.002 1.244|0.009             0.907|0.004 1.043|0.006              0.130 0
  3 NGVS J123949.21+110135.3 189.9550398 11.0264758 0.024 21.167|0.003 1.338|0.011             0.981|0.005 1.173|0.007              0.078 1
  4 NGVS J123950.99+112805.1 189.9624727 11.4680886 0.039 20.763|0.002 1.208|0.007             0.934|0.004 1.162|0.005              0.114 0
  5 NGVS J124002.08+105517.2 190.0086686 10.9214418 0.022 21.420|0.003 0.994|0.012             0.664|0.007 0.735|0.012              0.261 1
  6 NGVS J124049.54+121138.1 190.2064072 12.1939068 0.039 21.348|0.003 1.219|0.011             0.981|0.005 1.127|0.008              0.083 1
  7 NGVS J124115.49+103811.9 190.3145415 10.6366475 0.024 21.350|0.003 1.119|0.011             0.865|0.006 1.037|0.009              0.069 1
  8 NGVS J124151.11+105311.7 190.4629499 10.8865742 0.021 19.805|0.001 1.405|0.005             1.014|0.002 1.242|0.003              0.306 0
  9 NGVS J124205.30+103959.1 190.5220991 10.6664070 0.026 21.462|0.003 0.977|0.010             0.729|0.007 0.828|0.010              0.070 1
 10 NGVS J124206.89+115144.7 190.5287016 11.8624190 0.028 20.966|0.002 1.113|0.007             0.828|0.004 0.963|0.006              0.061 1
 11 NGVS J124209.61+113654.7 190.5400246 11.6151888 0.030 20.940|0.002 1.051|0.007             0.782|0.004 0.881|0.006              0.059 1
 12 NGVS J124216.65+114428.6 190.5693756 11.7412681 0.031 21.387|0.007 1.468|0.023             0.998|0.012 1.258|0.012              0.043 1
 13 NGVS J124229.83+112029.7 190.6242758 11.3415871 0.027 19.975|0.001 1.169|0.004             0.830|0.002 0.977|0.003              0.045 1
 14 NGVS J124232.60+115702.6 190.6358256 11.9507163 0.028 21.166|0.003 1.012|0.008             0.780|0.005 0.896|0.008              0.040 1
 15 NGVS J124235.74+114254.2 190.6489118 11.7150453 0.030 21.423|0.003 1.169|0.011             0.888|0.006 1.080|0.008              0.055 1
 16 NGVS J124238.75+115646.8 190.6614439 11.9463314 0.028 21.602|0.004 0.910|0.011             0.715|0.008 0.786|0.012              0.056 0
 17 NGVS J124244.72+111240.5 190.6863239 11.2112384 0.027 20.593|0.002 1.246|0.007             0.832|0.004 1.007|0.005              0.115 1
 18 NGVS J124248.01+115513.8 190.7000359 11.9204879 0.027 19.812|0.001 1.025|0.003             0.818|0.002 0.930|0.003              0.120 1
 19 NGVS J124312.47+111230.2 190.8019424 11.2083931 0.030 21.313|0.003 1.148|0.011             0.749|0.006 0.888|0.009              0.061 1
 20 NGVS J124315.49+113922.8 190.8145574 11.6563462 0.027 20.719|0.002 1.014|0.005             0.666|0.004 0.792|0.005              0.037 1
 21 NGVS J124324.30+112343.2 190.8512567 11.3953461 0.024 20.782|0.002 0.987|0.006             0.732|0.004 0.814|0.006              0.083 1
 22 NGVS J124352.42+112534.2 190.9684091 11.4261669 0.024 18.830|0.001 1.412|0.002             0.968|0.001 1.165|0.001              0.080 1
 23 NGVS J124352.48+112518.3 190.9686634 11.4217508 0.025 20.312|0.001 1.072|0.005             0.773|0.003 0.875|0.004              0.048 1
 24 NGVS J124437.85+103801.1 191.1577272 10.6336481 0.026 20.012|0.001 1.110|0.004             0.858|0.002 0.989|0.003              0.085 1
 25 NGVS J124524.02+110535.2 191.3500929 11.0930994 0.031 19.454|0.001 1.397|0.003             1.034|0.002 1.158|0.002              0.055 1
 26 NGVS J124531.21+112357.2 191.3800543 11.3992236 0.027 20.351|0.001 1.083|0.005             0.806|0.003 0.898|0.004              0.112 1
 27 NGVS J124532.99+114125.3 191.3874620 11.6903730 0.026 21.275|0.003 1.011|0.009             0.809|0.006 0.978|0.008              0.138 0
 28 NGVS J124538.98+114526.8 191.4124258 11.7574345 0.028 21.282|0.004 1.034|0.013             0.702|0.009 0.786|0.013              0.118 0
 29 NGVS J124539.33+104808.1 191.4138693 10.8022486 0.024 19.993|0.001 1.239|0.005             0.899|0.003 1.041|0.003              0.099 1
