  1 NGVS J122623.21+121925.2 19.468|0.022 18.742|0.022 36.59|1.27 35.42|1.08 ---         ---  ---    --- 46450    --- 1 0 1 0 ---
  2 NGVS J122628.69+125642.6 19.792|0.011 18.852|0.013 17.38|0.72 15.99|0.72 ---         ---  ---    ---  -186    --- 1 1 1 1 ---
  3 NGVS J122633.05+123847.6 21.391|0.014 20.651|0.007 11.26|0.57 10.99|0.49 ---         ---  ---   5322   ---    --- 1 1 1 0 ---
  4 NGVS J122636.42+125512.9 18.972|0.006 18.021|0.006 18.01|0.33 17.34|0.27 ---         ---  ---    ---   -93    --- 1 1 1 1 ---
  5 NGVS J122638.52+123702.7 20.616|0.007 19.843|0.008 17.86|0.40 18.04|0.43 ---         ---  ---    ---   ---    --- 1 1 1 1 ---
  6 NGVS J122638.79+124545.8 20.564|0.007 19.823|0.010 15.93|0.30 15.03|0.42 ---         ---  ---    ---   ---    --- 1 1 1 1 ---
  7 NGVS J122643.32+121743.9 20.830|0.004 20.112|0.007 11.88|0.39 10.28|0.45 ---         ---  ---    ---   ---    --- 2 1 1 0 ---
  8 NGVS J122646.48+131732.2 21.446|0.004 20.683|0.013 12.97|0.25 14.53|0.49 ---         ---  ---    ---   ---    --- 1 0 1 0 ---
  9 NGVS J122647.07+122714.0 19.559|0.013 18.692|0.019 24.11|0.99 18.68|1.23 ---         ---  ---    ---   ---   1411 2 1 0 0 VCC940
 10 NGVS J122649.87+115931.8 21.498|0.010 20.633|0.014 19.94|0.54 25.22|0.55 ---         ---  ---    ---   ---    --- 1 0 1 0 ---
 11 NGVS J122656.56+123532.2 19.881|0.006 19.041|0.006 17.32|0.37 15.98|0.58 ---         ---  ---    ---   ---    --- 1 1 1 1 ---
 12 NGVS J122708.43+132009.0 21.330|0.011 20.617|0.016 19.94|0.79 19.24|0.96 ---         ---  ---    ---   --- 150598 2 1 1 0 VCC972  a
 13 NGVS J122726.54+131150.7 20.901|0.010 20.098|0.012 22.47|0.52 26.28|0.63 ---         ---  ---    ---   ---    --- 1 0 1 0 ---
 14 NGVS J122727.19+125546.0 21.046|0.011 20.344|0.006 12.54|0.42 11.43|0.25 ---         ---  ---    ---   ---    --- 1 1 1 1 ---
 15 NGVS J122729.00+131903.4 21.386|0.020 20.579|0.026 18.07|1.02 15.90|1.11 ---         ---  ---    ---   ---    --- 3 0 1 0 ---
 16 NGVS J122745.56+124356.4 21.577|0.015 20.834|0.008 13.51|0.75 12.77|0.51 ---         ---  --- 198108   ---    --- 1 1 1 0 ---
 17 NGVS J122804.51+121507.6 21.416|0.009 20.577|0.016 21.62|0.52 25.06|0.72 ---         ---  ---    ---   ---    --- 1 0 1 0 ---
 18 NGVS J122806.62+122436.4 21.004|0.011 20.260|0.009 12.03|0.57 12.82|0.33 ---         ---  --- 156806   ---    --- 1 1 1 0 M87UCD29
 19 NGVS J122837.21+122845.6 21.081|0.005 20.333|0.006 12.61|0.31 12.51|0.42 ---         ---  ---    ---   ---    --- 1 1 1 1 M87UCD30
 20 NGVS J122856.90+130220.5 21.408|0.009 20.700|0.009 14.41|0.55 15.05|0.40 ---         ---  ---    ---   ---    --- 1 1 1 1 ---
 21 NGVS J122910.66+124304.1 20.947|0.004 20.157|0.005 12.69|0.25 11.29|0.34 ---         ---  ---    ---   ---    --- 1 1 1 1 M87UCD24
 22 NGVS J122914.82+113622.4 21.226|0.007 20.458|0.009 20.58|0.45 22.36|0.42 ---         ---  ---    ---   ---    --- 1 0 1 0 ---
 23 NGVS J122914.87+115343.8 20.263|0.008 19.489|0.007 12.43|0.40 10.79|0.37 ---         ---  ---    ---   ---    --- 1 1 1 1 M87UCD34
 24 NGVS J122925.49+121835.8 20.880|0.006 20.111|0.014 22.21|0.37 24.86|0.70 ---         ---  ---    ---   ---    --- 1 0 1 0 ---
 25 NGVS J122936.29+113708.5 21.112|0.010 20.268|0.021 14.96|0.48 16.84|0.78 ---         ---  ---    ---   ---    --- 1 0 1 0 ---
 26 NGVS J122937.04+130620.9 20.998|0.010 20.289|0.012 19.97|0.57 23.95|0.61 ---         ---  ---    ---   ---    --- 1 0 1 0 ---
 27 NGVS J122937.93+114058.1 21.263|0.005 20.545|0.008 12.33|0.28 11.17|0.37 ---         ---  ---    ---   ---    --- 1 1 1 1 ---
 28 NGVS J122940.39+122728.1 19.967|0.004 19.173|0.005 20.30|0.22 21.51|0.21 ---         ---  ---    ---  1400    --- 1 1 1 1 M87UCD5
 29 NGVS J122941.32+123952.4 20.328|0.008 19.537|0.009 17.50|0.43 15.60|0.45 ---         ---  ---    ---  1754    --- 1 1 1 1 M87UCD20
 30 NGVS J122941.56+124427.6 21.000|0.006 20.167|0.006 10.98|0.40 11.17|0.30 ---         ---  ---   1261   ---    --- 1 1 1 1 M87UCD23
 31 NGVS J122942.29+131727.6 19.780|0.008 18.717|0.011 19.64|0.55 20.28|1.06 ---         ---  ---  53553   ---    --- 3 1 1 0 ---
 32 NGVS J122945.26+125100.9 20.560|0.004 19.819|0.004 12.34|0.18 11.35|0.27 ---         ---  ---   1156  1070    --- 1 1 1 1 M87UCD8
 33 NGVS J122947.20+121717.8 19.655|0.011 18.776|0.014 32.01|0.75 40.93|1.17 ---         ---  ---  37236   ---    --- 1 0 1 0 ---
 34 NGVS J122950.93+123653.2 21.517|0.009 20.802|0.010  9.30|0.37 12.09|0.31 ---         ---  --- 184673   ---    --- 1 1 1 0 ---
 35 NGVS J122952.28+123737.8 20.881|0.005 19.994|0.006 10.58|0.21 13.13|0.28 ---         ---  ---    886   ---    --- 1 1 1 1 M87UCD22
 36 NGVS J122952.41+123504.1 19.697|0.007 18.934|0.007 31.20|0.39 37.14|0.54 ---         ---  ---    ---   ---    --- 1 1 1 1 ---
 37 NGVS J122954.98+123350.9 20.602|0.008 19.891|0.013 23.81|0.46 24.71|0.72 ---         ---  ---    ---   ---    --- 1 1 1 1 ---
 38 NGVS J122956.35+131312.1 20.091|0.004 19.392|0.005 15.86|0.24 11.82|0.27 ---         ---  ---     43   824    --- 2 1 1 0 VCC1244
 39 NGVS J122957.12+123602.9 20.312|0.006 19.591|0.007 12.51|0.21 13.31|0.27 ---         --- 1489   1506   ---    --- 1 1 1 1 H65115
 40 NGVS J123001.95+124226.9 19.862|0.005 19.191|0.011 22.18|0.30 20.96|0.51 ---         ---  ---    ---  1115    --- 1 1 1 1 M87UCD10
 41 NGVS J123002.46+123633.8 20.250|0.003 19.461|0.003 14.84|0.18 15.08|0.15 ---         ---  ---    ---  1514    --- 1 1 1 1 M87UCD6
 42 NGVS J123004.05+120714.0 19.802|0.005 19.021|0.005 11.52|0.19 10.47|0.24 ---         --- 1168   1166   ---    --- 1 1 1 1 H18539
 43 NGVS J123006.06+123954.0 19.514|0.003 18.690|0.003 16.80|0.10 18.98|0.19 ---         ---  ---    ---  1160    --- 1 1 1 1 M87UCD7
 44 NGVS J123006.13+122435.3 20.635|0.004 19.797|0.008 12.95|0.21 12.31|0.52 ---         ---  ---   1878   ---    --- 1 1 1 1 M87UCD28
 45 NGVS J123007.57+123631.0 19.120|0.002 18.285|0.006 12.37|0.13 12.09|0.31 ---        12.1 1223   1235  1241    --- 1 1 1 1 VUCD1
 46 NGVS J123009.82+123736.5 21.097|0.004 20.312|0.005 11.19|0.16 11.44|0.24 ---         ---  ---   1261   ---    --- 1 1 1 1 M87UCD37
 47 NGVS J123010.00+123604.7 21.566|0.008 20.826|0.010 12.88|0.45 11.65|0.57 ---         ---  ---    ---   ---    --- 1 1 1 1 ---
 48 NGVS J123010.89+121143.7 21.099|0.009 20.432|0.016 19.64|0.63 16.28|1.21 ---         ---  ---    ---   ---   -420 2 1 1 0 VCC1264
 49 NGVS J123011.07+124721.7 20.640|0.015 19.880|0.006 11.71|0.91 10.92|0.40 ---         ---  ---    ---   ---    --- 1 1 1 1 ---
 50 NGVS J123014.74+120726.5 21.294|0.007 20.617|0.013 12.92|0.31 13.87|0.54 ---         ---  ---    ---   ---    --- 1 0 1 0 ---
 51 NGVS J123016.54+121556.8 20.074|0.006 19.340|0.021 17.28|0.36 17.11|1.08 ---         ---  ---   2021   ---    --- 1 1 1 1 M87UCD26
 52 NGVS J123017.80+114447.4 19.064|0.022 18.112|0.021 30.65|1.33 28.02|1.45 ---         ---  ---  26492   ---    --- 3 0 1 0 ---
 53 NGVS J123019.63+120924.6 21.119|0.007 20.432|0.010 11.38|0.25  9.96|0.37 ---         ---  831    881   ---    --- 1 1 1 1 H20718
 54 NGVS J123020.05+115518.7 19.330|0.003 18.532|0.004 23.31|0.19 22.30|0.21 ---         ---  ---   1276  1397    --- 1 1 1 1 M87UCD3
 55 NGVS J123021.83+122402.4 20.004|0.010 19.042|0.018 11.70|0.46 11.65|0.96 ---         ---  ---    ---  1271    --- 1 1 1 1 M87UCD4
 56 NGVS J123022.97+123148.7 19.793|0.004 19.069|0.004 18.85|0.22 17.29|0.16 ---         ---  ---    532   546    --- 1 1 1 1 M87UCD9
 57 NGVS J123025.75+122621.1 20.501|0.004 19.754|0.015 13.70|0.28 12.61|0.48 ---         --- 1368    ---   ---    --- 1 1 1 1 S1631
 58 NGVS J123026.56+122044.6 20.348|0.005 19.592|0.016 18.03|0.28 18.15|0.64 ---        26.4 1135    ---  1124    --- 1 1 1 1 S1629
 59 NGVS J123026.89+122331.1 19.908|0.004 19.093|0.009 16.45|0.25 17.17|0.42 ---         --- 1404    ---  1409    --- 1 1 1 1 S1617
 60 NGVS J123029.91+123822.2 20.452|0.024 19.806|0.021 19.04|0.91 18.91|0.75 ---         ---  ---    ---   845    --- 1 1 1 1 M87UCD11
 61 NGVS J123030.86+121841.7 19.794|0.012 19.017|0.011 15.95|0.55 14.76|0.52 ---         --- 2425    ---  2365    --- 1 1 1 1 VUCD10
 62 NGVS J123031.44+125156.6 20.234|0.023 19.317|0.010 12.19|0.81 12.58|0.61 ---         ---  ---    ---  1511    --- 1 1 1 1 M87UCD12
 63 NGVS J123031.53+122602.6 20.302|0.007 19.577|0.016 14.66|0.31 14.63|0.58 ---         ---  858    ---   857    --- 1 1 1 1 S1504
 64 NGVS J123033.43+122954.3 19.164|0.011 18.412|0.011 33.66|0.69 32.21|0.60 36.50|1.71 28.9 1296   1261  1301    --- 1 1 1 1 H55930
 65 NGVS J123034.12+122246.5 21.328|0.015 20.575|0.009 16.68|0.54 17.38|0.39 ---         --- 1100    ---   ---    --- 1 1 1 1 S1449
 66 NGVS J123035.02+123452.7 20.423|0.010 19.701|0.008 33.24|0.49 33.72|0.52 ---         ---  ---    ---   ---    --- 1 1 1 1 ---
 67 NGVS J123036.52+122152.8 20.536|0.009 19.783|0.016 16.69|0.33 15.87|0.61 ---         ---  ---    ---   ---    --- 1 1 1 1 ---
 68 NGVS J123039.16+122132.5 20.786|0.007 19.995|0.013 13.70|0.45 13.37|0.64 ---         --- 1086    ---   ---    --- 1 1 1 1 S1301
 69 NGVS J123041.81+122341.2 21.163|0.010 20.446|0.016 15.00|0.52 13.76|0.61 ---        29.9 1211    ---   ---    --- 1 1 1 1 S1201
 70 NGVS J123043.25+122212.4 21.191|0.006 20.385|0.011 16.92|0.31 17.65|0.55 ---         ---  ---    ---   ---    --- 1 1 1 1 ---
 71 NGVS J123045.34+122033.5 20.612|0.007 19.848|0.020 24.22|0.51 23.67|0.90 ---         --- 2023    ---   ---    --- 1 1 1 1 S1044
 72 NGVS J123045.95+113752.5 21.177|0.013 20.340|0.016 24.05|0.70 31.37|1.00 ---         ---  ---    ---   ---    --- 1 0 1 0 ---
 73 NGVS J123046.50+122017.7 20.824|0.011 20.047|0.010 15.44|0.42 15.60|0.31 ---         --- 1004    ---   ---    --- 1 1 1 1 S991
 74 NGVS J123047.40+123301.7 19.513|0.007 18.644|0.004 18.09|0.33 17.02|0.22 ---         --- 1379   1322  1343    --- 1 1 1 1 F6
 75 NGVS J123047.66+120825.2 19.687|0.021 19.007|0.012 23.68|1.20 23.56|0.48 ---         ---  ---    ---  1265    --- 1 1 1 1 M87UCD2
 76 NGVS J123047.70+122430.5 19.727|0.010 18.963|0.011 26.12|0.54 26.15|0.57 23.45|0.43 36.3 1283    ---  1331    --- 1 1 1 1 S928
 77 NGVS J123048.19+123510.7 19.212|0.004 18.416|0.005 11.41|0.18 10.52|0.22 ---        14.1  824    ---   921    --- 1 1 1 1 VUCD2
 78 NGVS J123049.28+123718.2 19.984|0.007 19.196|0.012 12.89|0.24 12.25|0.52 ---         ---  ---   1620  1601    --- 1 1 1 1 M87UCD13
 79 NGVS J123049.49+121426.9 20.593|0.010 19.840|0.030 16.69|0.36 17.55|1.12 ---         ---  ---    ---   ---    --- 1 1 1 1 ---
 80 NGVS J123051.07+122611.9 19.722|0.004 18.808|0.007 13.52|0.33 13.46|0.46 ---         --- 1131    ---  1142    --- 1 1 1 1 S804
 81 NGVS J123051.65+121409.9 21.078|0.006 20.396|0.007 13.03|0.19 14.29|0.30 ---        13.7 1299    ---   ---    --- 1 1 1 1 H27916
 82 NGVS J123051.75+122053.3 20.824|0.004 20.061|0.007 11.80|0.09 11.61|0.21 ---        15.3 1163    ---   ---    --- 1 1 1 1 S796
 83 NGVS J123053.88+121712.4 21.052|0.008 20.178|0.013 20.48|0.43 21.35|0.70 19.38|0.28 24.8 1020    ---   ---    --- 1 1 1 1 S731
 84 NGVS J123054.66+122022.6 21.273|0.008 20.555|0.010 20.00|0.33 20.85|0.60 ---        23.7 1333    ---   ---    --- 1 1 1 1 S682
 85 NGVS J123101.47+121924.5 19.659|0.009 18.695|0.014 14.88|0.31 15.20|0.36 ---        14.7 1860    ---  1856    --- 1 1 1 1 S417
