071 03 37 24.27 -35 22 57.4 [SRH2010] 2 57                1589  42  1
072 03 37 24.85 -35 36 09.6 [FDE2007] J033724.83-353610.0 1448   4  4
073 03 37 26.26 -35 41 05.7 [BAL2007] gc177.6              985   8  3
074 03 37 26.32 -35 23 30.4 [SRH2010] 2 46                1516  47  1
075 03 37 27.57 -35 30 12.5 [SRH2010] 3 94                1913   5  3
076 03 37 27.82 -35 21 14.8 [SRH2010] 2 87                1343  43  1
077 03 37 27.93 -35 33 41.1 [SRH2010] 3 29                1136  54  1
078 03 37 28.00 -35 32 32.1 [SRH2010] 3 53                1437  42  1
079 03 37 28.22 -35 21 22.7 [SRH2010] 2 84                1373  19  8
080 03 37 29.04 -35 32 39.8 [SRH2010] 3 50                1119  72  1
081 03 37 30.60 -35 19 28.8 [SRH2010] 2 119               1539  15  1
082 03 37 31.04 -35 28 51.6 [SRH2010] 3 117               1144  24  1
083 03 37 32.05 -35 33 24.1 [SRH2010] 3 34                1972  48  1
084 03 37 32.25 -35 20 58.2 [SRH2010] 2 92                1198  43  1
085 03 37 32.93 -35 16 51.8 [FDE2007] J033732.93-351652.0 1234  16  4
086 03 37 33.04 -35 29 41.0 [SRH2010] 3 103               1396  22  1
087 03 37 33.48 -35 28 12.4 [SRH2010] 3 129               1692  15  4
088 03 37 33.79 -35 31 15.0 [SRH2010] 3 75                1638  49  1
089 03 37 33.88 -35 22 18.8 FCOS 2-2161                   1997  15  8
090 03 37 33.90 -35 32 47.1 [SRH2010] 3 47                1748   8  3
091 03 37 34.29 -35 25 10.1 [SRH2010] 2 14                1418  36  1
092 03 37 34.57 -35 21 09.3 [SRH2010] 2 89                 995  76  1
093 03 37 34.69 -35 28 59.8 [SRH2010] 3 114               1304  28  1
094 03 37 35.25 -35 25 29.5 [SRH2010] 2 7                 1726  33  1
095 03 37 35.26 -35 34 12.6 [SRH2010] 3 20                1261  14  4
096 03 37 35.90 -35 17 36.4 [SRH2010] GS04-M03 199        1086  59  1
097 03 37 35.94 -35 31 02.4 [SRH2010] 3 79                1761  30  1
098 03 37 35.98 -35 31 52.4 [SRH2010] 3 64                 684  26  1
099 03 37 36.70 -35 28 32.5 [SRH2010] 4 127               1988  65  1
100 03 37 37.17 -35 31 51.8 [SRH2010] 4 64                 989  75  1
101 03 37 37.22 -35 28 38.1 [SRH2010] 3 122               1734  43  1
102 03 37 38.10 -35 32 20.0 [SRH2010] 4 57                1550  52  1
103 03 37 38.25 -35 20 20.5 [SRH2010] GS04-M03 97         2050  16  1
104 03 37 38.31 -35 30 55.0 [SRH2010] 3 81                1695  54  1
105 03 37 38.39 -35 18 50.5 [SRH2010] GS04-M03 170         936  49  1
106 03 37 38.51 -35 34 01.4 [SRH2010] 3 24                2313  51  1
107 03 37 39.71 -35 22 25.9 [SRH2010] GS04-M03 7          1361  24  1
108 03 37 39.77 -35 21 11.9 [SRH2010] GS04-M03 56         1180  35  1
109 03 37 40.01 -35 25 35.4 [SRH2010] GS04-M05 201        1321  24  1
110 03 37 40.13 -35 32 21.2 [SRH2010] 3 57                 794  60  1
111 03 37 40.53 -35 34 23.1 [SRH2010] 3 17                1487  45  1
112 03 37 41.05 -35 30 22.7 [SRH2010] 3 91                1501  56  1
113 03 37 41.48 -35 34 52.4 [SRH2010] 3 7                 1375  40  1
114 03 37 41.51 -35 32 15.4 [SRH2010] 3 59                1348 146  1
115 03 37 41.80 -35 41 22.9 [FDE2007] J033741.77-354123.2 1122   5  4
116 03 37 41.94 -35 31 54.1 [SRH2010] 4 63                1677  70  1
117 03 37 41.95 -35 26 11.0 [SRH2010] GS04-M05 129        1587  52  1
118 03 37 42.25 -35 30 33.8 [SRH2010] 3 88                1319   9  3
119 03 37 42.29 -35 25 46.3 [SRH2010] GS04-M05 134        1336  27  1
120 03 37 42.37 -35 21 39.6 [SRH2010] GS04-M04 23         1679  51  1
121 03 37 42.39 -35 25 24.1 [SRH2010] GS04-M05 144        1564  59  1
122 03 37 43.03 -35 22 11.9 [GDE2009] UCD 15              1146  86  5
123 03 37 43.50 -35 15 10.0 [FDE2007] J033743.49-351510.2 1255   6  4
124 03 37 43.56 -35 30 40.1 [SRH2010] 3 86                1362  47  1
125 03 37 43.57 -35 22 51.5 [BAL2007] gc302.3             1420   7  4
126 03 37 44.05 -35 29 05.7 [SRH2010] 4 117               1002  59  1
127 03 37 44.18 -35 26 13.8 [SRH2010] GS04-M05 114        1565  44  1
128 03 37 44.20 -35 26 57.3 [KGM99] aat 4                 2478 150  9
129 03 37 44.72 -35 19 18.5 [SRH2010] GS04-M03 106        1192  14  4
130 03 37 45.08 -35 29 01.4 [SRH2010] 4 118               1657   9  3
131 03 37 45.39 -35 30 10.7 [SRH2010] 4 96                1909  62  1
132 03 37 45.53 -35 26 41.6 [SRH2010] GS04-M05 96         1488  21  1
133 03 37 45.67 -35 19 38.2 [SRH2010] GS04-M03 92         1425  31  1
134 03 37 46.00 -35 28 39.9 [SRH2010] 4 125               1277  28  1
135 03 37 46.45 -35 28 05.1 FCOS 2-095                    1495  45  7
136 03 37 46.72 -35 34 42.3 [SRH2010] 4 10                1386  13  3
137 03 37 46.77 -35 30 02.3 [SRH2010] 4 99                1133  39  1
138 03 37 46.80 -35 39 23.5 [BAL2007] gc225.6             1337   9  4
139 03 37 47.03 -35 27 48.1 [BAL2007] gc133.3             1835  20  3
140 03 37 47.18 -35 22 57.4 [SRH2010] GS04-M06 202        1486  17  1
141 03 37 47.65 -35 32 47.9 [SRH2010] 4 47                1362  34  1
142 03 37 47.74 -35 31 46.9 [SRH2010] 4 65                1083  44  1
143 03 37 47.83 -35 31 34.9 [SRH2010] 4 69                1364  46  1
144 03 37 48.12 -35 22 11.8 [SRH2010] GS04-M05 185        1297  46  1
145 03 37 49.16 -35 28 51.7 [SRH2010] 4 121               1708  35  1
146 03 37 49.84 -35 28 22.4 [SRH2010] 4 129               1379  36  1
147 03 37 51.03 -35 34 35.5 [SRH2010] 4 12                 938  35  1
148 03 37 51.18 -35 23 01.5 [SRH2010] GS04-M06 127        1338  51  1
149 03 37 51.34 -35 27 14.0 [SRH2010] GS04-M06 36         1581  35  1
150 03 37 51.45 -35 25 58.2 [SRH2010] GS04-M05 68         1644  24  1
151 03 37 51.81 -35 31 35.9 [SRH2010] 91 45               1466  36  1
152 03 37 52.48 -35 28 57.6 [SRH2010] 92 99               1468  18  1
153 03 37 52.67 -35 24 35.0 [SRH2010] GS04-M05 87         1515  43  1
154 03 37 52.67 -35 30 52.0 [SRH2010] 91 57               1048  19  1
155 03 37 53.00 -35 29 37.3 [SRH2010] 91 81               1091  33  2
156 03 37 53.05 -35 29 25.6 [SRH2010] 92 97               1753 105  1
157 03 37 53.11 -35 27 20.6 [SRH2010] GS04-M06 15          848  52  1
158 03 37 53.44 -35 26 16.1 [SRH2010] GS04-M05 40         1235  19  1
159 03 37 53.57 -35 39 08.7 [SRH2010] 5 51                1529 107  1
160 03 37 53.86 -35 35 17.9 [SRH2010] 5 119               1621  55  1
161 03 37 53.88 -35 35 03.7 [SRH2010] 5 124               1392  72  1
162 03 37 54.41 -35 26 33.3 [SRH2010] GS04-M05 22         1624  42  1
163 03 37 54.47 -35 30 47.1 [SRH2010] 4 85                1209  56  1
164 03 37 54.90 -35 29 53.4 [SRH2010] 91 75               1322  47  1
165 03 37 55.14 -35 32 14.4 [SRH2010] 91 36               1222  80  1
166 03 37 55.21 -35 30 14.2 [SRH2010] 91 69               1259  29  1
167 03 37 55.31 -35 38 04.0 [SRH2010] 5 69                1124  55  1
168 03 37 55.51 -35 29 33.9 [DRG2004] 92:88               1315  49  2
169 03 37 55.55 -35 29 21.0 [SRH2010] 91 86               2120  71  1
170 03 37 55.99 -35 32 53.9 [SRH2010] 91 24                971  14  1
171 03 37 56.40 -35 39 15.0 [SRH2010] 5 49                1530  18  4
172 03 37 56.86 -35 31 50.7 [SRH2010] 91 41               1472  29  2
173 03 37 56.99 -35 41 01.8 [SRH2010] 5 15                1396  64  1
174 03 37 57.16 -35 24 46.9 [SRH2010] GS04-M06 42         1302  34  1
175 03 37 57.32 -35 26 21.0 [SRH2010] 82 4                2129  37  1
176 03 37 57.74 -35 25 04.9 [SRH2010] 82 5                1076  20  1
177 03 37 57.80 -35 31 13.7 [SRH2010] 91 51               1344  27  2
178 03 37 57.91 -35 23 58.4 [SRH2010] GS04-M05 59         1268  34  1
179 03 37 58.01 -35 26 47.0 [SRH2010] 82 6                 607  75  1
180 03 37 58.09 -35 32 00.1 [SRH2010] 91 39               1541  60  1
181 03 37 58.37 -35 29 34.5 [SRH2010] 91 82               1694  75  1
182 03 37 58.56 -35 25 58.5 [SRH2010] 82 8                1200  38  1
183 03 37 58.69 -35 29 40.6 [SRH2010] 92 78               1952  38  1
184 03 37 58.75 -35 29 32.2 [SRH2010] 91 83               1631  21  1
185 03 37 58.76 -35 22 12.4 [KGM99] aat 13                1922 150  9
186 03 37 58.97 -35 36 19.8 [SRH2010] 5 100               1316  20  1
187 03 37 59.03 -35 32 56.1 [SRH2010] 91 23               1917  61  2
188 03 37 59.38 -35 33 53.0 [SRH2010] 91 8                1977  40  2
189 03 37 59.38 -35 30 25.1 [DRG2004] 92:76               1827  57  2
190 03 37 59.45 -35 36 09.3 [SRH2010] 5 103               1564  12  3
191 03 37 59.57 -35 36 25.3 [SRH2010] 5 99                1949   9  3
