110 21.444 0.008 1 0.800 0.800   0.581   0.066   0.260   0.040  0  0  4
115 20.370 0.003 1 0.916 0.916   0.566   0.110   0.193   0.075 30 30  4
118 20.363 0.003 1 0.933 0.933   0.476   0.051   0.192   0.036  0  0  4
119 20.887 0.004 1 0.865 0.865   0.277   0.065   0.042   0.054  0  0  4
122 20.605 0.004 1 0.621 0.722   0.271   0.028   0.014   0.022  0  0  7
123 20.069 0.003 1 0.803 0.861   0.327   0.051   0.142   0.037  0 10  7
125 19.510 0.001 1 0.678 0.769   0.285   0.017   0.062   0.015 10 10  7
128 21.375 0.006 1 0.896 0.896   0.353   0.107   0.058   0.072  0  0  4
129 21.035 0.007 1 0.880 0.910   0.360   0.118   0.095   0.072  0  0  7
130 20.048 0.002 1 0.840 0.840   0.347   0.027   0.150   0.021  0 10  4
135 20.725 0.003 1 0.908 0.908   0.458   0.077   0.140   0.060  0  0  4
136 20.631 0.004 1 0.831 0.831   0.495   0.087   0.073   0.069  0  0  4
138 21.047 0.006 1 0.856 0.856   0.398   0.106   0.212   0.066  0  0  4
139 20.980 0.004 1 0.905 0.905   0.322   0.086   0.132   0.061  0  0  4
140 20.484 0.003 1 0.753 0.826   0.383   0.055   0.140   0.044 10 10  7
152 20.414 0.002 1 0.894 0.894   0.401   0.077   0.057   0.068  0  0  5
154 21.155 0.004 1 0.874 0.874   0.341   0.095   0.097   0.066  0  0  5
158 20.972 0.004 1 0.852 0.852   0.357   0.083   0.099   0.059  0  0  5
172 20.848 0.004 1 0.766 0.766   0.421   0.041   0.110   0.032  0  0  5
174 21.312 0.005 1 0.845 0.845   0.339   0.083   0.244   0.055  0  0  5
184 21.081 0.004 1 0.866 0.866   0.258   0.079   0.055   0.069  0  0  5
185 21.010 0.004 1 0.887 0.887   0.307   0.108   0.017   0.089  0  0  5
186 20.734 0.004 1 0.853 0.853   0.490   0.087   0.085   0.067  0  0  5
190 20.927 0.005 1 0.847 0.847   0.444   0.098   0.183   0.068  0  0  5
191 21.128 0.006 1 0.806 0.806   0.374   0.088   0.111   0.062  0  0  5
192 20.700 0.003 1 0.803 0.803   0.483   0.041   0.188   0.030  0  0  5
194 21.266 0.005 1 0.871 0.871   0.217   0.095   0.126   0.067  0  0  5
195 21.009 0.004 1 0.901 0.901   0.527   0.068   0.248   0.043  0  0  5
202 21.366 0.006 1 0.869 0.869   0.288   0.137   0.109   0.092  0  0  5
209 21.423 0.005 1 0.862 0.862   0.264   0.134   0.228   0.096  0  0  5
210 21.171 0.005 1 0.848 0.848   0.261   0.099   0.252   0.070  0  0  5
211 21.205 0.005 1 0.852 0.852   0.283   0.085   0.107   0.058  0  0  5
220 21.436 0.006 1 0.896 0.896   0.323   0.103   0.093   0.066  0  0  5
221 20.987 0.004 1 0.930 0.930   0.342   0.087   0.192   0.054  0  0  5
223 20.743 0.003 1 0.898 0.898   0.264   0.087   0.179   0.081  0  0  5
228 18.576 0.001 1 0.802 0.802   0.265   0.009   0.046   0.009  0  0  5
233 21.272 0.006 1 0.872 0.872   0.425   0.122   0.089   0.093  0  0  5
235 21.498 0.006 1 0.866 0.866   0.209   0.095   0.117   0.072  0  0  5
236 18.835 0.001 1 0.728 0.728   0.241   0.009   0.129   0.008 10 10  5
237 19.708 0.001 1 0.774 0.774   0.362   0.023   0.046   0.025  0 10  5
245 21.094 0.004 1 0.831 0.831   0.296   0.087   0.206   0.065  0  0  5
246 21.360 0.005 1 0.898 0.898   0.238   0.117   0.077   0.088  0  0  5
250 21.375 0.006 1 0.889 0.889   0.263   0.105   0.112   0.072  0  0  5
254 20.736 0.003 1 0.958 0.958   0.520   0.093   0.080   0.069  0  0  5
259 20.847 0.003 1 0.889 0.889   0.404   0.096   0.172   0.083  0  0  5
260 20.803 0.004 1 0.964 0.964   0.543   0.090   0.213   0.063  0  0  5
263 21.267 0.005 1 0.816 0.816   0.602   0.096   0.136   0.089  0  0  5
265 21.296 0.005 1 0.903 0.903   0.295   0.113   0.121   0.077  0  0  5
266 21.010 0.004 1 0.887 0.887   0.572   0.095   0.059   0.096  0  0  5
267 20.471 0.003 1 0.895 0.895   0.532   0.092   0.156   0.068  0  0  5
271 21.022 0.005 1 0.858 0.858   0.430   0.069   0.153   0.038  0  0  5
276 21.458 0.008 1 0.948 0.948   0.388   0.166   0.026   0.114  0  0  5
278 19.318 0.001 1 0.842 0.842   0.449   0.023   0.096   0.022  0  0  5
282 19.463 0.001 1 0.772 0.772   0.198   0.016   0.058   0.015  0 10  5
287 21.057 0.004 1 0.933 0.933   0.323   0.131   0.077   0.118  0  0  5
288 21.317 0.005 1 0.924 0.924   0.274   0.109   0.120   0.089  0  0  5
289 21.327 0.006 1 0.814 0.814   0.417   0.093   0.083   0.075  0  0  5
290 20.470 0.003 1 0.846 0.846   0.854   0.049   0.334   0.035 30 24  5
292 20.109 0.002 1 0.859 0.859   0.483   0.050   0.238   0.038  0 14  5
293 21.057 0.005 1 0.913 0.913   0.426   0.115   0.220   0.080  0  0  5
302 20.430 0.003 1 0.909 0.909   0.326   0.073   0.190   0.061  0  0  5
303 21.233 0.006 1 0.860 0.860   0.291   0.083   0.064   0.057  0  0  5
305 21.392 0.008 1 0.877 0.877   0.493   0.107   0.154   0.062  0  0  5
306 20.688 0.004 1 0.849 0.849   0.859   0.070   0.164   0.051  0  0  5
308 21.427 0.006 1 0.888 0.888   0.242   0.106   0.063   0.074  0  0  5
311 21.171 0.006 1 0.936 0.936   0.459   0.132   0.205   0.079  0  0  5
312 20.902 0.004 1 0.888 0.888   0.411   0.093   0.102   0.074  0  0  5
315 21.292 0.006 1 0.855 0.855   0.357   0.069   0.069   0.047  0  0  5
316 20.602 0.003 1 0.926 0.926   0.462   0.075   0.265   0.054  0  0  5
319 20.614 0.003 1 0.896 0.896   0.382   0.083   0.138   0.066  0  0  5
323 20.874 0.004 1 0.882 0.882   0.383   0.096   0.184   0.072  0  0  5
325 20.484 0.003 1 0.655 0.655   0.260   0.030   0.014   0.029 10 10  5
327 21.473 0.007 1 0.857 0.857   0.483   0.079   0.234   0.048  0  0  5
332 21.038 0.006 1 0.882 0.882   0.404   0.088   0.170   0.063  0  0  5
346 20.081 0.002 1 0.794 0.794   0.367   0.033   0.043   0.031 10 10  5
347 21.192 0.006 1 0.899 0.899   0.343   0.115   0.221   0.075  0  0  5
348 19.658 0.002 1 0.768 0.768   0.225   0.012   0.036   0.010 10 10  5
350 21.109 0.006 1 0.943 0.943   0.408   0.099   0.189   0.060  0  0  5
360 20.683 0.003 1 0.919 0.919   0.438   0.098   0.162   0.073  0  0  5
364 20.133 0.003 1 0.821 0.821   0.444   0.058   0.124   0.053 10 10  5
366 20.742 0.004 1 0.906 0.906   0.420   0.093   0.151   0.064  0  0  5
367 21.158 0.006 1 0.909 0.909   0.526   0.077   0.481   0.044  0  0  5
375 20.593 0.005 1 0.842 0.842   0.663   0.098   0.283   0.066 30 24  1
378 20.981 0.004 1 0.873 0.873   0.335   0.111   0.143   0.087  0  0  5
380 21.224 0.005 1 0.886 0.886   0.409   0.083   0.036   0.050  0  0  5
