STAR065 186.066498 12.837589 20.272 0.003 0.495 0.003 0.694 0.003    136  19
STAR066 186.067352 12.807548 19.018 0.001 0.547 0.002 0.812 0.001    -74  12
STAR067 186.073746 12.724860 17.527 0.001 0.519 0.001 0.800 0.001   -111   9
STAR068 186.074020 12.605950 19.985 0.002 0.527 0.003 0.746 0.003     16  17
STAR069 186.080902 13.120481 17.580 0.001 0.547 0.001 0.748 0.001    126   6
STAR070 186.083267 13.185675 17.804 0.001 0.612 0.001 0.916 0.001    -25   8
STAR071 186.087646 11.941494 20.300 0.004 0.537 0.004 0.814 0.005    -47  15
STAR072 186.091141 12.092908 20.858 0.006 0.401 0.006 0.677 0.007   -178  39
STAR073 186.094452 12.031828 19.803 0.003 0.640 0.003 0.973 0.003     57  11
STAR074 186.095062 12.153831 19.215 0.002 0.434 0.002 0.686 0.002     86  28
STAR075 186.095886 12.137136 20.739 0.006 0.496 0.005 0.765 0.007   -112  24
STAR076 186.098984 11.758680 18.875 0.002 0.659 0.002 1.129 0.002     -2   9
STAR077 186.100800 11.644261 20.795 0.006 0.635 0.006 0.928 0.007    112  26
STAR078 186.107880 13.266589 19.761 0.002 0.493 0.003 0.740 0.002      9  14
STAR079 186.108368 12.879994 18.294 0.001 0.487 0.001 0.724 0.001    322  12
STAR080 186.110245 11.890211 18.711 0.001 0.559 0.001 0.816 0.002    -60   7
STAR081 186.113953 12.617033 19.605 0.002 0.534 0.002 0.762 0.002    215  19
STAR082 186.118484 11.707097 18.268 0.001 0.467 0.001 0.695 0.001     85  14
STAR083 186.119705 12.323475 17.655 0.001 0.537 0.001 0.806 0.001     91   4
STAR084 186.134064 12.351820 17.471 0.001 0.503 0.001 0.715 0.001     -5   4
STAR085 186.134979 12.134117 19.158 0.002 0.637 0.002 0.979 0.002    145   8
STAR086 186.135101 12.762847 18.965 0.001 0.493 0.002 0.727 0.001   -158  12
STAR087 186.137131 13.299439 20.437 0.003 0.526 0.004 0.780 0.004    -36  22
STAR088 186.137161 12.513942 19.583 0.002 0.497 0.002 0.685 0.002     43  24
STAR089 186.137909 12.115125 20.897 0.007 0.544 0.006 0.841 0.008    -53  26
STAR090 186.139221 12.722311 18.745 0.001 0.502 0.001 0.773 0.001   -109  12
STAR091 186.140411 11.588802 20.251 0.004 0.741 0.004 1.098 0.005    146  17
STAR092 186.146835 13.317894 19.590 0.002 0.632 0.002 0.897 0.002     24  12
STAR093 186.148438 12.310522 19.285 0.002 0.570 0.002 0.846 0.002    154   8
STAR094 186.153549 12.556419 19.065 0.001 0.505 0.002 0.687 0.002      2   8
STAR095 186.154541 12.222898 20.543 0.005 0.695 0.005 1.023 0.006   -158  22
STAR096 186.156097 13.201853 19.958 0.002 0.625 0.003 1.084 0.003    112  14
STAR097 186.156433 12.303536 20.744 0.006 0.621 0.006 0.903 0.007    166  22
STAR098 186.169205 13.018272 18.687 0.001 0.489 0.001 0.727 0.001    233   9
STAR099 186.171066 13.198964 20.290 0.003 0.482 0.004 0.873 0.004   -117  15
STAR100 186.173615 12.834650 19.052 0.001 0.532 0.002 0.771 0.001     -2  11
STAR101 186.174820 13.047265 17.892 0.001 0.632 0.001 0.943 0.001      0   6
STAR102 186.176544 11.585305 20.657 0.005 0.531 0.005 0.772 0.006     45  20
STAR103 186.177856 11.829348 18.236 0.001 0.521 0.001 0.786 0.001    -60   9
STAR104 186.181061 13.356089 17.963 0.001 0.535 0.001 0.745 0.001     39   5
STAR105 186.182907 12.000622 18.056 0.001 0.569 0.001 0.998 0.001     41   7
STAR106 186.183990 11.692400 19.538 0.002 0.512 0.002 0.747 0.003    -26  10
STAR107 186.195908 12.714583 19.295 0.001 0.586 0.002 0.835 0.002    -13   7
STAR108 186.206390 12.711894 20.493 0.003 0.561 0.004 0.788 0.004      3  20
