gaia_dr3_id,gaia_ra,gaia_dec,layer,pixel_scale_arcsec,width_pixels,height_pixels,url,content_type,byte_count,file_path,sha256
3907614331696710656,188.236130375728,11.851290731174,ls-dr10,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=188.236130375728&dec=11.851290731174&pixscale=0.262&width=128&height=128&layer=ls-dr10,image/jpeg,6093,data/literature/validation/gaia_image_cutouts/3907614331696710656_ls-dr10.jpg,14e602620206aaeb402dda0fa06556db604ee3eba562c2bcd7d9456be7380fff
3907614331696710656,188.236130375728,11.851290731174,ls-dr10-model,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=188.236130375728&dec=11.851290731174&pixscale=0.262&width=128&height=128&layer=ls-dr10-model,image/jpeg,1815,data/literature/validation/gaia_image_cutouts/3907614331696710656_ls-dr10-model.jpg,9d07ca4f3a3675c96d5ca7596b80a3ede2facf716b3144d72f06d2fa375fd8ba
3907614331696710656,188.236130375728,11.851290731174,ls-dr10-resid,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=188.236130375728&dec=11.851290731174&pixscale=0.262&width=128&height=128&layer=ls-dr10-resid,image/jpeg,5911,data/literature/validation/gaia_image_cutouts/3907614331696710656_ls-dr10-resid.jpg,69cc807bbd3c5450a78888aa30f3e270e741b7c0e758a23dd6c75d3a3e424d20
3907655773836976896,187.583490953826,11.921880550631,ls-dr10,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.583490953826&dec=11.921880550631&pixscale=0.262&width=128&height=128&layer=ls-dr10,image/jpeg,6417,data/literature/validation/gaia_image_cutouts/3907655773836976896_ls-dr10.jpg,f307b9c9878ef14e6b6342fa873219756a40b9121d9cc5ec97f7b77d69a175ab
3907655773836976896,187.583490953826,11.921880550631,ls-dr10-model,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.583490953826&dec=11.921880550631&pixscale=0.262&width=128&height=128&layer=ls-dr10-model,image/jpeg,1976,data/literature/validation/gaia_image_cutouts/3907655773836976896_ls-dr10-model.jpg,184f5c7098f2c5c06385814a9eeeb08ceee4d37156c67fb98167051efc78c222
3907655773836976896,187.583490953826,11.921880550631,ls-dr10-resid,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.583490953826&dec=11.921880550631&pixscale=0.262&width=128&height=128&layer=ls-dr10-resid,image/jpeg,6352,data/literature/validation/gaia_image_cutouts/3907655773836976896_ls-dr10-resid.jpg,33fe454fb40ee772f511e5e6b58e298e50fea37d53047e0bf38b177fd07c39c0
3907685799952667776,187.833365221477,12.199485398358,ls-dr10,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.833365221477&dec=12.199485398358&pixscale=0.262&width=128&height=128&layer=ls-dr10,image/jpeg,7632,data/literature/validation/gaia_image_cutouts/3907685799952667776_ls-dr10.jpg,3ecf61b13c07e118a366a7720f6fb1934cd9183894a61565a897bced8062323d
3907685799952667776,187.833365221477,12.199485398358,ls-dr10-model,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.833365221477&dec=12.199485398358&pixscale=0.262&width=128&height=128&layer=ls-dr10-model,image/jpeg,1954,data/literature/validation/gaia_image_cutouts/3907685799952667776_ls-dr10-model.jpg,4c539c41ecc0fec8ea0a0f4dd3decf3798ce4e425451f30afd6941c30de55f87
3907685799952667776,187.833365221477,12.199485398358,ls-dr10-resid,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.833365221477&dec=12.199485398358&pixscale=0.262&width=128&height=128&layer=ls-dr10-resid,image/jpeg,7479,data/literature/validation/gaia_image_cutouts/3907685799952667776_ls-dr10-resid.jpg,7926161ea01170a0170530172bca2e0d0cd5fa592808ce2f9d8ee397e30f1efb
3907692671900370432,187.906011986219,12.294647672249,ls-dr10,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.906011986219&dec=12.294647672249&pixscale=0.262&width=128&height=128&layer=ls-dr10,image/jpeg,6796,data/literature/validation/gaia_image_cutouts/3907692671900370432_ls-dr10.jpg,20ee29b62abb547417bc168e5cc7b6b0f3446189dd4efc5d209e01c0cfd1809d
