source_id,ra,dec,ra_error,dec_error,phot_g_mean_mag,duplicated_source,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe
3908714122498121088,186.6195355243669,12.945163835159947,1.05065,0.959118,20.08121,0,0,0,1.46851
3931647697374922624,188.3727960789057,12.171496269297524,3.471323,3.446434,21.02024,0,0,0,NaN
3931665942396028544,188.10568096459627,12.332424746299203,2.317905,1.579652,20.88342,0,0,0,1.536544
3931732153611950208,187.89637617399703,12.58315467862242,1.029327,0.815055,20.450378,0,0,0,1.481896
3931738170861716352,187.88206781989572,12.691765075771974,10.298512,5.543141,21.396746,0,5,0,NaN
3931745592565027712,187.9899660731736,12.824879427964637,21.724613,8.344676,21.644632,0,0,0,NaN
3931942263415425280,187.63099267583564,12.865732510778383,1.009113,1.053836,20.336796,1,0,0,1.570686
3931957794015326336,187.76810180457764,13.178513021963411,0.965412,0.909921,20.44622,0,0,0,1.43509
3931980578815957376,187.99159575854216,13.259498437495903,11.349719,8.749362,21.583002,0,0,0,NaN
3931982533025372672,187.76992958298968,13.243527250023432,3.697504,2.755157,21.08269,0,0,0,NaN
4860082222177018624,54.89480670991268,-35.89561972825733,0.8476,1.009274,20.672066,0,0,0,2.765647
4860113695696653568,55.399316787485624,-35.916050308108886,0.994526,1.065524,20.786503,0,0,0,1.717572
4860259037390103552,54.19883780774969,-35.80936281698443,0.587207,0.909197,20.602625,0,0,0,1.336728
4860278347563228160,54.549885786988455,-35.665872964818846,0.730101,0.747467,20.571415,0,1,0,1.404226
4860278691160658816,54.606447179499625,-35.6284992848403,0.443017,0.614222,20.327822,0,0,0,1.372333
4860280860120934400,54.67479614413211,-35.553600976685914,0.700835,0.807141,20.162407,0,0,0,1.985426
4860284227374824704,54.424202699576874,-35.68968141847157,0.964285,1.201464,20.824932,0,0,0,1.371049
4860287422830497664,54.263524305880246,-35.63455273405569,0.357558,0.45069,20.002756,0,0,0,1.419068
4860288449326385408,54.35357446652234,-35.60266871901267,0.626682,0.809967,20.382261,0,1,0,1.554452
4860290957587302528,54.53852214323105,-35.58525081445421,1.002141,1.164734,20.877302,0,0,0,1.224656
4860292508072273536,54.5733280180808,-35.550689633670004,2.335836,2.54288,21.051374,0,0,0,NaN
4860293053533702784,54.61129793624234,-35.50205042515525,0.698976,0.803531,20.66213,0,1,0,1.231834
4860293122251236352,54.60435924536225,-35.49032776652996,0.895003,0.984596,20.594759,0,0,0,6.366281
4860293740728466560,54.552919920024564,-35.482514170303396,0.870874,1.044179,20.745657,0,0,0,1.28896
4860293779382565504,54.52626639997136,-35.48293534876845,0.449421,0.551374,20.010443,0,0,0,1.513036
4860293951179281664,54.57673522604891,-35.461034290666845,1.1646,1.625781,20.977417,0,0,0,NaN
4860294226057189248,54.55913304008027,-35.445440312665895,1.19038,1.28876,20.870335,0,0,0,1.326397
4860294324842097792,54.56875431983333,-35.438749249491025,0.872569,1.085106,20.751947,0,0,0,1.694032
4860294329137097984,54.571200642680516,-35.44191501401883,0.973751,1.072613,20.86543,0,0,0,1.317853
4860295428650008704,54.43783497468629,-35.48370690267935,0.580929,0.768057,20.592636,0,0,0,1.866232
4860295703527486336,54.364893891613406,-35.503464656622555,1.055996,1.275291,20.569206,0,0,0,1.973412
4860297176700385408,54.54474568990566,-35.42944603662705,0.510544,0.66394,20.257067,0,0,0,1.371653
4860297520297524864,54.521043347871036,-35.4025909638344,0.305905,0.385046,19.31475,0,0,0,1.596738
4860297554657264128,54.54311766585381,-35.40161717832392,0.380828,0.462059,19.798857,0,0,0,1.537357
4860297623376754560,54.527099908403706,-35.38435926728185,0.896156,1.077772,20.564486,0,0,0,1.472689
4860335182866880768,54.09271325574481,-35.60947120628781,2.588369,3.35902,21.25085,0,0,0,NaN
4860337450609647616,54.21522137002411,-35.51077552939474,3.01893,3.240951,21.183546,0,0,0,NaN
4860337484969251968,54.19833060193849,-35.49354289810336,0.652632,0.781897,20.490463,0,0,0,1.440314
4860342742009219200,54.143047701606505,-35.325660766084916,0.721124,0.816343,20.607254,0,0,0,1.34377
4860345108535182208,54.4315531237498,-35.380960465099406,0.605954,0.719801,20.262913,0,0,0,1.742701
4860345417772855040,54.409386712520075,-35.33902650389602,2.499676,2.785044,21.191114,0,0,0,NaN
4860361605506084992,54.11540429460201,-35.23720178932182,0.526672,0.609876,20.185652,0,0,0,4.997539
4860372905562802688,54.899673065875035,-35.473453630301634,0.574936,0.716935,19.996956,0,0,0,1.708084
4860373425254943104,54.931338923724354,-35.449761554656895,8.418316,10.656544,21.687572,1,0,6,NaN
4860373837573341568,54.72522831858919,-35.55926442081203,0.81446,0.921386,20.272625,0,0,0,1.870259
4860376994371696256,54.823682341424224,-35.42501644942204,0.491215,0.618549,20.318441,0,0,0,1.28067
4860382182692640384,55.082909203540595,-35.25824247875374,0.801865,0.88889,20.804945,0,0,0,1.239103
4860384381715556224,54.90486226697132,-35.256030989975244,0.780472,0.899403,20.591324,0,1,0,1.660471
4860386752537760000,54.66903546580142,-35.48600574475603,2.409254,2.190977,21.086206,0,0,0,1.219045
4860386924337909760,54.70359265239762,-35.46219502732605,3.214033,2.157648,21.154877,0,0,0,NaN
4860387031711083520,54.65355447525443,-35.469252950596754,3.335816,3.234427,21.175093,0,1,0,NaN
4860387169150176256,54.66394397523792,-35.451657966203086,1.177333,1.14124,20.840185,0,0,0,1.3381
4860387890704538112,54.64092335176304,-35.43251704901293,0.549793,0.670386,20.402227,0,0,0,1.326656
4860387925064280448,54.618155156385114,-35.427308879024,1.474195,1.627774,20.648664,0,0,0,NaN
4860388367445133696,54.62074060387472,-35.38224940084508,0.512894,0.593752,20.160774,0,0,0,1.504232
4860389677412716416,54.83550009023112,-35.32065150089793,0.779676,0.899855,20.430866,0,0,0,1.429681
4860391975217694848,54.59683782037404,-35.33350660121884,0.432898,0.503376,20.072725,0,2,0,1.408434
4860394792716297088,54.598929038959504,-35.230393805326734,0.587258,0.7286,20.258673,0,0,0,1.560642
4860410460757384576,55.1038787498543,-35.110343392415935,2.257585,2.720898,21.123106,0,1,0,NaN
4860423105141125248,54.96893862188488,-35.07332804545109,0.551201,0.640382,20.185795,0,0,0,1.609163
4860424720048885888,55.1544420779869,-34.97778296671838,0.727804,0.730126,20.65125,0,0,0,1.373576
4860440697326744320,54.4312655915063,-35.2527582743547,1.116638,1.171005,20.707176,0,0,0,1.425298
