r_in_kpc,r_out_kpc,r_mid_kpc,area_deg2,n_candidates,density,density_err
0,10,5.0,0.0031666200220210926,5,1578.970626481656,706.1371310576825
10,20,15.0,0.009499860066063279,3,315.7941252963312,182.3238232483392
20,30,25.0,0.015833100110105452,9,568.4294255333966,189.47647517779885
30,40,35.0,0.02216634015414766,3,135.3403394127133,78.13878139214533
40,50,45.0,0.028499580198189833,11,385.9705975844048,116.37451384515681
50,60,55.0,0.03483282024223198,6,172.2513410707263,70.32131552223181
60,80,70.0,0.08866536061659064,24,270.6806788254266,55.25246219603918
80,100,90.0,0.11399832079275933,35,307.022066260322,51.896201119090335
100,125,112.5,0.17812237623868638,46,258.24941802011097,38.0767993687489
125,150,137.5,0.21770512651395008,58,266.4154075227231,34.98205682067807
150,175,162.5,0.25728787678921394,59,229.31511867672035,29.854285571960606
175,200,187.5,0.2968706270644774,61,205.4767108594795,26.30859695732156
200,225,212.5,0.33645337733974096,56,166.44208015618403,22.241758524514516
225,250,237.5,0.3760361276150046,87,231.36074863815432,24.804475868442154
250,275,262.5,0.4156188778902683,113,271.88370406465094,25.57666741870474
275,300,287.5,0.455201628165532,111,243.84798544621057,23.145026513440975
