source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,astrometric_excess_noise,astrometric_excess_noise_sig,phot_bp_rp_excess_factor,pmra,pmra_error,pmdec,pmdec_error,ruwe,classprob_dsc_combmod_galaxy,model_c_score,radius_kpc
3480101091009384192,178.32607242854536,-29.307021750067307,20.945908,21.458464,19.678293,1.7801704,5.2457237,2.8088822,1.8051976,,,,,,2.159388e-05,0.8744251456839331,268.3334804464999
3480112086126956160,178.0580071376693,-29.219158407192655,20.568224,18.950018,17.493513,1.4565048,14.253625,190.34537,10.365775,,,,,,1.0,1.000000011920929,186.19352816335794
3480114491306404480,178.24780242841987,-29.179861861940235,19.553522,20.568117,17.704214,2.863903,56.113564,4769.712,2.5965784,,,,,,0.0,0.9000000119209289,216.34982276891606
3480119022499353344,178.1213124611976,-29.094890792123252,20.933529,20.892368,18.842724,2.0496445,13.300051,18.48227,3.6408236,,,,,,4.554073e-05,0.9000000119209289,163.49852122385514
3480142735012907392,178.46591477771295,-28.957333386284805,20.609692,19.254606,18.243423,1.0111828,16.96402,110.76635,6.247916,,,,,,0.036586337,1.000000011920929,242.80415329300337
3480759865977757440,177.53391445669305,-29.485115818372023,20.019361,21.249954,18.827335,2.4226189,1.6261113,2.756007,1.4953626,1.3053047782386478,0.7290116,-2.291647990143887,0.41619816,1.0791657,2.006836e-12,0.642324050491267,268.5665059579137
3480769697159931776,177.62904791746965,-29.27421336991664,20.375784,21.578037,18.682205,2.895832,25.991282,305.43036,2.2424707,,,,,,0.0,0.9000000119209289,183.00034759343464
3480801097663961728,177.1364527291667,-29.355633715181135,16.479765,16.913986,15.564216,1.3497705,7.1093745,3527.4763,1.46437,,,,,,0.0,0.8586219817399978,293.52377474309424
3480841470355929856,177.41423646527386,-28.879035759748376,20.918505,21.257713,19.943235,1.3144779,2.984087,1.8571305,1.5641437,,,,,,5.4579646e-06,0.5844041555254557,117.49314751466935
3480844635747892224,176.9845158143105,-29.02200851701874,20.963797,21.348907,19.7272,1.6217079,2.3828883,1.0821396,1.8234316,,,,,,3.976761e-06,0.5076076004527976,269.8514478812104
3480866660340003840,177.7938235177188,-29.099048079999257,20.95354,20.631737,19.8078,0.82393646,2.6630085,1.1883713,2.1846473,3.152757410901679,2.3856199,-1.6797599851022709,1.4421691,1.1515763,0.0003756035,0.5251014274102539,112.07112464441512
3480869988938654208,178.0837109249752,-29.054077922969388,20.567501,20.628504,19.754734,0.87376976,2.016238,2.8319802,1.5754517,-1.7080174240827137,1.193053,-2.997378245727292,0.9134143,1.0682007,3.56872e-06,0.8036449849593584,143.86376253313819
3480880331219942656,177.82274640622165,-28.995273747957533,20.545002,19.964916,18.52152,1.4433956,8.899655,25.974133,3.951345,0.002326061270703632,2.0524971,-0.8228914606026123,1.1991982,1.6206805,0.99912626,1.000000011920929,75.20109436917716
3480892292703980032,177.75712423853153,-28.80598799375918,20.254257,14.671941,13.263641,1.4082994,54.941452,68.65008,387.2968,,,,,,0.039644975,1.000000011920929,0.0181575206940147
3480913870620476672,178.12622099612128,-28.701311399744096,20.860918,21.42248,19.665611,1.7568684,2.8706627,2.1948745,1.6980703,-5.9929215192520475,1.8848335,-0.17289560458379913,1.2045943,1.152637,1.5257223e-05,0.7451948085282678,129.255910494159
3480922529275327872,178.27814532635279,-28.554665103095623,20.835667,20.460503,18.515064,1.9454384,11.06545,63.375305,4.592784,-1.6447890285976585,2.4535184,-0.5195481407758393,1.6975466,1.6810766,0.9940058,0.9000000119209289,198.25204401938734
3480925071895073024,178.3895685780541,-28.44228231094579,20.896744,20.880297,20.00616,0.874136,2.7041047,1.5063915,1.6922618,-7.942530042148964,2.3035026,3.295682886471943,2.0893824,0.99086297,5.8381863e-07,0.5818318926586799,252.2398685661611
3480963726602265728,177.52472849464658,-28.444746074520683,20.665382,19.39303,17.90095,1.4920807,15.076836,238.69363,7.7111807,,,,,,1.0,1.000000011920929,157.6659996594477
3480979566441706240,177.98218498567297,-28.305454037466458,20.693213,20.117517,18.440697,1.6768208,8.394809,69.44499,4.583726,2.108188482246692,2.0205116,1.5659131774035089,1.1659093,3.5541322,0.9947437,1.000000011920929,204.5258416608469
3480986365373609984,177.8774273994862,-28.2912826172225,20.879065,20.58696,19.049154,1.5378056,3.7788446,3.4556599,3.219881,-4.350612772451576,2.3942266,-6.2978891878105205,1.599761,1.1898248,0.6741726,0.956354011027246,199.69277332132967
3480993516493947776,177.87834475865125,-28.209304632235682,20.994474,21.498518,19.999142,1.4993763,4.4357758,3.9170368,1.5086788,,,,,,5.456526e-06,0.8686372696602022,230.35609289097118
3481047530003576448,177.08884780990962,-28.6658080870302,20.94644,19.353031,17.940357,1.412674,16.347324,34.47519,9.855339,,,,,,1.0,1.000000011920929,229.00106665696893
3481143324954707456,177.150583978116,-28.522426656204676,20.471725,19.308659,18.417555,0.89110374,13.743309,67.73834,4.908659,,,,,,0.42161667,1.000000011920929,229.19614903512476
3481184105667129472,177.58648677818488,-28.069634295632248,20.791904,20.71093,20.298561,0.41236877,4.1099644,2.7065132,1.4444305,-0.9419912168789637,1.8468689,-3.9914553621196407,1.2839495,1.1133668,1.0248297e-06,0.6026975363340568,285.60913278432463
3486988019528610432,178.13968341301148,-28.129905843582645,20.972618,21.31599,19.91443,1.4015598,5.7026916,15.413302,1.6441365,,,,,,1.628401e-05,0.9664819061756134,286.98448556673884
3480139573916945920,178.46408934012064,-29.087936085215556,19.449202,20.207588,17.991953,2.2156353,19.294565,862.6454,1.9717292,,,,,,5.3516246e-06,0.9000000119209289,258.4078435355593
3480156513267223936,178.60727732489082,-28.659337407187635,20.86179,21.437906,19.775093,1.6628132,4.4705825,5.2543793,1.5718255,,,,,,3.437284e-06,0.9227543615615749,288.7655177469757
3480771690023140736,177.68258633228135,-29.206370591386037,20.864017,20.684069,19.93616,0.74790955,3.920327,4.190053,1.8453121,,,,,,3.83817e-05,0.8914438936336295,154.20022348601725
3480870749149563264,178.0646263452572,-29.053589319778112,18.908026,18.8116,17.967375,0.84422493,8.885944,351.56656,1.7936617,,,,,,0.00016784537,1.000000011920929,139.00639327247333
3480873287473633920,178.1140184177214,-28.92681317065088,20.891808,21.780474,19.84105,1.9394245,4.1459556,2.619776,1.4278293,,,,,,4.2895185e-06,0.5760759513455587,127.36575006105484
