r_in_kpc,r_out_kpc,r_mid_kpc,area_deg2,n_candidates,density,density_err
0,10,5.0,0.0017369845415157097,0,0.0,575.7103624695418
10,20,15.0,0.005210953624547129,0,0.0,191.9034541565139
20,30,25.0,0.00868492270757854,0,0.0,115.14207249390846
30,40,35.0,0.012158891790609975,4,328.9773499825951,164.48867499129756
40,50,45.0,0.015632860873641373,4,255.87127220868544,127.93563610434272
50,60,55.0,0.01910682995667279,4,209.3492227161972,104.6746113580986
60,80,70.0,0.0486355671624399,9,185.04975936520975,61.68325312173658
80,100,90.0,0.06253144349456549,13,207.89540866955693,57.65981199166371
100,125,112.5,0.0977053804602587,19,194.4621668786007,44.61268072451384
125,150,137.5,0.11941768722920486,24,200.97525380754942,41.02390189623651
150,175,162.5,0.14112999399815152,32,226.74131198800396,40.08257982046306
175,200,187.5,0.16284230076709766,32,196.5091370562704,34.73823584440137
200,225,212.5,0.18455460753604414,36,195.0642169308565,32.51070282180942
225,250,237.5,0.2062669143049907,39,189.0754032531546,30.276295252880015
250,275,262.5,0.227979221073937,39,171.06822199094947,27.392838562129544
275,300,287.5,0.24969152784288243,46,184.22731599025397,27.162835846769408
