r_in_kpc,r_out_kpc,r_mid_kpc,area_deg2,n_candidates,density,density_err
0,10,5.0,0.0036863447928871724,23,6239.242743754913,1300.972044873911
10,20,15.0,0.011059034378661518,18,1627.6285418491077,383.6357263980921
20,30,25.0,0.018431723964435858,22,1193.5942640226795,254.47515212758287
30,40,35.0,0.025804413550210212,19,736.3081498841201,168.92067456054102
40,50,45.0,0.033177103135984536,17,512.4015779895342,124.275636987295
50,60,55.0,0.0405497927217589,18,443.8986932315749,104.62792538129786
60,80,70.0,0.10321765420084085,34,329.4010144218432,56.49180791785326
80,100,90.0,0.13270841254393814,42,316.4833275817711,48.83443765301741
100,125,112.5,0.20735689459990347,46,221.83974200017468,32.708485513403446
125,150,137.5,0.253436204510993,47,185.4510096167469,27.050809941022745
150,175,162.5,0.29951551442208263,71,237.0494901975112,28.132598705060992
175,200,187.5,0.34559482433317246,72,208.33645335668578,24.552686489477892
200,225,212.5,0.39167413424426184,75,191.4857108057775,22.1108653359365
225,250,237.5,0.43775344415535206,87,198.74201142578565,21.307380164846105
250,275,262.5,0.48383275406644105,116,239.75226775174175,22.260439219437384
275,300,287.5,0.5299120639775311,146,275.5174111419939,22.80198318735938
