r_in_kpc,r_out_kpc,r_mid_kpc,area_deg2,n_candidates,density,density_err
0,10,5.0,0.0021746829694959994,5,2299.1857066682187,1028.2271066012058
10,20,15.0,0.006524048908487998,1,153.2790471112146,153.2790471112146
20,30,25.0,0.010873414847480002,5,459.83714133364356,205.64542132024107
30,40,35.0,0.01522278078647199,7,459.83714133364396,173.80210279424028
40,50,45.0,0.019572146725464007,10,510.93015703738166,161.5703021505634
50,60,55.0,0.023921512664456007,7,292.6236353941368,110.60133814178917
60,80,70.0,0.06089112314588796,15,246.34132571445213,63.60505679831533
80,100,90.0,0.07828858690185603,19,242.6918245927563,55.67732304333284
100,125,112.5,0.12232591703415004,26,212.5469453275508,41.68388545306616
125,150,137.5,0.14950945415284986,39,260.85306926563084,41.76992039589598
150,175,162.5,0.17669299127154992,44,249.0194980760656,37.54110184549718
175,200,187.5,0.20387652839025014,56,274.67605242329626,36.70513144712618
200,225,212.5,0.2310600655089495,55,238.03334374918074,32.09640952347266
225,250,237.5,0.25824360262765067,63,243.95570445490083,30.73552975729713
250,275,262.5,0.2854271397463494,92,322.3239390681547,33.604593645682264
275,300,287.5,0.31261067686505006,77,246.31276440132558,28.069944620542056
