r_in_kpc,r_out_kpc,r_mid_kpc,area_deg2,n_candidates,density,density_err
0,10,5.0,0.0036290750819420515,52,14328.719804874605,1987.0359218550673
10,20,15.0,0.010887225245826155,34,3122.926111318824,535.5774095957754
20,30,25.0,0.01814537540971026,39,2149.3079707311904,344.16471731174374
30,40,35.0,0.02540352557359436,36,1417.1261345480377,236.18768909133965
40,50,45.0,0.03266167573747848,29,887.8907571396651,164.87717441132872
50,60,55.0,0.03991982590136255,20,501.0041889816297,112.02794235750751
60,80,70.0,0.10161410229437744,41,403.4873021977052,63.01412985850045
80,100,90.0,0.13064670294991393,50,382.7115332498557,54.12358407985476
100,125,112.5,0.20413547335924032,64,313.51728803828206,39.18966100478526
125,150,137.5,0.24949891188351628,70,280.5623458297123,33.53361424376422
150,175,162.5,0.2948623504077916,85,288.2701025832762,31.267282664410537
175,200,187.5,0.3402257889320675,100,293.9224575358892,29.392245753588917
200,225,212.5,0.3855892274563434,104,269.71707867999226,26.447935525740785
225,250,237.5,0.43095266598061793,121,280.7732949619158,25.524844996537798
250,275,262.5,0.4763161045048947,102,214.14350477614772,21.203366509851637
275,300,287.5,0.5216795430291704,129,247.27824144867185,21.771635179808957
