source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,astrometric_excess_noise,astrometric_excess_noise_sig,phot_bp_rp_excess_factor,pmra,pmra_error,pmdec,pmdec_error,ruwe,classprob_dsc_combmod_galaxy,model_c_score,radius_kpc
3680338170065069056,189.31304429718887,-4.910932612016741,20.984186,21.623493,20.064901,1.5585918,4.5224667,2.4489295,1.384063,,,,,,1.03038265e-05,0.6143930366827458,297.9700673214113
3680346863079381760,189.30772448921715,-4.641441624559976,16.599281,17.124868,15.923293,1.2015753,0.5153853,17.495468,1.2314509,1.8842558538254794,0.114746414,-0.5515878450263093,0.0996169,1.5405318,3.446281e-12,0.7188705213367939,236.3971021323934
3680364180387471360,188.81757873412982,-4.809112139348503,19.243093,17.061451,15.604675,1.4567757,8.5163,198.52777,17.42011,,,,,,1.0,1.000000011920929,252.4668940501256
3680386411138201856,188.86588561145697,-4.569089398998319,20.74631,19.935667,18.412735,1.522932,15.599508,511.28036,5.14124,,,,,,0.013370353,1.000000011920929,192.54665740812501
3680401941740631168,189.39125608661095,-4.543789051986999,20.780247,19.844738,18.199732,1.6450062,15.120013,63.20894,6.249949,,,,,,0.01335621,1.000000011920929,226.15829882783814
3680403625367796992,189.4047379314174,-4.455936493034861,20.539576,19.780487,18.229618,1.550869,10.126036,37.95999,4.9925847,,,,,,0.0024113597,1.000000011920929,210.64495244329106
3680408504450623488,188.97227174664357,-4.615438202641191,20.472792,19.333609,17.785128,1.548481,14.876466,49.01467,7.0743637,,,,,,1.0,1.000000011920929,205.51534581163466
3680410291155776768,189.00509614282905,-4.516760808816592,20.74023,20.914589,19.241566,1.6730232,7.7975893,76.715004,2.291328,,,,,,4.6599885e-06,1.000000011920929,182.51004559632617
3680415067158974464,188.9731045315644,-4.469970846748565,19.548433,20.569311,18.397343,2.1719685,1.414107,2.6168525,1.4984158,-0.6759179111062693,0.66664875,-0.7848363644809428,0.44950595,1.0642756,7.732666e-09,0.6178498753832133,169.76518953036253
3680418468773480832,189.09845823577643,-4.4135104397122165,20.927488,21.070421,19.64702,1.4234009,6.7624993,23.596266,2.0047476,,,,,,4.1724848e-06,1.000000011920929,163.74359426140217
3680424516087410944,189.19315552249319,-4.265886226912664,20.723623,21.336702,19.635633,1.7010689,2.0280967,3.3192887,1.5589114,-5.816042890071643,2.072902,0.3331065462010028,1.4720409,1.0352334,8.9437975e-08,0.8592250618362737,141.5748445206316
3680449117660857984,189.6239225325367,-4.446439036695318,18.963062,18.25779,17.059404,1.1983852,2.4246922,23.21366,3.8189864,0.7075395338743377,0.50016266,0.31664464683429727,0.3380419,1.6525526,1.0,1.000000011920929,246.62502361286198
3680458944546768640,189.76320994771723,-4.281062398009041,16.711462,18.095074,15.306819,2.7882547,6.631422,2587.3342,1.7376406,,,,,,0.0,0.9000000119209289,251.42892471700273
3680498591388164608,189.49288766207422,-4.343256455402108,19.824543,19.81582,18.684256,1.1315651,1.2818822,2.6629102,1.9342388,-0.3016118367665218,0.64097244,0.027917865752631645,0.348335,1.1074512,0.4244363,0.847783595737486,205.37425591474732
3680507391777905152,189.66070900928807,-4.188361253190115,20.912083,19.742676,18.848022,0.8946533,11.931955,58.825542,4.9466043,,,,,,0.0028785435,1.000000011920929,218.27224057109947
3680512644521552768,189.68955914172693,-4.115092366506974,20.937181,21.301306,20.061258,1.2400475,3.6985338,2.2644749,1.461734,,,,,,4.5804863e-05,0.6196162089737743,217.36424990902583
3680532538810069248,189.86982278844704,-4.1014856433622064,20.265797,20.77507,18.974108,1.8009624,2.843927,5.918711,1.8368971,-2.4319569992555174,1.1231935,-1.08111140485785,0.8702065,1.2261746,0.0042019095,0.8999733048081109,258.3642704550639
3680536941152139264,189.77729782903455,-4.026513584974736,20.198555,18.857548,17.268806,1.5887413,10.572991,95.515976,8.747184,,,,,,1.0,1.000000011920929,231.2498939871355
3680552506114348928,189.7086984121072,-3.9123487401762778,20.543344,19.169825,17.597628,1.572197,13.116286,42.885113,8.915645,,,,,,1.0,1.000000011920929,209.0177570991059
3680830407677912320,187.89093899209513,-4.372574029669168,20.944567,19.11141,17.999298,1.112112,38.280754,526.0271,10.26738,,,,,,1.0,1.000000011920929,282.3807372229739
3681152770742466816,188.20707182772244,-4.464678322997065,20.874323,20.660933,19.627775,1.0331573,3.568524,1.0531689,2.2096047,,,,,,3.1547483e-05,0.5031174662848685,234.3502298883652
3681172454577475712,188.8150283342993,-4.2463082654988344,20.558506,20.49682,19.812302,0.6845188,4.6753407,6.513908,1.6045555,-0.9063154898193738,1.4497342,-5.124119913060918,1.1450741,1.3283027,0.0007898676,0.8427313606140494,113.3565721256638
3681199774864440320,188.80110969284542,-3.9267103289222933,20.868858,20.617146,19.794443,0.8227024,5.3569503,2.4663737,2.0467834,,,,,,4.2665724e-05,0.8077155980506753,37.611784178079134
3681212621111053440,188.3038718895031,-4.17518522353786,20.363457,19.076857,17.57541,1.5014458,14.3027,389.45386,7.860168,,,,,,1.0,1.000000011920929,169.78480246175636
3681249317312130176,188.55412781495988,-3.8899611241208754,19.584787,20.299461,18.298353,2.0011082,8.067518,73.130775,1.7520192,,,,,,0.0,0.9000000119209289,82.49861491107126
3681251142673249024,188.6250934029805,-3.8329223501470047,20.970423,20.90843,19.963057,0.94537354,4.1634088,1.5584798,1.8323632,,,,,,4.026368e-05,0.5976509411637853,62.144653942119405
3681259045412677760,188.16896631860106,-3.856635160241024,20.503128,20.922506,19.350468,1.5720387,2.4907117,2.0602913,1.7098109,-4.4242751236761535,1.3765885,-1.3332837257363992,0.7712786,1.1405056,1.11711015e-05,0.7144229203183431,174.99147540726224
3681272548790277248,189.14178104761783,-4.054091650602541,20.779696,21.033947,19.890816,1.1431313,4.142899,2.228789,1.528283,,,,,,5.851542e-05,0.6512599235562057,92.85926565551382
3681289213263292672,188.932582124525,-3.973097457990493,20.963993,21.372307,19.895782,1.4765244,5.226289,8.232438,1.6237935,,,,,,9.951009e-06,0.9542760668807395,47.035686100911484
3681297081643321984,189.15232056829967,-3.841760142727754,20.922316,21.095644,19.706614,1.3890305,4.8330746,2.917757,1.9079264,,,,,,3.6808337e-06,0.8923761876681485,70.2198889090922
3681298387313384064,189.09722394294354,-3.8057749992574568,20.932716,21.487242,19.661959,1.825283,6.350128,3.3530483,1.7919658,,,,,,1.0305099e-05,0.8471879541140233,55.624258348736404
3681298696552071936,189.1744881951318,-3.775519186170502,20.73882,19.632998,17.89293,1.7400684,21.425056,54.735188,7.7966843,,,,,,0.038995363,1.000000011920929,74.79402182681434
3681307183406278144,189.45278910076198,-3.7983135566484574,20.766602,20.518183,19.57372,0.9444618,2.2729478,1.4640313,2.174554,-4.325263416570633,2.2580075,-0.26926413007279604,0.85157394,1.0856918,0.28126317,0.5775940747650309,143.57411959206482
3681316563616038528,189.67871603258968,-3.6092572849490945,20.790657,19.869482,18.276758,1.5927238,13.660208,41.84332,5.9576545,,,,,,0.92059183,1.000000011920929,204.6754827257596
3681322366115832960,189.64306745183043,-3.506445211272653,17.474648,18.163502,16.058765,2.1047363,32.30654,24021.613,1.9353575,,,,,,0.0,0.9000000119209289,203.54420457237583
3681325875105132672,189.4042255437026,-3.616207031762695,20.505842,20.158527,18.966505,1.1920223,5.292165,15.183744,2.7361965,-3.1347012355314003,1.6501948,0.8060537985588606,0.925036,1.3679051,0.952429,1.000000011920929,138.68931346907462
3681352465247321088,189.09286636073793,-3.604661058693411,20.875343,21.678656,19.760416,1.9182396,4.554453,2.250016,1.5214468,,,,,,1.8716446e-05,0.5520955702089241,71.78488031273892
3681364392371336064,188.49462576386102,-3.560242063776496,20.72723,20.594748,19.226416,1.3683319,5.8117566,7.2499757,2.496354,1.2233338077337452,1.9770744,-0.3229271262329579,1.1032857,1.3682717,0.95151675,0.9999999662851415,110.06074727233371
3681372050297717376,188.70847521639473,-3.4634841292256517,20.943588,20.456438,19.648968,0.8074703,3.7169454,1.3587106,2.522822,,,,,,1.7170707e-05,0.5564004234578591,91.36928725269335
3681422254171086336,188.00960440375138,-3.9463969363366513,20.170465,18.200464,16.647192,1.5532722,9.780549,23.348997,15.25354,,,,,,1.0,1.000000011920929,217.08070872332044
3681450188638035200,188.12261075178853,-3.7123886500111483,19.856802,19.018925,17.511715,1.5072098,4.21009,11.18292,5.218595,-1.9766482931867129,1.0414516,-0.9301336266622422,0.7197742,1.4038835,0.9999998,1.000000011920929,186.84957726651226
3681471182438200576,187.96924772110114,-3.521650312086179,20.700394,20.19947,18.969894,1.2295761,7.872305,15.080394,3.2224743,-1.6179273682212383,1.7449605,2.834392025154214,1.5552574,1.5053704,0.9969404,1.000000011920929,233.68766048035917
3681520523022436992,187.7909478891226,-3.4152589161213998,18.885944,19.955437,17.337225,2.6182117,9.368604,264.93497,2.023482,,,,,,0.0,0.9000000119209289,283.8666635690733
3680341056283168640,189.46231239818877,-4.782754687121979,20.881012,21.405552,19.82238,1.5831718,3.300228,6.814126,1.5633578,,,,,,7.1922836e-06,0.9180142288620777,285.59673807798157
3680352876032655360,189.35035333006275,-4.611791674379344,19.799616,19.742018,18.82597,0.91604805,1.2249831,2.0503352,1.796709,0.8474256442945409,0.5477709,-0.7941788235536781,0.4357346,1.0834578,0.007199098,0.7120434223413862,234.99439341718022
3680353391430316800,189.40681238481824,-4.574717508982416,20.376593,19.537575,18.054995,1.4825802,7.325689,37.366673,5.142147,1.1135533857999982,1.8765796,-1.6480722099663039,1.2888525,1.6045967,1.0,1.000000011920929,234.6637001751593
3680369540507312896,188.9233996256551,-4.794106639723061,20.798578,20.10758,18.599863,1.5077171,15.855565,31.152143,4.5597863,,,,,,0.000977104,1.000000011920929,248.6860245042076
3680380432543700480,188.6652296856704,-4.734271445156621,19.902967,18.779362,17.192358,1.5870037,8.16216,29.088083,7.1517277,,,,,,0.039644975,1.000000011920929,239.11268707894936
3680418228256586240,189.18051512828401,-4.401328700572242,20.528797,19.820278,18.31003,1.5102482,12.100434,34.209255,4.641529,,,,,,0.002382185,1.000000011920929,169.02748499008558
