r_in_kpc,r_out_kpc,r_mid_kpc,area_deg2,n_candidates,density,density_err
0,10,5.0,0.0017210597715186867,2,1162.0746897332756,821.7108933556525
10,20,15.0,0.0051631793145560595,1,193.67911495554594,193.67911495554594
20,30,25.0,0.008605298857593435,1,116.20746897332754,116.20746897332754
30,40,35.0,0.012047418400630804,7,581.0373448666379,219.61147385119943
40,50,45.0,0.015489537943668192,5,322.79852492590965,144.35988895419885
50,60,55.0,0.018931657486705545,7,369.75103764240606,139.75275608712695
60,80,70.0,0.048189673602523214,9,186.76200370713363,62.25400123571121
80,100,90.0,0.061958151774672766,15,242.09889369443223,62.50966556091839
100,125,112.5,0.09680961214792617,36,371.863900714648,61.97731678577467
125,150,137.5,0.11832285929190965,30,253.54356866907844,46.29051062347145
150,175,162.5,0.1398361064358933,41,293.20038325578025,45.790206840236266
175,200,187.5,0.16134935357987698,49,303.68885225029584,43.38412175004226
200,225,212.5,0.1828626007238604,51,278.89792553598625,39.05352106047685
225,250,237.5,0.20437584786784432,59,288.6838176600554,37.583431838949345
250,275,262.5,0.22588909501182747,74,327.59438872480933,38.08207415498394
275,300,287.5,0.24740234215581114,71,286.981923377609,34.05848828977402
