r_in_kpc,r_out_kpc,r_mid_kpc,area_deg2,n_candidates,density,density_err
0,10,5.0,0.0032763927285586417,7,2136.4960125154034,807.5195894566998
10,20,15.0,0.009829178185675925,5,508.6895267893817,227.49287226865158
20,30,25.0,0.016381963642793207,7,427.2992025030807,161.50391789133997
30,40,35.0,0.02293474909991049,6,261.6117566345392,106.80255241129879
40,50,45.0,0.02948753455702779,10,339.126351192921,107.24116843517902
50,60,55.0,0.03604032001414504,5,138.7335073061951,62.04351061872319
60,80,70.0,0.09173899639964196,18,196.2088174759044,46.246861788601855
80,100,90.0,0.11795013822811116,19,161.08501681663745,36.95543734854067
100,125,112.5,0.18429709098142352,36,195.33677828712266,32.556129714520445
125,150,137.5,0.22525200008840668,48,213.09466722231548,30.75756587091939
150,175,162.5,0.2662069091953894,68,255.4404023754682,30.97669882483329
175,200,187.5,0.3071618183023731,64,208.35923017293047,26.04490377161631
200,225,212.5,0.34811672740935556,58,166.61078148019286,21.87706739213485
225,250,237.5,0.3890716365163385,76,195.33677828712268,22.406665171325734
250,275,262.5,0.4300265456233219,65,151.1534593888448,18.748279217536062
275,300,287.5,0.47098145473030484,87,184.72064903238763,19.804132327099577
