r_in_kpc,r_out_kpc,r_mid_kpc,area_deg2,n_candidates,density,density_err
0,10,5.0,0.0753342563013461,381,5057.460160965206,259.10153301127576
10,20,15.0,0.22600276890403828,63,278.75764666737365,35.120162339975415
20,30,25.0,0.3766712815067304,58,153.98041434959688,20.218618938507603
30,40,35.0,0.5273397941094228,96,182.04581006848886,18.579972686642417
40,50,45.0,0.6780083067121148,114,168.13953291047935,15.747710088992825
50,60,55.0,0.8286768193148067,131,158.08334075076172,13.811805610446969
60,80,70.0,2.109359176437691,367,173.98649035191514,9.08202086902098
80,100,90.0,2.712033226848459,515,189.8944286160019,8.367748304541141
100,125,112.5,4.237551916950718,1002,236.45727996673725,7.469969501982378
125,150,137.5,5.179230120717543,212,40.932724566914786,2.8112710652338864
150,175,162.5,6.120908324484373,0,0.0,0.1633744449332592
175,200,187.5,7.062586528251194,0,0.0,0.14159118560882475
200,225,212.5,8.004264732018024,0,0.0,0.12493339906661001
225,250,237.5,8.945942935784846,0,0.0,0.11178251495433533
250,275,262.5,9.887621139551689,0,0.0,0.10113656114916036
275,300,287.5,10.829299343318484,0,0.0,0.09234207757097278
