r_in_kpc,r_out_kpc,r_mid_kpc,area_deg2,n_candidates,density,density_err
0,10,5.0,0.00479728978687858,5,1042.2551528314732,466.1106743261213
10,20,15.0,0.014391869360635742,1,69.48367685543154,69.48367685543154
20,30,25.0,0.023986448934392886,3,125.07061833977686,72.20955516618311
30,40,35.0,0.033581028508150076,6,178.67231191396675,72.94266589210302
40,50,45.0,0.04317560808190715,8,185.28980494781774,65.50983878166733
50,60,55.0,0.05277018765566439,10,189.50093687844966,59.92545792716995
60,80,70.0,0.1343241140326003,27,201.0063509032126,38.68369026759806
80,100,90.0,0.1727024323276286,37,214.2413369709143,35.221058836964104
100,125,112.5,0.26984755051192,59,218.6419698384247,28.464759947966648
125,150,137.5,0.32981367284790214,69,209.2090343138086,25.185808069117808
150,175,162.5,0.3897797951838847,84,215.5062962162307,23.513664646439345
175,200,187.5,0.44974591751986637,78,173.43125743115735,19.637222979211874
200,225,212.5,0.5097120398558492,107,209.92244960558608,20.293969190356957
225,250,237.5,0.5696781621918307,148,259.79581072683493,21.355084094832968
250,275,262.5,0.6296442845278144,155,246.1707408592429,19.772909726839202
275,300,287.5,0.6896104068637943,148,214.6139306004291,17.641156426166383
