r_in_kpc,r_out_kpc,r_mid_kpc,area_deg2,n_candidates,density,density_err
0,10,5.0,0.0051026520338461915,7,1371.835655962544,518.5051407611505
10,20,15.0,0.015307956101538575,5,326.62753713393903,146.07227527096492
20,30,25.0,0.025513260169230972,5,195.97652228036333,87.6433651625789
30,40,35.0,0.03571856423692333,6,167.97987624031157,68.57749730743848
40,50,45.0,0.04592386830461574,12,261.3020297071512,75.43139859560965
50,60,55.0,0.056129172372308155,20,356.3209496006605,79.67578651143535
60,80,70.0,0.14287425694769332,29,202.97568379037648,37.69163824317231
80,100,90.0,0.18369547321846297,46,250.41444513601985,36.92159564029793
100,125,112.5,0.2870241769038485,61,212.52565082848284,27.21112123778703
125,150,137.5,0.3508073273269258,59,168.18348821151181,21.895625175212952
150,175,162.5,0.4145904777500031,111,267.7340796691734,25.412194245343255
175,200,187.5,0.4783736281730803,91,190.22787762680616,19.941299963797356
200,225,212.5,0.542156778596158,128,236.09406919422602,20.867964665645403
225,250,237.5,0.6059399290192361,169,278.90553486636946,21.45427191279765
250,275,262.5,0.6697230794423121,161,240.39786733057934,18.94600608809163
275,300,287.5,0.733506229865391,156,212.67713026599412,17.02779811302883
