source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,astrometric_excess_noise,astrometric_excess_noise_sig,phot_bp_rp_excess_factor,pmra,pmra_error,pmdec,pmdec_error,ruwe,classprob_dsc_combmod_galaxy,model_c_score,radius_kpc
4860319785407655296,53.65743886467189,-35.70011311879819,20.856508,19.071545,17.308586,1.7629585,21.90787,58.016716,14.804114,,,,,,0.9918105,1.000000011920929,297.7344808285118
4860328379638440448,53.925983980393546,-35.47486668372255,20.981924,20.944197,21.08229,-0.13809395,5.799421,3.668849,1.1346283,,,,,,1.4758197e-05,0.5714558067900284,205.07837679108198
4860345971824615040,54.459294989047144,-35.30308837665175,20.698973,19.844124,18.03654,1.8075848,14.036647,29.389793,6.4823203,,,,,,0.0024234664,0.9000000119209289,71.48987470525863
4860350507310590848,54.27644730611815,-35.253576541636455,20.26099,20.811348,19.032139,1.7792091,1.4915267,1.4034791,1.7422724,-1.451418303812329,0.45108643,1.3626918977539324,0.57450795,1.0256284,1.5463827e-07,0.5652482005663013,124.12778408519993
4860367343581584384,54.1181213186755,-35.08095730645134,20.940771,20.91476,20.206053,0.7087078,5.4050145,4.5613256,1.5709349,,,,,,4.2503776e-05,0.8194327045353428,199.86234332902632
4860387066070962688,54.66091012903464,-35.45780920576796,20.67704,20.85179,20.020716,0.83107376,4.9063845,7.142901,1.3878511,0.22156754488603575,1.0916646,-1.2053438148573123,1.1897423,1.3127086,0.0027138137,0.8127105661265009,12.110214543955157
4860387409669996160,54.70546296315656,-35.42516042749443,20.57796,19.33795,18.184866,1.1530838,8.396659,15.86874,6.0869465,0.7343126930634338,1.4315202,1.0321076856795268,1.4910381,1.4007754,0.99999577,1.000000011920929,26.529709488687395
4860387856346596480,54.620949440200974,-35.450471110653744,20.22121,14.415475,12.958757,1.4567175,43.45007,37.57762,490.5378,,,,,,0.020123783,1.000000011920929,0.10061117145768221
4860388367445133696,54.62074060387472,-35.38224940084508,20.160774,20.172897,18.865307,1.3075905,5.1886396,14.022858,2.1051948,-0.9524690753105602,0.65771276,0.49352966572255924,0.8879782,1.5042319,0.8949205,1.000000011920929,24.59439351986183
4860423006356934272,55.06312332189751,-35.01655228204828,20.940287,21.411308,19.899189,1.5121193,3.9210978,2.98312,1.5680829,,,,,,1.3201286e-06,0.8231852176924971,204.285506252559
4860446164821045120,54.50724698804748,-35.11708479654838,20.992064,21.243185,20.209341,1.033844,4.251917,7.6432304,1.4410344,,,,,,5.7543508e-05,0.8446206370593399,125.16752188134224
4860453204271665152,54.566290037690685,-34.976468107193185,19.353842,19.643682,18.304758,1.3389244,1.1913177,3.2550085,1.6615372,1.1308197875280404,0.23404887,1.419402127177516,0.31991613,1.1483624,4.4279674e-05,0.9140795788019438,172.2359207129379
4860455987410919808,54.71017421195688,-34.82485667135036,20.564512,20.002235,18.776325,1.2259102,5.625208,26.215843,3.402428,0.4556570649967519,0.81307966,-0.5788078661733401,1.2233654,1.3304145,0.9996892,1.000000011920929,227.892768506608
4860459874356007040,54.446624371586026,-34.994167414543476,20.925821,21.117035,19.76783,1.349205,3.960934,1.7342803,1.8310643,,,,,,1.9882926e-05,0.6371365500455913,172.92863481446508
4860460698991862272,54.34141273010189,-34.96010328151202,20.905073,21.173336,19.143858,2.029478,16.63669,22.027725,2.698015,,,,,,3.5147846e-06,0.9000000119209289,195.71592043673743
4860469112832809984,54.63743746956677,-34.756381188500015,20.313377,21.425522,19.145792,2.2797298,1.9608525,2.2241385,1.4941835,0.9704337119349052,0.47008097,-0.7697211288168254,0.6346586,1.0354949,1.7329019e-10,0.5297152344590805,251.190001914046
4860475542398851584,54.86142278198891,-34.87362412263729,20.641718,18.776024,17.276342,1.4996815,23.210524,143.67955,13.3837185,,,,,,1.0,1.000000011920929,220.5048925609785
4861112434507198848,53.70086625675179,-35.226737660666984,20.906109,21.256645,19.808123,1.4485226,3.1485176,1.4334214,1.682308,0.8478350002063162,1.629272,-0.3998534297700641,1.4263761,1.0814254,2.053046e-06,0.5606849023792395,283.4566787698689
4861123017306486144,53.89449093805118,-34.916739933254306,20.987835,19.932495,18.002176,1.9303188,21.117693,123.11507,8.500711,,,,,,0.0015934141,0.9000000119209289,288.91428755880264
4861214757810076800,54.08531283723645,-34.891203583018424,20.75957,19.264,17.973104,1.2908955,14.337589,41.865593,8.355608,,,,,,1.0,1.000000011920929,257.01585666849854
4861215062752710528,54.07571696879197,-34.85122883726758,20.62542,21.333258,19.415771,1.9174862,2.4143083,2.209411,1.6604016,-0.16679208897179518,0.7251901,-0.12776933783580785,0.9229394,1.0319129,5.682254e-10,0.6260027009004915,270.26449034132236
