r_in_kpc,r_out_kpc,r_mid_kpc,area_deg2,n_candidates,density,density_err
0,10,5.0,0.0020501986981590506,2,975.5152033780307,689.7934154591796
10,20,15.0,0.006150596094477151,0,0.0,162.5858672296718
20,30,25.0,0.010250993490795253,3,292.6545610134092,168.96418958066354
30,40,35.0,0.014351390887113354,6,418.0779443048703,170.67960604310943
40,50,45.0,0.018451788283431463,8,433.5623126124579,153.2874256575954
50,60,55.0,0.02255218567974955,5,221.70800076773432,99.1508321744459
60,80,70.0,0.057405563548453414,16,278.7186295365802,69.67965738414505
80,100,90.0,0.07380715313372585,25,338.72055672848273,67.74411134569655
100,125,112.5,0.11532367677144649,34,294.82237257647176,50.56161976522251
125,150,137.5,0.1409511604984348,41,290.88089700726715,45.42796394715708
150,175,162.5,0.16657864422542282,48,288.15218315166453,41.59118512754796
175,200,187.5,0.19220612795241113,42,218.51540555667873,33.71765909572064
200,225,212.5,0.21783361167939885,47,215.76100968831764,31.471977843763597
225,250,237.5,0.24346109540638708,59,242.33851368127938,31.549787184877246
250,275,262.5,0.26908857913337547,81,301.0161198995065,33.446235544389616
275,300,287.5,0.2947160628603637,90,305.3786723618181,32.18973845005521
