r_in_kpc,r_out_kpc,r_mid_kpc,area_deg2,n_candidates,density,density_err
0,10,5.0,0.0753342563013461,188,2495.544646355535,182.0062993116332
10,20,15.0,0.22600276890403828,49,216.81150296351282,30.973071851930403
20,30,25.0,0.3766712815067304,73,193.80293530207885,22.682917877732777
30,40,35.0,0.5273397941094228,162,307.20230449057493,24.136092522380014
40,50,45.0,0.6780083067121148,157,231.56058479776542,18.480546568674924
50,60,55.0,0.8286768193148067,157,189.45866028908085,15.120447192552213
60,80,70.0,2.109359176437691,358,169.71979167843492,8.96996971391961
80,100,90.0,2.712033226848459,500,184.36352292815718,8.244987396774011
100,125,112.5,4.237551916950718,751,177.2249673203789,6.467030905855956
125,150,137.5,5.179230120717543,122,23.55562451492266,2.1326260389559617
150,175,162.5,6.120908324484373,0,0.0,0.1633744449332592
175,200,187.5,7.062586528251194,0,0.0,0.14159118560882475
200,225,212.5,8.004264732018024,0,0.0,0.12493339906661001
225,250,237.5,8.945942935784846,0,0.0,0.11178251495433533
250,275,262.5,9.887621139551689,0,0.0,0.10113656114916036
275,300,287.5,10.829299343318484,0,0.0,0.09234207757097278
