r_in_kpc,r_out_kpc,r_mid_kpc,area_deg2,n_candidates,density,density_err
0,10,5.0,0.003717029033968726,22,5918.705449688209,1261.8722417713818
10,20,15.0,0.011151087101906177,19,1703.8697506678182,390.89452926930863
20,30,25.0,0.01858514516984363,14,753.2897845057721,201.3251633269552
30,40,35.0,0.02601920323778108,19,730.2298931433505,167.5262268297037
40,50,45.0,0.03345326130571852,10,298.92451766102084,94.52823242760545
50,60,55.0,0.040887319373656,19,464.691750182132,106.60759889162958
60,80,70.0,0.10407681295112432,35,336.2900823686483,56.84339878737328
80,100,90.0,0.13381304522287407,36,269.03206589491873,44.83867764915313
100,125,112.5,0.20908288316074078,83,396.9717594538356,43.57331141325563
125,150,137.5,0.25554574608535,59,230.8784274589119,30.057811039840878
150,175,162.5,0.3020086090099588,56,185.42517772449787,24.778481640240656
175,200,187.5,0.34847147193456796,77,220.96500345502656,25.18129917114072
200,225,212.5,0.3949343348591771,98,248.14251724896025,25.066179521062804
225,250,237.5,0.44139719778378605,88,199.36692041055028,21.252585124570647
250,275,262.5,0.48786006070839505,98,200.877275868206,20.29166913609847
275,300,287.5,0.534322923633005,95,177.7951044175112,18.241392823908605
