r_in_kpc,r_out_kpc,r_mid_kpc,area_deg2,n_candidates,density,density_err
0,10,5.0,0.0026387360684825183,18,6821.447667690169,1607.8306344442922
10,20,15.0,0.007916208205447554,8,1010.584839657803,357.2956965431761
20,30,25.0,0.013193680342412589,2,151.58772594867045,107.18870896295286
30,40,35.0,0.01847115247937763,11,595.5232090840623,179.5570034982003
40,50,45.0,0.023748624616342646,3,126.32310495722544,72.93267865192345
50,60,55.0,0.02902609675330771,9,310.0658030768258,103.35526769227526
60,80,70.0,0.07388460991751052,17,230.08851260066044,55.80466121728136
80,100,90.0,0.09499449846537059,8,84.21540330481696,29.77464137859803
100,125,112.5,0.14842890385214177,19,128.0074130233216,29.36691459961743
125,150,137.5,0.18141310470817296,25,137.80702358970052,27.561404717940103
150,175,162.5,0.2143973055642047,40,186.569508859902,29.49922949681273
175,200,187.5,0.24738150642023582,37,149.56655626935498,24.588590385431694
200,225,212.5,0.28036570727626775,51,181.90527113840437,25.47183283548228
225,250,237.5,0.31334990813229935,62,197.8618738698433,25.128483109965774
250,275,262.5,0.3463341089883295,73,210.77912370005663,24.669830442849737
275,300,287.5,0.3793183098443623,77,202.99573735734978,23.133511248092844
