r_in_kpc,r_out_kpc,r_mid_kpc,area_deg2,n_candidates,density,density_err
0,10,5.0,0.0023977061289667443,15,6255.979337411139,1615.2869192007367
10,20,15.0,0.007193118386900233,19,2641.4134980180365,605.9818161034156
20,30,25.0,0.011988530644833725,17,1418.0219831465245,343.9208479977027
30,40,35.0,0.016783942902767204,12,714.9690671327019,206.3937916856605
40,50,45.0,0.021579355160700718,11,509.74646452979607,153.6943419141401
50,60,55.0,0.026374767418634183,14,530.8103680227634,141.86503817775477
60,80,70.0,0.06713577161106882,32,476.64604475513454,84.25991261802558
80,100,90.0,0.08631742064280287,27,312.7989668705567,60.19818924165091
100,125,112.5,0.13487096975437932,36,266.92178506287536,44.48696417714589
125,150,137.5,0.16484229636646372,36,218.3905514150797,36.39842523584662
150,175,162.5,0.19481362297854812,55,282.32111881650246,38.06817189531092
175,200,187.5,0.2247849495906324,54,240.2296065565876,32.69110873184444
200,225,212.5,0.25475627620271646,50,196.26601842858486,27.75620650946725
225,250,237.5,0.2847276028148008,56,196.6792100463292,26.282364967668258
250,275,262.5,0.31469892942688554,70,222.43482088572912,26.586046163479498
275,300,287.5,0.34467025603896934,84,243.71119505740796,26.591071406159987
