r_in_kpc,r_out_kpc,r_mid_kpc,area_deg2,n_candidates,density,density_err
0,10,5.0,0.0027251847715193058,6,2201.6855747564473,898.8343720332672
10,20,15.0,0.008175554314557918,6,733.8951915854824,299.6114573444224
20,30,25.0,0.013625923857596527,2,146.7790383170965,103.78845333005904
30,40,35.0,0.019076293400635144,7,366.94759579274114,138.69315466580633
40,50,45.0,0.024526662943673755,7,285.40368561657647,107.87245362896049
50,60,55.0,0.02997703248671236,6,200.15323406876797,81.71221563938794
60,80,70.0,0.07630517360254058,25,327.6317819578046,65.52635639156091
80,100,90.0,0.09810665177469502,25,254.8247193005147,50.96494386010294
100,125,112.5,0.1532916433979608,54,352.26969196103187,47.937833175107635
125,150,137.5,0.18735645304195242,56,298.89549620935986,39.94159075947193
150,175,162.5,0.22142126268594353,57,257.427851817677,34.09715193422585
175,200,187.5,0.25548607232993503,58,227.01824593044245,29.808956067197627
200,225,212.5,0.28955088197392614,84,290.1044522032025,31.652990753925575
225,250,237.5,0.3236156916179171,81,250.2968863933649,27.81076515481832
250,275,262.5,0.3576805012619101,77,215.2759228650741,24.5329682675844
275,300,287.5,0.3917453109058996,93,237.39914023460858,24.617144079382328
