ID,NGVS,ra,dec,E(B-V),g_mag,u*-g,g-r,g-i,g-z,g-Ks,Deltaenv,UCD,SimbadName,is_ucd,confirmation_status,distance_mpc
76,J123047.70+122430.5,187.6987573,12.4084661,0.023,19.779,1.01,0.517,0.765,0.906,0.687,0.019,1,NGVS J123047.70+122430.5,1,candidate,16.5
77,J123048.19+123510.7,187.7008418,12.5863658,0.021,19.135,1.13,0.56,0.827,0.971,0.875,0.065,1,NGVS J123048.19+123510.7,1,candidate,16.5
78,J123049.28+123718.2,187.7053422,12.6217134,0.021,19.951,1.103,0.563,0.82,0.946,0.808,0.016,1,NGVS J123049.28+123718.2,1,candidate,16.5
79,J123049.49+121426.9,187.7062251,12.2408141,0.024,20.574,1.156,0.595,0.747,0.916,0.74,0.015,1,NGVS J123049.49+121426.9,1,candidate,16.5
80,J123051.07+122611.9,187.7127756,12.4366444,0.022,19.674,1.271,0.604,0.915,1.124,1.181,0.006,1,NGVS J123051.07+122611.9,1,candidate,16.5
81,J123051.65+121409.9,187.7152156,12.2360794,0.024,21.05,1.058,0.55,0.669,0.826,0.513,0.022,1,NGVS J123051.65+121409.9,1,candidate,16.5
82,J123051.75+122053.3,187.7156252,12.34814,0.024,20.806,1.041,0.517,0.764,0.898,0.649,-0.022,1,NGVS J123051.75+122053.3,1,candidate,16.5
83,J123053.88+121712.4,187.7245095,12.2867885,0.024,21.104,1.146,0.503,0.861,1.019,0.888,0.01,1,NGVS J123053.88+121712.4,1,candidate,16.5
84,J123054.66+122022.6,187.7277335,12.3396047,0.024,21.301,0.913,0.479,0.706,0.822,0.389,-0.005,1,NGVS J123054.66+122022.6,1,candidate,16.5
85,J123101.47+121924.5,187.7561416,12.3234824,0.023,19.654,1.343,0.626,0.958,1.171,1.203,-0.009,1,NGVS J123101.47+121924.5,1,candidate,16.5
86,J123102.14+122749.7,187.7589066,12.463804,0.021,20.648,0.943,0.492,0.738,0.865,0.528,0.023,1,NGVS J123102.14+122749.7,1,candidate,16.5
87,J123102.59+123414.1,187.7607769,12.5705885,0.021,19.793,0.962,0.515,0.745,0.848,0.574,0.043,1,NGVS J123102.59+123414.1,1,candidate,16.5
88,J123103.69+123213.0,187.7653609,12.5369543,0.02,20.012,0.996,0.504,0.758,0.852,0.637,0.031,1,NGVS J123103.69+123213.0,1,candidate,16.5
89,J123104.35+131042.5,187.7681395,13.1784863,0.025,20.265,1.349,0.594,0.946,1.157,1.185,0.015,1,NGVS J123104.35+131042.5,1,candidate,16.5
90,J123104.43+122321.2,187.7684426,12.3892326,0.023,20.67,0.974,0.471,0.722,0.861,0.569,0.041,1,NGVS J123104.43+122321.2,1,candidate,16.5
91,J123104.80+131436.6,187.7699768,13.2435029,0.026,20.64,1.062,0.521,0.723,0.88,0.536,0.104,1,NGVS J123104.80+131436.6,1,candidate,16.5
92,J123110.14+121627.9,187.7922721,12.2744269,0.022,21.207,1.096,0.509,0.834,0.981,0.768,0.005,1,NGVS J123110.14+121627.9,1,candidate,16.5
93,J123110.42+130550.4,187.793399,13.097341,0.023,20.76,1.006,0.515,0.747,0.866,0.592,0.189,0,,1,candidate,16.5
94,J123111.31+123001.0,187.7971024,12.5002931,0.02,20.759,1.231,0.581,0.872,1.028,0.972,0.073,1,NGVS J123111.31+123001.0,1,candidate,16.5
95,J123116.32+121845.4,187.8180104,12.3126096,0.022,20.94,1.067,0.539,0.81,0.947,0.799,0.018,1,NGVS J123116.32+121845.4,1,candidate,16.5
96,J123120.00+121158.1,187.8333318,12.1994729,0.023,20.482,1.131,0.504,0.771,0.904,0.699,0.004,1,NGVS J123120.00+121158.1,1,candidate,16.5
97,J123124.75+122525.8,187.8531412,12.4238373,0.022,19.799,1.051,0.539,0.774,0.917,0.709,0.007,1,NGVS J123124.75+122525.8,1,candidate,16.5
98,J123125.25+121931.8,187.855191,12.3254925,0.023,20.225,0.97,0.513,0.753,0.873,0.576,0.046,1,NGVS J123125.25+121931.8,1,candidate,16.5
99,J123128.36+122503.6,187.868163,12.4176659,0.023,19.322,1.139,0.572,0.818,0.992,0.869,0.082,1,NGVS J123128.36+122503.6,1,candidate,16.5
100,J123131.70+113610.7,187.8819752,11.6030553,0.046,21.024,1.085,0.438,0.792,0.971,0.7,0.311,0,,1,candidate,16.5
101,J123131.70+124130.4,187.8820942,12.6917714,0.025,19.494,1.068,0.623,0.895,1.142,0.913,0.138,1,NGVS J123131.70+124130.4,1,candidate,16.5
102,J123135.13+123459.4,187.8963932,12.5831576,0.024,20.097,1.266,0.616,0.906,1.108,1.089,0.064,1,NGVS J123135.13+123459.4,1,candidate,16.5
103,J123137.44+121740.7,187.9059957,12.2946473,0.023,20.599,0.981,0.417,0.731,0.85,0.559,0.007,1,NGVS J123137.44+121740.7,1,candidate,16.5
104,J123138.53+115923.9,187.9105228,11.9899637,0.029,20.776,1.108,0.505,0.772,0.892,0.687,0.005,1,NGVS J123138.53+115923.9,1,candidate,16.5
105,J123145.95+122721.1,187.9414762,12.4558597,0.025,21.342,0.949,0.479,0.698,0.832,0.568,0.031,1,NGVS J123145.95+122721.1,1,candidate,16.5
106,J123151.34+123925.2,187.9639128,12.6569877,0.026,19.88,1.074,0.535,0.821,0.987,0.783,0.304,0,,1,candidate,16.5
107,J123152.96+115052.9,187.9706653,11.8480245,0.032,20.874,1.047,0.567,0.86,1.017,1.532,0.012,0,,1,candidate,16.5
108,J123157.60+124929.6,187.9899987,12.824881,0.023,20.315,1.045,0.498,0.767,0.832,0.601,0.021,1,NGVS J123157.60+124929.6,1,candidate,16.5
109,J123157.99+131534.1,187.9916397,13.2594794,0.027,19.657,0.973,0.535,0.755,0.885,0.572,0.084,1,NGVS J123157.99+131534.1,1,candidate,16.5
110,J123204.35+122030.3,188.0181367,12.3417639,0.026,19.642,1.107,0.566,0.826,0.956,0.862,0.071,1,NGVS J123204.35+122030.3,1,candidate,16.5
111,J123211.80+113818.6,188.0491434,11.6384938,0.04,19.829,0.919,0.441,0.746,0.818,1.234,0.064,0,,1,candidate,16.5
