object_id,name,ra,dec,g_mag,r_mag,re_pc,status
2021MNRA_0365,,54.417218,-35.539257,22.14,21.49,39.3,candidate
2021MNRA_0366,,54.900176,-35.253628,22.14,21.35,40.4,candidate
2021MNRA_0367,,54.791909,-35.401209,22.15,21.58,25.7,candidate
2021MNRA_0368,,54.705545,-35.383028,22.15,21.57,30.2,candidate
2021MNRA_0369,,54.64502,-35.481652,22.15,21.55,62.1,candidate
2021MNRA_0370,,54.731488,-35.44786,22.15,21.44,20.4,candidate
2021MNRA_0371,,54.555405,-35.528442,22.15,21.46,35.0,candidate
2021MNRA_0372,,54.025813,-35.459122,22.16,21.58,22.3,candidate
2021MNRA_0373,,54.964169,-35.415264,22.16,21.56,28.3,candidate
2021MNRA_0374,,54.66993,-35.492849,22.16,21.57,30.1,candidate
2021MNRA_0375,,54.66259,-35.460518,22.16,21.4,53.9,candidate
2021MNRA_0376,,54.539133,-35.516736,22.16,21.53,29.7,candidate
2021MNRA_0377,,54.569778,-35.465661,22.16,21.54,28.9,candidate
2021MNRA_0378,,54.049228,-34.947016,22.17,21.56,32.2,candidate
2021MNRA_0379,,54.6469,-35.427541,22.17,21.38,27.6,candidate
2021MNRA_0380,,54.715268,-35.459661,22.18,21.56,32.5,candidate
2021MNRA_0381,,54.706003,-35.485437,22.18,21.66,26.2,candidate
2021MNRA_0382,,54.216982,-35.546053,22.19,21.52,19.7,candidate
2021MNRA_0383,,54.639117,-35.329768,22.19,21.48,31.1,candidate
2021MNRA_0384,,54.617838,-35.652983,22.19,21.51,38.3,candidate
2021MNRA_0385,,54.379296,-35.481043,22.19,21.43,33.2,candidate
2021MNRA_0386,,54.379296,-35.481043,22.19,21.43,33.2,candidate
2021MNRA_0387,,54.258207,-35.191951,22.19,21.53,34.9,candidate
2021MNRA_0388,,54.690877,-35.574094,22.2,21.05,92.1,candidate
2021MNRA_0389,,54.563653,-35.425062,22.2,21.52,18.4,candidate
2021MNRA_0390,,54.613674,-35.568951,22.2,21.43,26.1,candidate
2021MNRA_0391,,54.68329,-35.473444,22.2,21.69,54.4,candidate
2021MNRA_0392,,54.665686,-35.589664,22.2,21.56,34.6,candidate
2021MNRA_0393,,54.676743,-35.482784,22.2,21.64,20.9,candidate
2021MNRA_0394,,54.705585,-35.556746,22.2,21.36,36.1,candidate
2021MNRA_0395,,54.362865,-35.590626,22.21,21.7,34.7,candidate
2021MNRA_0396,,54.697254,-35.413937,22.21,21.38,34.2,candidate
2021MNRA_0397,,54.51324,-35.368793,22.23,21.63,23.8,candidate
2021MNRA_0398,,54.574603,-35.48372,22.24,21.41,36.5,candidate
2021MNRA_0399,,54.613274,-35.466384,22.24,21.6,15.2,candidate
2021MNRA_0400,,54.916016,-35.531558,22.24,21.58,30.8,candidate
2021MNRA_0401,,54.747506,-35.358253,22.24,21.58,22.3,candidate
2021MNRA_0402,,54.675318,-35.438516,22.25,21.56,18.6,candidate
2021MNRA_0403,,54.373556,-35.470143,22.25,21.78,42.8,candidate
2021MNRA_0404,,54.659335,-35.411979,22.25,21.62,38.4,candidate
2021MNRA_0405,,54.40551,-35.286993,22.25,21.57,73.1,candidate
2021MNRA_0406,,54.439661,-35.444878,22.25,21.49,25.2,candidate
2021MNRA_0407,,54.439661,-35.444878,22.25,21.49,25.2,candidate
2021MNRA_0408,,54.166234,-35.514029,22.25,21.47,40.0,candidate
2021MNRA_0409,,54.631538,-35.495411,22.26,21.78,30.7,candidate
2021MNRA_0410,,54.364761,-35.090908,22.26,21.6,15.9,candidate
2021MNRA_0411,,54.840254,-35.52957,22.26,21.68,30.5,candidate
2021MNRA_0412,,54.839725,-35.39213,22.27,21.66,31.3,candidate
2021MNRA_0413,,54.618019,-35.570145,22.27,21.66,43.3,candidate
2021MNRA_0414,,54.527671,-35.403978,22.27,21.67,47.4,candidate
2021MNRA_0415,,54.979076,-35.130301,22.27,21.65,87.5,candidate
2021MNRA_0416,,54.504298,-35.506969,22.28,21.61,41.7,candidate
2021MNRA_0417,,54.768132,-35.463435,22.28,21.77,29.5,candidate
2021MNRA_0418,,54.004404,-35.439495,22.28,21.67,116.0,candidate
2021MNRA_0419,,54.796975,-35.51752,22.29,21.7,26.1,candidate
2021MNRA_0420,,54.200882,-35.602233,22.29,21.66,27.6,candidate
2021MNRA_0421,,54.677305,-35.436838,22.29,21.51,27.9,candidate
2021MNRA_0422,,54.60023,-35.482463,22.3,21.83,37.7,candidate
2021MNRA_0423,,54.306282,-35.204323,22.3,21.69,33.8,candidate
2021MNRA_0424,,55.036039,-35.158133,22.3,21.8,41.7,candidate
2021MNRA_0425,,54.620266,-35.41677,22.3,21.42,45.6,candidate
2021MNRA_0426,,55.102947,-35.587089,22.31,21.79,31.1,candidate
2021MNRA_0427,,54.139827,-35.534864,22.31,21.57,34.6,candidate
2021MNRA_0428,,54.251927,-35.314348,22.31,21.69,34.3,candidate
2021MNRA_0429,,54.650487,-35.536631,22.31,21.27,91.7,candidate
2021MNRA_0430,,54.565391,-35.433433,22.31,21.46,30.3,candidate
2021MNRA_0431,,54.656039,-35.385754,22.31,21.56,23.8,candidate
2021MNRA_0432,,54.565082,-35.520081,22.32,21.43,40.9,candidate
2021MNRA_0433,,54.672393,-35.481478,22.32,21.74,37.6,candidate
2021MNRA_0434,,54.625763,-35.418812,22.33,21.4,29.7,candidate
2021MNRA_0435,,54.809261,-35.496403,22.33,21.59,26.7,candidate
2021MNRA_0436,,54.674158,-35.384715,22.33,21.58,68.8,candidate
2021MNRA_0437,,54.799307,-35.25635,22.33,21.77,39.0,candidate
2021MNRA_0438,,54.330348,-35.587505,22.33,21.7,38.3,candidate
2021MNRA_0439,,54.571929,-35.508864,22.33,21.51,59.9,candidate
2021MNRA_0440,,54.545833,-35.393924,22.33,21.52,18.0,candidate
2021MNRA_0441,,54.653034,-35.459344,22.33,21.61,38.8,candidate
2021MNRA_0442,,54.550229,-35.219176,22.33,21.75,43.6,candidate
2021MNRA_0443,,54.970799,-35.536744,22.33,21.73,28.2,candidate
2021MNRA_0444,,54.293108,-35.21293,22.34,21.72,29.8,candidate
2021MNRA_0445,,54.999687,-35.442107,22.34,21.8,18.1,candidate
2021MNRA_0446,,54.148808,-35.23584,22.35,21.51,40.2,candidate
2021MNRA_0447,,55.040495,-35.603024,22.35,21.76,38.1,candidate
2021MNRA_0448,,55.56042,-35.38333,22.35,21.83,17.3,candidate
2021MNRA_0449,,54.326231,-35.212386,22.35,21.81,20.9,candidate
2021MNRA_0450,,54.527053,-35.5171,22.35,21.66,40.5,candidate
2021MNRA_0451,,54.742844,-35.503631,22.35,21.67,28.6,candidate
2021MNRA_0452,,54.542522,-35.532911,22.36,21.44,23.1,candidate
2021MNRA_0453,,54.606931,-35.318257,22.36,21.68,28.1,candidate
2021MNRA_0454,,54.719392,-35.342244,22.36,21.55,14.8,candidate
2021MNRA_0455,,54.577652,-35.601601,22.37,21.47,43.5,candidate
2021MNRA_0456,,54.055984,-34.943784,22.37,21.9,19.5,candidate
2021MNRA_0457,,54.5772,-35.36758,22.38,21.52,32.3,candidate
2021MNRA_0458,,54.673286,-35.527029,22.38,21.82,34.7,candidate
2021MNRA_0459,,54.58254,-35.462443,22.38,21.7,37.4,candidate
2021MNRA_0460,,55.577958,-35.377822,22.38,21.7,17.2,candidate
2021MNRA_0461,,54.793689,-35.524305,22.38,21.74,24.1,candidate
2021MNRA_0462,,54.574142,-35.594566,22.38,21.54,33.3,candidate
2021MNRA_0463,,54.242556,-35.533716,22.39,21.58,29.5,candidate
2021MNRA_0464,,54.404887,-35.531092,22.39,21.8,41.5,candidate
2021MNRA_0465,,54.404887,-35.531092,22.39,21.8,41.5,candidate
2021MNRA_0466,,54.566005,-35.449275,22.39,21.58,42.8,candidate
2021MNRA_0467,,54.654089,-35.361555,22.39,21.84,29.5,candidate
2021MNRA_0468,,54.557844,-35.569049,22.39,21.66,47.0,candidate
2021MNRA_0469,,54.499816,-35.441197,22.4,21.8,54.2,candidate
2021MNRA_0470,,54.602703,-35.439583,22.4,21.67,35.1,candidate
2021MNRA_0471,,54.221616,-35.504081,22.4,21.65,15.3,candidate
2021MNRA_0472,,54.688933,-35.623323,22.4,21.56,32.0,candidate
2021MNRA_0473,,54.916684,-35.312979,22.4,21.7,25.3,candidate
2021MNRA_0474,,54.517884,-35.483599,22.4,21.71,36.7,candidate
2021MNRA_0475,,54.630876,-35.501661,22.4,21.83,27.8,candidate
2021MNRA_0476,,54.462558,-35.576492,22.42,21.89,27.5,candidate
2021MNRA_0477,,54.657103,-35.433752,22.42,21.7,28.7,candidate
2021MNRA_0478,,54.862042,-35.597701,22.42,21.73,33.7,candidate
2021MNRA_0479,,54.695839,-35.347361,22.43,21.85,45.7,candidate
2021MNRA_0480,,54.683188,-35.505499,22.43,21.89,45.7,candidate
2021MNRA_0481,,54.510241,-35.688499,22.43,21.8,23.1,candidate
2021MNRA_0482,,54.675836,-35.431949,22.44,21.78,38.4,candidate
2021MNRA_0483,,54.320412,-35.505905,22.44,21.81,37.3,candidate
2021MNRA_0484,,54.66418,-35.612379,22.45,21.82,38.3,candidate
2021MNRA_0485,,55.055095,-35.807063,22.45,21.77,23.3,candidate
2021MNRA_0486,,54.569411,-35.475101,22.45,21.64,46.3,candidate
2021MNRA_0487,,54.770182,-35.501365,22.45,21.88,35.4,candidate
2021MNRA_0488,,54.662105,-35.525664,22.45,21.92,51.5,candidate
2021MNRA_0489,,54.550274,-35.426928,22.46,21.66,36.5,candidate
2021MNRA_0490,,54.550274,-35.426928,22.46,21.66,36.5,candidate
2021MNRA_0491,,54.636908,-35.506298,22.47,21.89,33.5,candidate
2021MNRA_0492,,54.702575,-35.50355,22.47,21.85,23.7,candidate
2021MNRA_0493,,54.595267,-35.406481,22.47,21.82,34.8,candidate
2021MNRA_0494,,54.842003,-35.216557,22.48,21.91,35.4,candidate
2021MNRA_0495,,54.688532,-35.825224,22.48,21.98,27.0,candidate
2021MNRA_0496,,54.710102,-35.482615,22.48,22.03,34.8,candidate
2021MNRA_0497,,54.60633,-35.379064,22.49,22.08,32.6,candidate
2021MNRA_0498,,54.200994,-34.967683,22.49,21.92,31.3,candidate
2021MNRA_0499,,54.696123,-35.315116,22.49,21.94,46.7,candidate
2021MNRA_0500,,54.48321,-35.548294,22.5,21.52,50.7,candidate
2021MNRA_0501,,54.48321,-35.548294,22.5,21.52,50.7,candidate
2021MNRA_0502,,55.143116,-35.370021,22.5,21.88,11.1,candidate
2021MNRA_0503,,54.576684,-35.526069,22.5,21.81,34.8,candidate
2021MNRA_0504,,55.170312,-35.208451,22.51,22.34,28.8,candidate
2021MNRA_0505,,54.399765,-35.517395,22.52,21.73,33.9,candidate
2021MNRA_0506,,54.660269,-35.397346,22.52,21.77,47.6,candidate
2021MNRA_0507,,55.022102,-35.365856,22.53,21.92,21.5,candidate
2021MNRA_0508,,54.863723,-35.267314,22.53,21.92,34.9,candidate
2021MNRA_0509,,54.599832,-35.493752,22.53,21.81,35.8,candidate
2021MNRA_0510,,54.710806,-35.408077,22.53,21.86,40.8,candidate
2021MNRA_0511,,54.687307,-35.503652,22.53,21.85,32.4,candidate
2021MNRA_0512,,55.063103,-35.68221,22.54,21.87,16.8,candidate
2021MNRA_0513,,54.601081,-35.425642,22.55,21.91,53.2,candidate
2021MNRA_0514,,54.718002,-35.524873,22.56,21.98,40.0,candidate
2021MNRA_0515,,54.827992,-35.881816,22.56,22.05,31.5,candidate
2021MNRA_0516,,54.558793,-35.43777,22.57,21.41,78.3,candidate
2021MNRA_0517,,54.491929,-35.53336,22.58,21.96,54.0,candidate
2021MNRA_0518,,54.5967,-35.424851,22.59,21.61,55.0,candidate
2021MNRA_0519,,54.56211,-35.439327,22.6,21.82,46.0,candidate
2021MNRA_0520,,54.536557,-35.487111,22.6,21.91,33.2,candidate
2021MNRA_0521,,54.894523,-35.374311,22.61,22.02,34.8,candidate
2021MNRA_0522,,54.777008,-35.509605,22.61,22.03,27.0,candidate
2021MNRA_0523,,54.668974,-35.490039,22.61,21.94,32.5,candidate
2021MNRA_0524,,54.100651,-35.152346,22.61,21.7,54.9,candidate
2021MNRA_0525,,54.742011,-35.441099,22.62,21.92,41.2,candidate
2021MNRA_0526,,54.84428,-35.569703,22.62,21.82,30.5,candidate
2021MNRA_0527,,54.631858,-35.40918,22.62,21.87,43.2,candidate
2021MNRA_0528,,54.551041,-35.334361,22.62,21.82,26.3,candidate
2021MNRA_0529,,54.589778,-35.335616,22.62,21.86,21.7,candidate
2021MNRA_0530,,54.145434,-35.503363,22.63,21.83,40.3,candidate
2021MNRA_0531,,54.550845,-35.440914,22.63,21.85,41.9,candidate
2021MNRA_0532,,54.49585,-35.54892,22.64,21.93,40.8,candidate
2021MNRA_0533,,54.49585,-35.54892,22.64,21.93,40.8,candidate
2021MNRA_0534,,54.681978,-35.528018,22.64,22.06,43.3,candidate
2021MNRA_0535,,54.667742,-35.485468,22.65,21.84,38.7,candidate
2021MNRA_0536,,54.662196,-35.482259,22.65,22.13,40.1,candidate
2021MNRA_0537,,54.660267,-35.437105,22.65,22.0,57.5,candidate
2021MNRA_0538,,54.532716,-35.406527,22.66,22.02,29.2,candidate
2021MNRA_0539,,54.651718,-35.489486,22.67,21.92,33.1,candidate
2021MNRA_0540,,54.842868,-35.296542,22.67,22.04,47.3,candidate
2021MNRA_0541,,54.667605,-35.35248,22.68,22.03,55.0,candidate
2021MNRA_0542,,54.451179,-35.388264,22.68,22.02,46.4,candidate
2021MNRA_0543,,54.471278,-35.455712,22.69,22.04,40.8,candidate
2021MNRA_0544,,54.471278,-35.455712,22.69,22.04,40.8,candidate
2021MNRA_0545,,54.440243,-35.327253,22.69,21.99,20.8,candidate
2021MNRA_0546,,54.64163,-35.479104,22.69,22.11,27.3,candidate
2021MNRA_0547,,54.553572,-35.546478,22.7,21.83,35.7,candidate
2021MNRA_0548,,54.478008,-35.573431,22.7,21.88,67.4,candidate
2021MNRA_0549,,54.605382,-35.390357,22.7,21.98,42.6,candidate
2021MNRA_0550,,54.37097,-35.544417,22.71,22.08,46.6,candidate
2021MNRA_0551,,54.497175,-35.393765,22.72,21.92,15.9,candidate
2021MNRA_0552,,54.721472,-35.517047,22.73,22.13,41.1,candidate
2021MNRA_0553,,54.590722,-35.564041,22.74,21.79,34.4,candidate
2021MNRA_0554,,54.590722,-35.564041,22.74,21.79,34.4,candidate
2021MNRA_0555,,54.658709,-35.557476,22.74,22.11,50.0,candidate
2021MNRA_0556,,54.658709,-35.557476,22.74,22.11,50.0,candidate
2021MNRA_0557,,54.539276,-35.414058,22.75,22.1,35.5,candidate
2021MNRA_0558,,54.539276,-35.414058,22.75,22.1,35.5,candidate
2021MNRA_0559,,54.49469,-35.591518,22.75,22.02,59.1,candidate
2021MNRA_0560,,54.626018,-35.510872,22.75,22.02,31.9,candidate
2021MNRA_0561,,54.356884,-35.171564,22.76,22.18,58.3,candidate
2021MNRA_0562,,54.797298,-35.912612,22.77,22.1,36.1,candidate
2021MNRA_0563,,54.599573,-35.370025,22.8,21.98,43.8,candidate
2021MNRA_0564,,54.693743,-35.51339,22.81,22.28,39.2,candidate
2021MNRA_0565,,54.598133,-35.387713,22.81,22.07,40.8,candidate
2021MNRA_0566,,54.418732,-35.623303,22.83,22.17,36.9,candidate
2021MNRA_0567,,54.32368,-35.342851,22.83,22.07,42.8,candidate
2021MNRA_0568,,54.405089,-35.477312,22.84,22.2,49.1,candidate
2021MNRA_0569,,54.582909,-35.682846,22.84,22.21,25.1,candidate
2021MNRA_0570,,54.493119,-35.492946,22.84,21.74,80.5,candidate
2021MNRA_0571,,54.493119,-35.492946,22.84,21.74,80.5,candidate
2021MNRA_0572,,54.230191,-35.482579,22.84,22.03,48.8,candidate
2021MNRA_0573,,54.394012,-35.35257,22.84,22.35,33.0,candidate
2021MNRA_0574,,54.947798,-35.257197,22.86,22.29,47.0,candidate
2021MNRA_0575,,54.559056,-35.562583,22.88,22.02,69.2,candidate
2021MNRA_0576,,54.729106,-35.53767,22.88,22.31,74.0,candidate
2021MNRA_0577,,54.549394,-35.379644,22.9,22.17,20.2,candidate
2021MNRA_0578,,54.745227,-35.418291,22.94,22.26,53.2,candidate
2021MNRA_0579,,54.582194,-35.833051,22.94,22.33,21.4,candidate
2021MNRA_0580,,54.51051,-35.417636,22.94,22.2,68.6,candidate
2021MNRA_0581,,54.51051,-35.417636,22.94,22.2,68.6,candidate
2021MNRA_0582,,54.570567,-35.63678,22.95,22.28,44.0,candidate
2021MNRA_0583,,54.629085,-35.410715,22.98,22.11,30.7,candidate
2021MNRA_0584,,54.660142,-35.433996,23.01,22.18,49.8,candidate
2021MNRA_0585,,54.732779,-35.416591,23.01,22.34,48.8,candidate
2021MNRA_0586,,54.571113,-35.467944,23.02,22.44,57.0,candidate
2021MNRA_0587,,54.591983,-35.420003,23.03,22.09,38.0,candidate
2021MNRA_0588,,54.366325,-35.561433,23.04,22.37,50.5,candidate
2021MNRA_0589,,54.571358,-35.570995,23.04,22.18,68.0,candidate
2021MNRA_0590,,54.450452,-35.369945,23.04,22.44,64.7,candidate
2021MNRA_0591,,54.447122,-35.305591,23.05,22.24,35.6,candidate
2021MNRA_0592,,54.394523,-35.483295,23.05,22.22,36.8,candidate
2021MNRA_0593,,54.784606,-35.51139,23.05,22.27,39.0,candidate
2021MNRA_0594,,54.536901,-35.463681,23.08,22.22,46.6,candidate
2021MNRA_0595,,54.511743,-35.49053,23.09,22.3,61.3,candidate
2021MNRA_0596,,54.566766,-35.49341,23.09,22.21,47.6,candidate
2021MNRA_0597,,54.520376,-35.519432,23.12,22.32,50.3,candidate
2021MNRA_0598,,54.532181,-35.631083,23.16,22.41,51.0,candidate
2021MNRA_0599,,54.569713,-35.562543,23.16,22.3,48.5,candidate
2021MNRA_0600,,54.66344,-35.533669,23.28,22.39,72.7,candidate
2021MNRA_0601,,54.592532,-35.351157,23.36,22.59,44.6,candidate
2021MNRA_0602,,54.519507,-35.390336,23.4,22.55,38.8,candidate
2021MNRA_0603,,54.102303,-35.407778,23.43,22.52,56.6,candidate
2021MNRA_0604,,54.092917,-34.95871,23.8,22.99,32.6,candidate
