object_id,name,ra,dec,g_mag,r_mag,re_pc,status
2021MNRA_0084,,54.579449,-35.443704,21.28,20.47,21.4,candidate
2021MNRA_0085,,54.595207,-35.282087,21.28,20.67,18.4,candidate
2021MNRA_0086,,54.775133,-35.580469,21.28,20.73,23.8,candidate
2021MNRA_0087,,54.658237,-35.392437,21.31,20.64,18.2,candidate
2021MNRA_0088,,54.672266,-35.479561,21.31,20.79,19.7,candidate
2021MNRA_0089,,54.813846,-35.592909,21.31,20.71,35.0,candidate
2021MNRA_0090,,54.683675,-35.317122,21.32,20.67,23.2,candidate
2021MNRA_0091,,54.534044,-35.464452,21.33,20.66,10.6,candidate
2021MNRA_0092,,54.597601,-35.664809,21.33,20.11,70.9,candidate
2021MNRA_0093,,54.586778,-35.574062,21.33,20.71,32.5,candidate
2021MNRA_0094,,54.209792,-35.337965,21.34,20.72,23.5,candidate
2021MNRA_0095,,54.704797,-35.361691,21.34,20.61,29.2,candidate
2021MNRA_0096,,54.829424,-35.56854,21.34,20.78,24.8,candidate
2021MNRA_0097,,54.571182,-35.441907,21.35,20.54,11.3,candidate
2021MNRA_0098,,54.65891,-35.446284,21.36,20.74,16.8,candidate
2021MNRA_0099,,54.468618,-35.482662,21.36,20.48,23.7,candidate
2021MNRA_0100,,54.594019,-35.513647,21.36,20.77,25.5,candidate
2021MNRA_0101,,54.626636,-35.572443,21.38,20.66,21.4,candidate
2021MNRA_0102,,54.243806,-35.495965,21.38,20.91,48.0,candidate
2021MNRA_0103,,54.004514,-35.428628,21.39,20.66,26.8,candidate
2021MNRA_0104,,54.548799,-35.454477,21.39,20.54,48.7,candidate
2021MNRA_0105,,54.648626,-35.454368,21.39,20.67,11.9,candidate
2021MNRA_0106,,54.53846,-35.585232,21.39,20.45,27.7,candidate
2021MNRA_0107,,54.53846,-35.585232,21.39,20.45,27.7,candidate
2021MNRA_0108,,54.954768,-35.579443,21.4,20.85,25.8,candidate
2021MNRA_0109,,55.338194,-35.362787,21.41,21.06,13.2,candidate
2021MNRA_0110,,54.91723,-35.309815,21.41,20.77,23.8,candidate
2021MNRA_0111,,54.707712,-35.393253,21.42,20.69,17.1,candidate
2021MNRA_0112,,54.112776,-35.29256,21.43,20.69,10.4,candidate
