KV19,ra,dec,gaia_dr3_id,gaia_aen,g_mag,gaia_bp_rp,u-r,r-z,rmag,Votes,CL,Rank,MIKE,is_ucd,confirmation_status,distance_mpc
KV19-055,199.110974339,-42.3646615259,1,9.85,18.72,4.05,,,,,,D,,1,candidate,3.8
KV19-056,199.126467918,-41.5480079918,1,10.4,18.82,4.7,,,,,,D,,1,candidate,3.8
KV19-057,199.126989541,-41.5487814873,1,5.64,18.38,3.67,,,,,,D,,1,candidate,3.8
KV19-058,199.144308513,-41.9493090726,1,11.13,18.95,3.85,,,,4.0,,E,,1,candidate,3.8
KV19-059,199.144888786,-41.645341284,1,10.97,13.78,1.6,,,,,,D,,1,candidate,3.8
KV19-060,199.14671109,-43.7877118552,1,3.78,18.05,1.66,3.0,0.27,16.97,3.25,0.0,E,,1,candidate,3.8
KV19-061,199.173826422,-43.7784001348,1,6.69,18.61,1.79,1.97,0.01,17.48,4.0,0.0,E,,1,candidate,3.8
KV19-062,199.199042815,-43.7763201821,1,8.82,14.52,1.64,,,,3.0,,C,,1,candidate,3.8
KV19-063,199.199395011,-42.0423443672,1,6.01,16.04,2.37,1.62,0.91,15.55,3.5,0.0,E,,1,candidate,3.8
KV19-064,199.221307588,-42.5919684317,1,0.26,14.38,1.4,,,,,,D,,1,candidate,3.8
KV19-065,199.221748033,-42.4256152188,1,1.89,17.99,1.93,2.41,0.16,16.92,,0.0,E,,1,candidate,3.8
KV19-066,199.243989115,-42.8074543849,1,1.79,18.53,2.11,0.41,0.19,17.48,3.33,0.0,E,,1,candidate,3.8
KV19-067,199.250129077,-41.7555986222,1,5.63,17.31,1.81,2.2,-0.01,16.17,,0.0,E,,1,candidate,3.8
KV19-068,199.270272611,-44.2202279048,1,14.21,16.8,1.52,1.21,-0.03,16.0,2.25,0.18,C,,1,candidate,3.8
KV19-069,199.271409131,-44.7313122313,1,1.97,18.46,1.9,1.95,0.14,17.44,,0.24,D,,1,candidate,3.8
KV19-070,199.303137124,-44.0788113105,1,11.53,18.67,4.86,,,,4.0,,E,,1,candidate,3.8
KV19-071,199.307030064,-41.6243785868,1,10.58,18.59,4.46,,,,2.83,,C,,1,candidate,3.8
KV19-072,199.321355396,-43.3115336525,1,6.11,17.56,1.7,1.98,-0.12,16.29,2.38,0.0,D,,1,candidate,3.8
KV19-073,199.392856925,-44.6717801918,1,14.54,18.82,4.72,,,,,,D,,1,candidate,3.8
KV19-074,199.393526681,-43.6208974938,1,5.08,15.94,2.02,,,,3.75,,D,,1,candidate,3.8
KV19-075,199.39730596,-41.9505534924,1,4.97,17.2,1.64,1.37,-0.11,16.34,2.62,0.01,D,,1,candidate,3.8
KV19-076,199.414075534,-42.7633907091,1,9.88,17.24,1.56,2.13,0.11,16.23,3.25,0.01,E,,1,candidate,3.8
KV19-077,199.421828924,-41.8309274437,1,10.14,18.33,4.19,,,,4.0,,E,,1,candidate,3.8
KV19-078,199.471954979,-43.3208922724,1,11.35,18.49,2.18,1.06,-0.07,17.08,3.12,0.09,E,,1,candidate,3.8
KV19-079,199.497281234,-41.4321194889,1,5.59,18.35,1.83,1.04,-0.1,17.4,3.75,0.04,E,,1,candidate,3.8
KV19-080,199.507599639,-42.8844533463,1,5.55,17.74,1.61,1.21,-0.11,16.66,3.25,0.02,E,,1,candidate,3.8
KV19-081,199.512736203,-43.3738594204,1,1.12,15.97,2.06,1.6,-0.18,14.59,2.88,0.0,D,,1,candidate,3.8
KV19-082,199.530342,-42.2174148152,1,3.76,16.07,1.69,3.18,0.35,15.2,4.0,0.0,E,,1,candidate,3.8
KV19-083,199.538521223,-41.4852634415,1,12.3,18.21,3.27,,,,4.0,,E,,1,candidate,3.8
KV19-084,199.540406992,-42.0676070216,1,13.27,18.58,4.33,,,,,,D,,1,candidate,3.8
KV19-085,199.586466958,-44.9013790882,1,6.51,17.67,1.54,,,,,,D,,1,candidate,3.8
KV19-086,199.622471274,-42.5722936327,1,4.97,17.51,2.57,,,,4.0,,E,,1,candidate,3.8
KV19-087,199.630738026,-41.1614323915,1,2.56,18.08,1.86,2.47,0.17,17.03,1.88,0.0,D,,1,candidate,3.8
KV19-088,199.640876351,-42.5016927084,1,5.22,14.44,1.5,,,,3.75,,D,,1,candidate,3.8
KV19-089,199.647041964,-44.1719119608,1,5.69,17.66,1.57,2.73,0.22,16.84,1.38,0.0,D,,1,candidate,3.8
KV19-090,199.664358959,-41.2276297916,1,11.66,17.98,4.62,,,,4.0,,E,,1,candidate,3.8
KV19-091,199.672018035,-43.4140980057,1,6.59,16.92,1.62,,,,2.75,,C,,1,candidate,3.8
KV19-092,199.682574451,-42.3805388511,1,6.72,18.98,2.78,2.1,0.34,17.51,3.67,4.48,C,,1,candidate,3.8
KV19-093,199.694797004,-41.1718921791,1,4.5,15.94,1.55,2.72,0.16,15.05,3.5,0.0,E,,1,candidate,3.8
KV19-094,199.701316961,-43.9083326082,1,14.2,18.93,1.83,1.89,0.05,17.78,2.33,0.02,D,,1,candidate,3.8
KV19-095,199.726310002,-43.4048020902,1,6.32,16.46,1.64,2.02,-0.05,15.33,2.75,0.0,D,,1,candidate,3.8
KV19-096,199.732769525,-43.7245015843,1,7.7,18.88,4.14,,,,4.0,,E,,1,candidate,3.8
KV19-097,199.739571594,-44.3650873341,1,4.64,18.22,2.39,1.45,0.03,16.99,3.5,0.35,C,,1,candidate,3.8
