KV19,ra,dec,gaia_dr3_id,gaia_aen,g_mag,gaia_bp_rp,u-r,r-z,rmag,Votes,CL,Rank,MIKE,is_ucd,confirmation_status,distance_mpc
KV19-222,200.95851128,-42.8657884805,1,10.73,13.23,1.66,,,,3.75,,D,,1,candidate,3.8
KV19-223,200.979263428,-44.5455730294,1,5.41,13.29,1.56,,,,4.0,,E,,1,candidate,3.8
KV19-224,200.979638115,-43.9258906617,1,1.2,18.21,4.01,,,,4.0,,E,,1,candidate,3.8
KV19-225,200.985522796,-41.8514350922,1,1.63,15.38,2.23,,,,3.75,,D,,1,candidate,3.8
KV19-226,200.988038484,-44.8574725638,1,2.74,17.19,1.5,1.81,0.01,16.43,,0.01,E,,1,candidate,3.8
KV19-227,200.989194544,-44.4346553796,1,0.84,17.74,4.06,,,,4.0,,E,,1,candidate,3.8
KV19-228,200.994961825,-45.0306981061,1,1.55,18.68,2.36,1.52,0.0,17.48,,0.1,E,,1,candidate,3.8
KV19-229,201.005698434,-45.0216039269,2,1.28,18.47,2.11,1.58,0.02,17.37,,0.12,D,,1,candidate,3.8
KV19-230,201.007003832,-42.018661595,2,1.74,16.44,1.9,1.92,-0.2,15.11,2.75,0.0,D,,1,candidate,3.8
KV19-231,201.018799696,-44.7666465385,1,8.75,18.91,3.45,,,,,,D,,1,candidate,3.8
KV19-232,201.033660744,-41.4667595651,1,5.68,18.86,1.87,2.38,0.19,17.82,3.33,0.0,E,,1,candidate,3.8
KV19-233,201.047487789,-43.2403499202,1,6.4,18.92,2.58,2.07,0.3,17.5,4.0,3.4,E,,1,candidate,3.8
KV19-234,201.057238221,-44.7542765209,1,11.25,18.47,4.27,,,,3.88,,D,,1,candidate,3.8
KV19-235,201.06853813,-43.5877346156,2,1.35,17.65,2.28,2.16,0.12,16.34,1.75,0.01,D,,1,candidate,3.8
KV19-236,201.076362348,-43.3446858176,1,8.83,18.04,1.76,1.5,0.02,16.93,1.5,0.17,C,,1,candidate,3.8
KV19-237,201.079556771,-43.1253957714,1,13.65,18.75,1.83,2.93,0.32,17.72,1.67,0.0,D,,1,candidate,3.8
KV19-238,201.086385458,-41.2776235912,1,9.13,18.23,3.95,,,,4.0,,E,,1,candidate,3.8
KV19-239,201.103005929,-43.4437474587,1,10.09,17.76,1.7,2.52,0.18,16.69,1.75,0.0,D,,1,candidate,3.8
KV19-240,201.106928063,-42.9882203566,1,1.59,16.56,1.83,,,,2.75,,C,,1,candidate,3.8
KV19-241,201.108225155,-45.1120181498,1,13.86,18.51,1.86,1.39,-0.03,17.63,,0.09,E,,1,candidate,3.8
KV19-242,201.115748674,-40.7497465192,2,1.92,17.97,2.16,1.25,-0.05,16.72,,0.1,D,,1,candidate,3.8
KV19-243,201.115837016,-40.7496420578,2,3.8,17.96,2.18,1.25,-0.05,16.72,,0.1,D,,1,candidate,3.8
KV19-244,201.122602338,-41.4622155687,1,9.81,18.52,4.33,,,,4.0,,E,,1,candidate,3.8
KV19-245,201.155066617,-45.1732086758,1,11.07,18.5,4.26,,,,,,D,,1,candidate,3.8
KV19-246,201.162779037,-41.8815397709,1,5.6,18.77,1.97,2.11,0.23,17.7,2.0,0.74,B,,1,candidate,3.8
KV19-247,201.168576437,-45.1801451314,1,6.53,18.6,4.66,,,,,,D,,1,candidate,3.8
KV19-248,201.17421988,-42.8165726659,1,4.11,17.48,1.62,2.85,0.25,16.46,1.5,0.0,D,,1,candidate,3.8
KV19-249,201.179967835,-42.6177268911,1,9.75,15.52,1.52,,,,4.0,,E,,1,candidate,3.8
KV19-250,201.188688031,-43.6664109404,1,11.98,18.99,4.14,,,,4.0,,E,,1,candidate,3.8
KV19-251,201.191019537,-45.1074800569,1,4.98,19.0,1.9,1.42,-0.01,18.21,,0.14,D,,1,candidate,3.8
KV19-252,201.192373555,-42.6485776792,1,6.84,14.69,1.41,,,,3.5,,D,,1,candidate,3.8
KV19-253,201.19423045,-41.3011866875,1,9.96,17.95,1.61,2.11,0.19,17.05,1.5,0.26,C,,1,candidate,3.8
KV19-254,201.208831965,-44.1497700837,1,5.86,17.61,1.92,3.37,0.18,16.46,2.75,0.0,D,,1,candidate,3.8
KV19-255,201.215415152,-44.2007034863,1,5.62,18.7,3.96,,,,3.33,,D,,1,candidate,3.8
KV19-256,201.216932769,-44.150774976,1,1.33,18.24,2.43,2.64,0.12,16.86,3.0,0.0,D,,1,candidate,3.8
KV19-257,201.217109757,-44.1506779181,1,13.29,18.2,2.38,2.64,0.12,16.86,3.75,0.0,E,,1,candidate,3.8
KV19-258,201.223935642,-44.9318357205,1,3.51,15.99,1.67,1.72,0.43,15.45,,0.31,C,*,1,candidate,3.8
KV19-259,201.233499862,-41.24840552,1,8.9,18.33,1.67,2.47,0.18,17.4,1.5,0.0,D,,1,candidate,3.8
KV19-260,201.235176749,-44.4730947053,1,8.57,17.77,1.59,1.69,0.03,16.95,3.0,0.07,D,,1,candidate,3.8
KV19-261,201.241797364,-44.0111925762,1,6.96,16.84,1.48,1.72,0.03,16.0,1.75,0.05,D,,1,candidate,3.8
KV19-262,201.242944505,-42.9904171633,1,3.6,18.26,1.88,2.78,0.33,17.51,1.5,0.0,D,,1,candidate,3.8
KV19-263,201.248857437,-43.915816731,1,10.35,18.92,4.26,,,,2.83,,C,,1,candidate,3.8
KV19-264,201.250090649,-44.8591036772,1,5.15,17.44,1.75,1.67,-0.03,16.52,,0.01,E,,1,candidate,3.8
KV19-265,201.257201847,-43.018564522,1,11.89,16.36,1.49,1.9,0.12,15.63,2.0,0.16,C,,1,candidate,3.8
KV19-266,201.260768409,-43.7896785104,1,9.23,17.17,4.44,,,,4.0,,E,,1,candidate,3.8
KV19-267,201.264729257,-41.2975282191,1,4.44,14.01,1.45,,,,3.75,,D,,1,candidate,3.8
KV19-268,201.267822209,-43.65466887,1,2.34,18.63,2.43,1.63,-0.11,17.14,2.17,0.0,D,,1,candidate,3.8
KV19-269,201.275745005,-44.2882732431,1,10.28,18.98,2.19,3.06,0.32,17.89,2.5,0.0,D,,1,candidate,3.8
KV19-270,201.279400438,-43.5895957681,1,6.52,16.21,1.52,1.03,-0.13,15.3,3.0,0.02,D,,1,candidate,3.8
KV19-271,201.296298271,-43.5092116773,1,2.65,17.94,1.99,2.03,0.42,16.89,1.5,3.67,A,*,1,candidate,3.8
KV19-272,201.297727375,-44.0203008789,1,6.42,18.42,1.66,1.4,0.04,17.52,2.12,0.54,B,,1,candidate,3.8
KV19-273,201.304096808,-42.9895579821,1,4.72,18.8,4.87,,,,2.67,,C,,1,candidate,3.8
KV19-274,201.306288682,-43.8372202303,1,4.63,17.42,2.13,,,,3.0,,C,,1,candidate,3.8
KV19-275,201.308915604,-44.0179212558,1,10.86,18.98,4.27,,,,4.0,,E,,1,candidate,3.8
KV19-276,201.30985272,-40.9972164976,1,11.78,18.34,2.92,,,,4.0,,E,,1,candidate,3.8
KV19-277,201.325218594,-41.6260456984,1,2.24,18.92,4.4,,,,4.0,,E,,1,candidate,3.8
KV19-278,201.327032939,-44.4790171844,1,4.24,18.54,2.53,2.12,0.01,17.22,4.0,0.0,E,,1,candidate,3.8
KV19-279,201.327292945,-44.478921657,1,8.29,18.4,2.23,2.12,0.01,17.22,4.0,0.0,E,,1,candidate,3.8
KV19-280,201.334630743,-42.9858272254,1,4.96,18.35,3.76,1.82,0.39,17.4,2.0,2.03,B,,1,candidate,3.8
KV19-281,201.337983163,-43.5335375525,1,3.63,18.85,1.84,,,,2.83,,C,,1,candidate,3.8
KV19-282,201.345301098,-43.1361826789,1,1.64,18.58,1.89,3.0,0.37,17.8,1.33,0.0,D,,1,candidate,3.8
KV19-283,201.347622156,-41.2972016632,1,8.88,18.75,1.94,1.59,0.01,17.73,4.0,0.08,E,,1,candidate,3.8
KV19-284,201.357891311,-42.9867276603,1,1.52,18.72,4.96,0.78,0.0,18.12,1.67,0.03,D,,1,candidate,3.8
KV19-285,201.358198623,-45.2106524904,1,8.99,17.53,1.58,1.5,0.02,16.86,,0.18,D,,1,candidate,3.8
KV19-286,201.358467819,-42.9726972963,1,7.24,17.59,2.37,2.77,0.3,16.71,1.5,0.0,D,,1,candidate,3.8
KV19-287,201.36809697,-42.7759904897,1,6.11,18.51,2.16,,,,2.83,,C,,1,candidate,3.8
KV19-288,201.369036115,-42.941957873,1,9.44,18.6,3.29,1.4,0.15,17.34,1.67,1.51,A,,1,candidate,3.8
KV19-289,201.380317067,-43.0461360612,1,5.01,17.84,3.95,,,,1.5,,B,,1,candidate,3.8
KV19-290,201.386036424,-43.5606467308,1,11.52,18.94,2.81,1.61,0.2,17.57,1.0,2.92,A,,1,candidate,3.8
KV19-291,201.388694355,-43.8528296708,1,7.6,14.65,1.76,,,,4.0,,E,,1,candidate,3.8
KV19-292,201.396383529,-42.8086969639,1,11.58,18.84,1.75,3.32,0.37,17.98,1.33,0.0,D,,1,candidate,3.8
KV19-293,201.397612486,-41.8750785594,1,3.37,18.8,3.13,,,,3.67,,D,,1,candidate,3.8
KV19-294,201.407704722,-40.7725301914,1,13.17,18.91,4.63,,,,,,D,,1,candidate,3.8
KV19-295,201.418463595,-43.0475992398,1,4.73,18.91,3.51,2.65,0.58,17.93,2.0,1.4,B,,1,candidate,3.8
KV19-296,201.43091514,-43.3009531794,1,8.58,17.71,1.7,2.37,0.17,16.74,1.88,0.0,D,,1,candidate,3.8
KV19-297,201.439267844,-42.0727427227,1,0.81,17.49,4.64,,,,4.0,,E,,1,candidate,3.8
KV19-298,201.445692671,-42.0091455507,1,9.33,17.37,1.66,,,,1.75,,B,,1,candidate,3.8
KV19-299,201.461294299,-41.32902009,1,3.47,18.88,2.04,3.0,0.28,17.84,4.0,0.0,E,,1,candidate,3.8
KV19-300,201.461885692,-42.9505903253,1,4.37,17.07,1.61,1.68,-0.01,16.34,2.25,0.01,D,,1,candidate,3.8
KV19-301,201.464042948,-43.7368245991,1,6.2,18.35,3.15,,,,4.0,,E,,1,candidate,3.8
KV19-302,201.464642431,-42.2282137629,1,8.29,18.51,4.15,,,,4.0,,E,,1,candidate,3.8
KV19-303,201.477704895,-43.7335106994,1,8.51,17.95,1.66,1.4,0.02,16.96,2.5,0.28,B,,1,candidate,3.8
KV19-304,201.491172813,-44.3731800534,1,2.03,16.59,1.55,2.29,0.12,15.8,2.25,0.0,D,,1,candidate,3.8
KV19-305,201.49488821,-43.7737783756,1,6.56,18.37,2.09,1.09,-0.09,17.18,2.0,0.05,D,,1,candidate,3.8
KV19-306,201.500899391,-43.4758918498,1,5.15,18.59,2.24,1.53,0.17,17.49,1.0,2.26,A,,1,candidate,3.8
KV19-307,201.512752221,-41.6290519079,1,8.99,17.98,2.31,,,,1.75,,B,,1,candidate,3.8
KV19-308,201.51294635,-41.629028672,1,3.94,18.04,2.4,,,,1.5,,B,,1,candidate,3.8
KV19-309,201.519331929,-43.482247018,1,3.12,16.98,1.72,1.35,-0.04,16.04,3.0,0.07,D,,1,candidate,3.8
KV19-310,201.522280948,-44.9892971084,1,12.44,17.17,1.52,2.01,0.08,16.38,,0.01,E,,1,candidate,3.8
KV19-311,201.543343419,-42.5211643859,1,6.17,16.97,2.06,,,,2.0,,C,,1,candidate,3.8
KV19-312,201.546223311,-45.0565106957,1,3.93,16.93,1.86,2.56,0.12,15.9,,0.0,E,,1,candidate,3.8
KV19-313,201.548505488,-44.8841796316,1,8.2,18.73,4.09,,,,,,D,,1,candidate,3.8
KV19-314,201.550525348,-41.0190276851,1,6.7,17.69,1.9,2.73,0.23,16.67,1.75,0.0,D,,1,candidate,3.8
KV19-315,201.55791341,-44.552149396,1,10.22,18.97,4.39,,,,4.0,,E,,1,candidate,3.8
KV19-316,201.559584584,-42.329947153,1,5.46,17.65,1.82,1.04,-0.07,16.58,3.75,0.08,E,,1,candidate,3.8
KV19-317,201.561870555,-44.2676664905,1,4.17,17.07,1.59,1.97,0.0,16.2,2.75,0.0,D,,1,candidate,3.8
KV19-318,201.563294449,-45.2739263094,2,10.88,15.79,1.73,1.71,-0.07,14.92,3.67,0.0,E,,1,candidate,3.8
KV19-319,201.575636497,-44.6435482943,1,11.97,18.93,4.93,,,,4.0,,E,,1,candidate,3.8
KV19-320,201.580775677,-42.625021906,1,2.57,16.94,2.02,1.25,-0.05,15.79,1.75,0.09,D,,1,candidate,3.8
KV19-321,201.588323454,-43.8820428575,1,10.4,18.71,4.69,,,,4.0,,E,,1,candidate,3.8
KV19-322,201.620713063,-45.2130167997,1,8.75,18.41,3.9,,,,4.0,,E,,1,candidate,3.8
KV19-323,201.621462833,-45.2886268919,1,1.48,16.17,1.78,1.78,-0.08,15.25,3.67,0.0,E,,1,candidate,3.8
KV19-324,201.621989438,-42.690374719,1,4.9,18.61,2.28,1.54,0.23,17.53,1.0,2.27,A,,1,candidate,3.8
KV19-325,201.626723872,-42.8697314214,1,1.89,18.49,1.93,1.4,0.12,17.62,1.25,1.41,A,,1,candidate,3.8
KV19-326,201.635288905,-40.9304304959,1,4.33,16.01,1.77,1.34,-0.04,15.09,2.75,0.08,D,,1,candidate,3.8
KV19-327,201.646472393,-40.7844564793,1,13.62,17.91,1.84,1.24,0.01,16.95,,0.32,C,,1,candidate,3.8
KV19-328,201.658184353,-44.3751785443,1,3.85,17.74,1.57,2.69,0.21,16.92,1.38,0.0,D,,1,candidate,3.8
KV19-329,201.672201477,-42.7039358532,1,3.9,18.18,2.13,1.61,0.31,17.2,1.0,1.67,A,*,1,candidate,3.8
KV19-330,201.676969622,-41.3698957236,1,4.64,18.15,1.83,2.19,0.17,17.21,3.75,0.05,E,,1,candidate,3.8
KV19-331,201.681072085,-44.6944113974,1,12.66,18.75,4.83,,,,4.0,,E,,1,candidate,3.8
KV19-332,201.689654777,-43.3039104398,1,13.6,18.44,4.87,,,,4.0,,E,,1,candidate,3.8
KV19-333,201.695531126,-44.6336688758,1,4.68,18.59,3.47,,,,4.0,,E,,1,candidate,3.8
KV19-334,201.697633611,-44.9155802619,1,5.73,18.17,1.61,2.59,0.16,17.35,,0.0,E,,1,candidate,3.8
KV19-335,201.708088542,-43.8695139175,1,14.45,18.56,2.26,2.12,0.15,17.38,1.83,0.05,D,,1,candidate,3.8
KV19-336,201.709496813,-41.613758134,1,5.52,18.4,1.79,2.16,0.18,17.5,2.75,0.09,D,,1,candidate,3.8
KV19-337,201.723451924,-42.991564482,1,3.88,17.95,1.58,2.24,0.17,17.14,1.5,0.02,D,,1,candidate,3.8
KV19-338,201.727419052,-42.0609130909,1,6.13,17.83,1.73,2.46,0.1,16.81,2.5,0.0,D,,1,candidate,3.8
KV19-339,201.729287439,-41.0593924606,1,2.67,16.32,2.22,2.94,0.31,15.25,3.5,0.0,E,,1,candidate,3.8
KV19-340,201.735082965,-45.1337354111,1,6.68,16.89,1.85,2.45,0.04,15.83,2.67,0.0,D,,1,candidate,3.8
KV19-341,201.738120133,-44.6365796554,1,7.82,18.74,3.94,,,,4.0,,E,,1,candidate,3.8
KV19-342,201.739464889,-42.0688933345,1,4.14,17.28,1.96,1.83,0.01,16.16,3.25,0.01,E,,1,candidate,3.8
KV19-343,201.753225567,-40.7583314091,1,9.15,18.69,3.83,,,,,,D,,1,candidate,3.8
KV19-344,201.756682338,-44.1387908053,1,4.69,18.62,3.9,,,,4.0,,E,,1,candidate,3.8
KV19-345,201.768164201,-40.8010277931,1,9.44,18.53,3.88,2.32,0.51,16.95,,2.94,B,,1,candidate,3.8
KV19-346,201.777850505,-43.6934798144,1,3.18,17.74,1.55,2.52,0.19,16.74,1.5,0.0,D,,1,candidate,3.8
KV19-347,201.781526813,-43.938076755,1,1.74,18.19,1.86,1.62,0.08,17.24,2.62,0.45,B,,1,candidate,3.8
KV19-348,201.790751769,-41.0868389514,1,10.83,18.11,4.15,,,,4.0,,E,,1,candidate,3.8
KV19-349,201.805418687,-43.1642577774,1,7.48,15.48,1.96,,,,3.75,,D,,1,candidate,3.8
KV19-350,201.808452749,-42.0544654588,1,1.72,18.99,3.92,,,,3.67,,D,,1,candidate,3.8
KV19-351,201.816516137,-45.1081192412,1,6.62,14.99,1.41,,,,3.75,,D,,1,candidate,3.8
KV19-352,201.819191807,-44.4185827023,1,12.87,18.6,4.55,,,,4.0,,E,,1,candidate,3.8
KV19-353,201.825811553,-43.7508883874,1,4.25,18.21,1.71,1.92,0.22,17.2,1.25,1.93,A,,1,candidate,3.8
KV19-354,201.835903642,-42.3802986819,1,11.64,18.84,1.88,2.73,0.33,17.81,3.33,0.0,E,,1,candidate,3.8
KV19-355,201.839673331,-43.9214805556,1,4.73,15.92,1.49,,,,3.38,,D,,1,candidate,3.8
KV19-356,201.843247516,-45.1550136338,1,12.56,18.21,4.08,,,,4.0,,E,,1,candidate,3.8
KV19-357,201.845901796,-40.8675421809,1,8.18,16.43,1.6,2.17,-0.17,15.34,,0.0,E,,1,candidate,3.8
KV19-358,201.849154252,-41.1548246561,1,7.84,17.76,3.16,,,,4.0,,E,,1,candidate,3.8
KV19-359,201.855775189,-44.4409887665,1,11.37,18.27,4.72,,,,4.0,,E,,1,candidate,3.8
KV19-360,201.859250653,-44.6356997719,1,11.36,18.77,4.02,,,,4.0,,E,,1,candidate,3.8
KV19-361,201.871667298,-42.7966457822,1,6.22,15.85,1.44,1.68,0.06,15.28,2.25,0.23,C,,1,candidate,3.8
KV19-362,201.873079099,-44.3859770692,1,4.69,17.47,2.73,,,,4.0,,E,,1,candidate,3.8
KV19-363,201.875832462,-44.6853009869,1,2.5,16.74,1.95,1.27,-0.1,15.69,2.38,0.02,D,,1,candidate,3.8
KV19-364,201.877029399,-44.246143014,1,14.37,18.93,4.09,,,,4.0,,E,,1,candidate,3.8
KV19-365,201.880355798,-44.1253144974,1,3.34,17.12,1.88,1.38,-0.05,16.14,2.0,0.05,D,,1,candidate,3.8
KV19-366,201.884111488,-45.2333881942,1,13.68,18.21,4.89,,,,4.0,,E,,1,candidate,3.8
KV19-367,201.886625454,-42.4642017006,1,2.43,18.82,2.47,0.78,-0.11,17.6,2.67,0.03,D,,1,candidate,3.8
KV19-368,201.889450611,-41.6553066311,1,2.84,16.04,1.48,,,,4.0,,E,,1,candidate,3.8
KV19-369,201.905439572,-40.9694260403,1,3.28,15.47,1.42,1.72,0.08,14.92,3.75,0.27,C,,1,candidate,3.8
KV19-370,201.938297649,-42.194739171,1,7.47,15.92,1.44,1.3,0.1,15.25,2.25,0.93,B,,1,candidate,3.8
KV19-371,201.946204355,-44.5184396356,1,9.22,18.8,3.59,,,,4.0,,E,,1,candidate,3.8
KV19-372,201.95512183,-41.0951463062,1,11.53,18.33,4.56,,,,,,D,,1,candidate,3.8
KV19-373,201.960084754,-43.4296412449,1,8.47,18.1,4.18,,,,4.0,,E,,1,candidate,3.8
KV19-374,201.979384861,-43.6704207161,2,6.54,16.3,2.22,,,,2.62,,C,,1,candidate,3.8
KV19-375,201.982673862,-41.140421419,1,8.9,18.26,4.48,,,,,,D,,1,candidate,3.8
KV19-376,201.99234877,-43.42937272,1,10.01,18.94,3.98,,,,4.0,,E,,1,candidate,3.8
KV19-377,201.996034829,-44.2650192832,1,4.46,13.95,1.42,,,,3.75,,D,,1,candidate,3.8
KV19-378,202.006077383,-40.978008438,1,9.65,18.07,4.46,,,,,,D,,1,candidate,3.8
KV19-379,202.023716918,-43.3271502163,1,6.11,14.91,1.58,,,,3.75,,D,,1,candidate,3.8
KV19-380,202.023807222,-41.0449554714,1,13.1,18.68,4.69,,,,,,D,,1,candidate,3.8
KV19-381,202.028707891,-41.0019562501,1,8.91,18.16,3.83,,,,,,D,,1,candidate,3.8
KV19-382,202.028972302,-42.0059226842,1,5.75,14.96,1.45,2.01,0.24,14.23,4.0,1.7,E,,1,candidate,3.8
KV19-383,202.029483839,-43.572612635,1,6.36,16.44,2.07,,,,4.5,,E,,1,candidate,3.8
KV19-384,202.029572932,-43.5727727748,1,0.97,16.7,2.39,,,,4.0,,E,,1,candidate,3.8
KV19-385,202.031294089,-41.0948472891,1,15.42,18.88,4.88,,,,,,D,,1,candidate,3.8
KV19-386,202.039585948,-42.6670684459,1,7.52,18.75,3.26,,,,4.0,,E,,1,candidate,3.8
KV19-387,202.040606084,-44.5724956229,1,4.53,18.13,1.73,,,,3.25,,D,,1,candidate,3.8
KV19-388,202.042394161,-43.6346131986,1,8.54,18.81,3.38,,,,4.0,,E,,1,candidate,3.8
KV19-389,202.04272631,-43.0644158568,1,5.39,17.97,4.24,,,,4.0,,E,,1,candidate,3.8
KV19-390,202.048351975,-42.487483062,1,1.83,18.63,2.09,1.17,-0.04,17.49,2.67,0.16,C,,1,candidate,3.8
KV19-391,202.052260431,-40.9194622414,1,9.03,18.76,4.24,,,,,,D,,1,candidate,3.8
KV19-392,202.056592643,-44.2864171671,1,8.58,18.11,4.05,,,,3.5,,D,,1,candidate,3.8
KV19-393,202.071232736,-40.8907661794,1,5.51,18.59,1.74,2.25,0.22,17.72,,0.12,D,,1,candidate,3.8
KV19-394,202.07935878,-44.031571778,2,6.57,17.69,2.38,1.35,-0.04,16.43,4.75,0.09,E,,1,candidate,3.8
KV19-395,202.079529421,-44.0315420486,2,0.85,17.65,2.36,1.35,-0.04,16.43,2.12,0.09,D,,1,candidate,3.8
KV19-396,202.097517826,-43.5778336649,1,7.44,17.68,1.74,2.17,0.05,16.53,3.75,0.0,E,,1,candidate,3.8
KV19-397,202.104800423,-42.8583016584,1,5.53,16.44,1.52,1.32,0.27,15.84,3.75,0.22,D,*,1,candidate,3.8
KV19-398,202.110432673,-44.7297425191,1,2.94,18.81,2.14,1.84,0.03,17.54,3.0,0.01,D,,1,candidate,3.8
KV19-399,202.110569681,-44.7300034868,1,4.29,18.37,1.66,1.84,0.03,17.54,3.0,0.01,D,,1,candidate,3.8
KV19-400,202.133343385,-41.6823310121,1,8.47,18.91,3.99,2.2,0.29,17.09,4.0,1.42,E,,1,candidate,3.8
KV19-401,202.158824723,-44.6836225634,1,7.22,18.51,2.38,1.72,0.07,17.23,4.0,0.22,E,,1,candidate,3.8
KV19-402,202.168744149,-43.9670287055,1,1.44,18.57,3.28,,,,4.0,,E,,1,candidate,3.8
KV19-403,202.179241011,-40.8738714235,1,13.01,17.56,4.75,,,,,,D,,1,candidate,3.8
KV19-404,202.193757476,-42.0708682068,1,7.03,17.09,1.76,1.9,0.06,15.98,2.75,0.02,D,,1,candidate,3.8
KV19-405,202.200221908,-40.8185525289,1,6.14,18.67,3.54,,,,,,D,,1,candidate,3.8
KV19-406,202.202106577,-40.9108096702,1,8.48,18.63,3.97,,,,,,D,,1,candidate,3.8
KV19-407,202.20821911,-44.9942860722,1,2.5,16.41,1.76,2.03,-0.01,15.55,,0.0,E,,1,candidate,3.8
KV19-408,202.218804285,-43.5750963125,1,10.52,18.33,4.86,,,,4.0,,E,,1,candidate,3.8
KV19-409,202.223045286,-44.3056618865,1,1.49,18.63,2.33,,,,4.0,,E,,1,candidate,3.8
KV19-410,202.227778455,-42.6273682568,1,8.01,17.44,2.15,,,,4.0,,E,,1,candidate,3.8
KV19-411,202.228425738,-42.6934512669,1,1.52,17.83,2.35,2.11,0.26,16.73,3.25,1.48,C,,1,candidate,3.8
KV19-412,202.240853609,-43.4603689357,1,3.38,17.69,1.72,1.44,-0.09,16.57,2.0,0.0,D,,1,candidate,3.8
KV19-413,202.24632168,-41.3023227259,1,5.94,17.56,1.86,1.62,0.03,16.75,,0.11,D,,1,candidate,3.8
KV19-414,202.259903885,-44.633888199,1,8.96,17.34,1.81,1.77,-0.05,16.29,1.62,0.0,D,,1,candidate,3.8
KV19-415,202.259996902,-41.1905494389,1,9.25,17.96,3.69,,,,,,D,,1,candidate,3.8
KV19-416,202.26238573,-42.6124406999,1,5.92,17.33,1.75,2.51,0.19,16.44,2.5,0.0,D,,1,candidate,3.8
KV19-417,202.281725952,-44.9641895116,1,6.82,18.55,1.74,2.85,0.48,17.8,,0.13,D,,1,candidate,3.8
KV19-418,202.284913913,-44.5106690935,1,11.71,17.44,1.52,,,,3.0,,C,,1,candidate,3.8
KV19-419,202.291022452,-44.5625716788,1,1.92,17.15,1.8,1.45,-0.01,16.2,3.5,0.12,D,,1,candidate,3.8
KV19-420,202.292162345,-42.3729248204,1,10.95,12.02,2.55,,,,4.0,,E,,1,candidate,3.8
KV19-421,202.301251556,-41.7144376102,1,8.73,14.89,1.43,,,,4.0,,E,,1,candidate,3.8
KV19-422,202.315766897,-44.7325555985,1,6.18,16.03,1.43,,,,3.38,,D,,1,candidate,3.8
KV19-423,202.32077584,-42.6342735635,1,2.86,15.05,1.63,,,,3.75,,D,,1,candidate,3.8
KV19-424,202.321732037,-45.2129071832,1,5.06,15.33,1.6,1.56,0.69,15.32,,0.0,E,*,1,candidate,3.8
KV19-425,202.332286495,-41.1314690798,1,12.09,13.92,1.58,,,,,,D,,1,candidate,3.8
KV19-426,202.357028403,-42.8856234946,1,5.85,17.97,1.63,1.29,-0.03,17.08,1.75,0.13,C,,1,candidate,3.8
KV19-427,202.359477702,-43.9007600776,1,6.67,17.85,1.88,1.6,0.02,16.84,2.75,0.1,C,,1,candidate,3.8
KV19-428,202.360743165,-41.2417559382,1,9.8,18.99,4.87,,,,3.0,,C,,1,candidate,3.8
KV19-429,202.361460497,-44.1282735878,1,8.61,17.96,3.47,,,,4.0,,E,,1,candidate,3.8
KV19-430,202.362211816,-43.0080514835,1,5.36,18.74,2.16,1.49,0.07,17.51,1.83,0.63,B,,1,candidate,3.8
KV19-431,202.366977402,-44.3833420003,1,7.71,18.49,3.82,,,,4.0,,E,,1,candidate,3.8
KV19-432,202.369557693,-42.6289124626,1,9.2,18.94,1.83,0.89,-0.05,18.07,4.0,0.08,E,,1,candidate,3.8
KV19-433,202.376752627,-41.1419368946,1,4.36,12.68,1.75,,,,4.0,,E,,1,candidate,3.8
KV19-434,202.381940005,-44.765138159,1,1.77,17.19,1.71,2.02,0.14,16.32,3.5,0.11,D,,1,candidate,3.8
KV19-435,202.39243421,-44.9649970686,1,3.15,15.73,1.58,2.84,0.24,14.99,,0.0,E,,1,candidate,3.8
KV19-436,202.39662726,-43.1394203158,1,9.64,18.54,2.1,2.12,0.16,17.39,1.67,0.06,D,,1,candidate,3.8
KV19-437,202.400148623,-43.3380983907,1,1.78,17.92,1.97,1.16,-0.01,16.79,2.0,0.25,C,,1,candidate,3.8
KV19-438,202.407041429,-44.9203786524,1,6.76,16.31,2.01,3.41,0.34,15.31,,0.0,E,,1,candidate,3.8
KV19-439,202.410185894,-41.8820331425,1,0.37,13.24,2.32,,,,4.0,,E,,1,candidate,3.8
KV19-440,202.413495749,-41.504003335,1,7.63,13.71,1.5,,,,3.75,,D,,1,candidate,3.8
KV19-441,202.424084064,-44.0463430621,1,8.21,18.83,3.82,,,,4.0,,E,,1,candidate,3.8
KV19-442,202.432393544,-42.3914042616,1,10.1,18.21,2.59,1.43,0.17,16.99,1.0,1.71,A,*,1,candidate,3.8
KV19-443,202.43625632,-44.8778390829,1,2.45,18.61,2.04,1.14,-0.03,17.61,,0.17,D,,1,candidate,3.8
KV19-444,202.457778895,-44.0620838138,1,14.77,17.96,4.54,,,,4.0,,E,,1,candidate,3.8
KV19-445,202.506919599,-44.1921574883,1,4.94,18.96,2.52,1.94,0.36,17.72,4.0,4.67,E,,1,candidate,3.8
KV19-446,202.51057542,-43.0688388209,1,1.02,15.68,2.84,,,,4.0,,E,,1,candidate,3.8
KV19-447,202.530112454,-41.6112895585,1,5.43,13.83,1.47,,,,3.75,,D,,1,candidate,3.8
KV19-448,202.534604513,-43.6310348328,2,1.74,17.45,1.79,1.36,-0.05,16.32,3.5,0.05,E,,1,candidate,3.8
KV19-449,202.534627552,-43.6311517829,2,0.8,17.71,2.22,1.36,-0.05,16.32,2.0,0.05,D,,1,candidate,3.8
