S,Mmb,ID,f_ID,r,Rmag,Imag,B-V,g-i,mu0,<mu>e,ra,dec,czabs,Rfx,S/N,czem,A06,Simbad,is_ucd,confirmation_status,distance_mpc
1,Failed,160317,,,23.61,24.11,0.8,0.85,23.88,20.42,195.072632,27.981623,,,,,1,Simbad,1,candidate,100.0
1,Failed,161324,,,23.6,23.75,1.0,1.09,23.4,20.3,195.093369,28.001535,,,,,1,Simbad,1,candidate,100.0
1,Failed,232327,,,23.31,23.5,1.02,1.4,22.99,20.11,195.103042,27.909706,,,,,1,Simbad,1,candidate,100.0
1,Failed,221570,,,23.7,23.99,0.52,1.23,23.6,22.09,195.161331,27.94673,,,,,1,Simbad,1,candidate,100.0
1,Failed,151353,,,23.71,24.27,0.8,0.91,23.9,21.08,195.168091,27.98074,,,,,1,Simbad,1,candidate,100.0
1,Failed,81133,,,,23.99,,2.54,,21.34,195.173996,28.016844,,,,,0,Simbad,1,candidate,100.0
2,Mem,1041346,,r,21.65,21.89,0.87,0.89,21.71,19.34,194.914169,27.977791,8816,6.41,9.1,,1,Simbad,1,candidate,100.0
2,Mem,1039188,,r,21.97,22.1,1.47,1.0,22.0,19.33,194.921661,27.95303,6955,8.4,6.3,,1,Simbad,1,candidate,100.0
2,Mem,1041508,,r,22.62,22.95,0.71,0.83,22.62,19.89,194.929382,27.979355,7346,3.63,3.9,,1,Simbad,1,candidate,100.0
2,Mem,1043225,,r,,22.72,,0.65,,20.07,194.986374,27.99943,6950,3.68,3.9,,1,Simbad,1,candidate,100.0
2,Mem,1042830,,r,21.83,21.79,0.8,1.02,21.59,18.79,195.007507,27.994812,9438,6.97,9.2,,1,Simbad,1,candidate,100.0
2,Mem,2000005,,r,23.19,23.19,0.5,1.04,23.19,19.67,195.203247,28.019781,7339,7.92,3.0,,1,Simbad,1,candidate,100.0
2,Mem,1044251,,r,22.31,22.3,0.77,1.19,22.24,19.73,195.209549,28.010416,4563,8.61,6.3,,1,Simbad,1,candidate,100.0
2,Mem,1044847,,r,22.59,,0.88,,22.49,,195.216049,28.017069,8489,5.54,4.2,,1,Simbad,1,candidate,100.0
2,Uncert,1039715,,,22.65,22.69,0.79,1.1,22.75,20.49,194.912247,27.959192,6558,3.1,4.7,,1,Simbad,1,candidate,100.0
