H30772              M87             12 30 58.06 +12 16 02.21 1224.0 -10.70  37.1 10.00  2
S686                M87             12 30 53.81 +12 28 18.73  817.0 -10.70  23.8 21.38  2
S672                M87             12 30 54.73 +12 21 38.34  735.0 -10.40  10.8 25.70  2
S877                M87             12 30 48.93 +12 21 55.58 1811.0 -10.20   7.4 10.00  2
H27926              M87             12 30 51.65 +12 14 09.96 1299.0 -10.20  44.7 13.80  2
S6004               M87             12 31 10.22 +12 16 01.09 1818.0  -9.80  43.3 40.74  2
H30401              M87             12 31 18.71 +12 15 44.89 1323.0  -9.70  50.5 10.72  2
S825                M87             12 30 51.03 +12 21 19.51 1142.0  -9.60  10.5 13.18  2
S723                M87             12 30 53.76 +12 20 21.84 1398.0  -9.60  15.7 16.98  2
H44905              M87             12 30 57.08 +12 23 39.84 1563.0  -9.40   9.0 39.81  2
S1508               M87             12 30 31.41 +12 25 24.82 2419.0  -9.10  23.1 42.66  2
H39168              M87             12 32 36.49 +12 20 57.12 1349.0  -8.30 126.1 10.96  2
J122636.42+125512.9 M87             12 26 36.42 +12 55 12.89  -93.0 -12.45 333.1 17.66  2
J122628.69+125642.6 M87             12 26 28.69 +12 56 42.63 -186.0 -11.69 344.4 16.67  2
J122638.52+123702.7 M87             12 26 38.52 +12 37 02.67    0.0 -10.73 301.1 17.95  2
J122638.79+124545.8 M87             12 26 38.79 +12 45 45.76    0.0 -10.78 312.4 15.49  2
J122656.56+123532.2 M87             12 26 56.55 +12 35 32.19    0.0 -11.53 278.9 16.63  2
J122727.19+125546.0 M87             12 27 27.19 +12 55 45.99    0.0 -10.27 283.0 11.99  2
J122837.21+122845.6 M87             12 28 37.21 +12 28 45.63    0.0 -10.29 157.0 12.56  2
J122856.90+130220.5 M87             12 28 56.90 +13 02 20.50    0.0  -9.94 228.4 14.72  2
J122910.66+124304.1 M87             12 29 10.66 +12 43 04.13    0.0 -10.45 149.1 11.99  2
J122914.87+115343.8 M87             12 29 14.87 +11 53 43.86    0.0 -11.12 180.8 11.61  2
J122937.93+114058.1 M87             12 29 37.93 +11 40 58.14    0.0 -10.10 220.6 11.75  2
J122940.39+122728.1 M87             12 29 40.39 +12 27 28.06 1400.0 -11.37  83.1 20.89  2
J122941.32+123952.4 M87             12 29 41.32 +12 39 52.45 1754.0 -11.08 112.1 16.56  2
J122941.56+124427.6 M87             12 29 41.56 +12 44 27.60 1261.0 -10.40 128.3 11.07  2
J122945.26+125100.9 M87             12 29 45.26 +12 51 00.92 1113.0 -10.81 152.1 11.86  2
J122952.28+123737.8 M87             12 29 52.28 +12 37 37.79  886.0 -10.57  95.4 11.86  2
J122952.41+123504.1 M87             12 29 52.41 +12 35 04.09    0.0 -11.56  87.0 34.20  2
J122954.98+123350.9 M87             12 29 54.98 +12 33 50.86    0.0 -10.68  80.9 24.27  2
J122957.12+123602.9 M87             12 29 57.12 +12 36 02.94 1497.5 -11.03  86.0 12.91  2
J123001.95+124226.9 M87             12 30 01.95 +12 42 26.88 1115.0 -11.41 106.7 21.58  2
J123002.46+123633.8 M87             12 30 02.46 +12 36 33.76 1514.0 -11.12  83.5 14.96  2
J123004.05+120714.0 M87             12 30 04.05 +12 07 13.98 1167.0 -11.58  94.4 10.99  2
J123006.06+123954.0 M87             12 30 06.06 +12 39 53.97 1160.0 -11.86  93.8 17.91  2
J123006.13+122435.3 M87             12 30 06.13 +12 24 35.35 1878.0 -10.76  51.0 12.62  2
J123007.57+123631.0 M87             12 30 07.57 +12 36 31.00 1233.0 -12.30  79.5 12.22  2
J123009.82+123736.5 M87             12 30 09.82 +12 37 36.46 1261.0 -10.28  82.2 11.32  2
J123010.00+123604.7 M87             12 30 10.00 +12 36 04.67    0.0  -9.81  76.1 12.27  2
J123011.07+124721.7 M87             12 30 11.07 +12 47 21.70    0.0 -10.75 123.2 11.32  2
J123016.54+121556.8 M87             12 30 16.54 +12 15 56.84 2021.0 -11.26  52.8 17.18  2
J123019.63+120924.6 M87             12 30 19.63 +12 09 24.59  856.0 -10.23  76.0 10.67  2
J123020.05+115518.7 M87             12 30 20.04 +11 55 18.75 1336.5 -11.98 139.5 22.80  2
J123021.83+122402.4 M87             12 30 21.83 +12 24 02.42 1271.0 -11.48  32.5 11.67  2
J123022.97+123148.7 M87             12 30 22.97 +12 31 48.75  539.0 -11.56  50.6 18.07  2
J123025.75+122621.1 M87             12 30 25.75 +12 26 21.10 1368.0 -10.85  31.0 13.15  2
J123026.56+122044.6 M87             12 30 26.56 +12 20 44.61 1129.5 -10.94  29.8 18.07  2
J123026.89+122331.1 M87             12 30 26.90 +12 23 31.11 1406.5 -11.41  26.4 16.83  2
J123029.91+123822.2 M87             12 30 29.91 +12 38 22.16  845.0 -10.80  75.1 18.97  2
J123030.86+121841.7 M87             12 30 30.86 +12 18 41.68 2395.0 -11.60  31.6 15.35  2
J123031.44+125156.6 M87             12 30 31.44 +12 51 56.62 1511.0 -11.26 138.3 12.39  2
J123031.53+122602.6 M87             12 30 31.53 +12 26 02.60  857.5 -10.99  24.3 14.66  2
J123033.43+122954.3 M87             12 30 33.43 +12 29 54.39 1286.0 -12.09  36.1 32.96  2
J123034.12+122246.5 M87             12 30 34.12 +12 22 46.46 1100.0  -9.97  18.2 17.02  2
J123035.02+123452.7 M87             12 30 35.02 +12 34 52.70    0.0 -10.80  57.3 33.50  2
J123036.52+122152.8 M87             12 30 36.52 +12 21 52.83    0.0 -10.77  16.9 16.29  2
J123039.16+122132.5 M87             12 30 39.16 +12 21 32.45 1086.0 -10.58  15.2 13.52  2
J123041.81+122341.2 M87             12 30 41.81 +12 23 41.25 1211.0 -10.11   9.0 14.39  2
J123043.25+122212.4 M87             12 30 43.25 +12 22 12.39    0.0 -10.10   9.4 17.30  2
J123045.34+122033.5 M87             12 30 45.34 +12 20 33.47 2023.0 -10.62  14.8 23.93  2
J123046.50+122017.7 M87             12 30 46.50 +12 20 17.74 1004.0 -10.51  15.6 15.52  2
J123047.40+123301.7 M87             12 30 47.40 +12 33 01.70 1348.0 -11.89  46.0 17.54  2
J123047.66+120825.2 M87             12 30 47.66 +12 08 25.23 1265.0 -11.57  72.2 23.60  2
J123047.70+122430.5 M87             12 30 47.70 +12 24 30.48 1307.0 -11.52   5.4 26.12  2
J123048.19+123510.7 M87             12 30 48.20 +12 35 10.92  872.5 -12.19  56.2 10.96  2
J123049.28+123718.2 M87             12 30 49.28 +12 37 18.17 1610.5 -11.37  66.4 12.56  2
J123049.49+121426.9 M87             12 30 49.49 +12 14 26.93    0.0 -10.76  43.3 17.14  2
J123051.07+122611.9 M87             12 30 51.07 +12 26 11.92 1136.5 -11.70  13.2 13.49  2
J123051.65+121409.9 M87             12 30 51.65 +12 14 09.89 1299.0 -10.26  44.7 13.65  2
J123051.75+122053.3 M87             12 30 51.75 +12 20 53.30 1163.0 -10.50  12.7 11.69  2
J123053.88+121712.4 M87             12 30 53.88 +12 17 12.44 1020.0 -10.23  30.5 20.89  2
J123054.66+122022.6 M87             12 30 54.66 +12 20 22.58 1333.0  -9.97  16.1 20.42  2
J123101.47+121924.5 M87             12 31 01.47 +12 19 24.54 1858.0 -11.74  24.1 15.03  2
J123102.14+122749.7 M87             12 31 02.14 +12 27 49.69 1215.0 -10.63  25.7 23.39  2
J123102.59+123414.1 M87             12 31 02.59 +12 34 14.12 1189.5 -11.49  53.9 17.82  2
J123103.69+123213.0 M87             12 31 03.69 +12 32 13.04  702.0 -11.28  45.2 12.45  2
J123104.35+131042.5 M87             12 31 04.35 +13 10 42.55 1332.5 -11.13 227.4 10.89  2
J123104.43+122321.2 M87             12 31 04.43 +12 23 21.24 1157.0 -10.61  17.6 33.73  2
J123104.80+131436.6 M87             12 31 04.79 +13 14 36.61    0.0 -10.67 246.1 14.39  2
J123110.14+121627.9 M87             12 31 10.15 +12 16 27.94 1818.0 -10.11  41.5 20.18  2
J123111.31+123001.0 M87             12 31 11.30 +12 30 01.06    0.0 -10.60  40.6 12.13  2
J123116.32+121845.4 M87             12 31 16.32 +12 18 45.39 1817.5 -10.37  38.8 26.30  2
J123120.00+121158.1 M87             12 31 20.00 +12 11 58.10 1292.7 -10.85  65.8 11.38  2
J123124.75+122525.8 M87             12 31 24.75 +12 25 25.81 1783.0 -11.51  42.5 13.09  2
J123125.25+121931.8 M87             12 31 25.25 +12 19 31.77    0.0 -11.06  46.0 33.04  2
J123128.36+122503.6 M87             12 31 28.36 +12 25 03.60 2109.0 -12.01  46.3 13.43  2
J123131.70+124130.4 M87             12 31 31.70 +12 41 30.38 1114.0 -11.82  99.7 37.58  2
J123135.13+123459.4 M87             12 31 35.13 +12 34 59.37  948.0 -11.27  77.0 11.64  2
J123137.44+121740.7 M87             12 31 37.44 +12 17 40.73  -50.0 -10.69  62.8 11.38  2
J123138.53+115923.9 M87             12 31 38.53 +11 59 23.87    0.0 -10.55 129.1 19.50  2
J123145.95+122721.1 M87             12 31 45.95 +12 27 21.09 1320.0  -9.94  68.8 12.11  2
J123157.60+124929.6 M87             12 31 57.60 +12 49 29.57 1088.0 -10.99 148.2 18.92  2
J123157.99+131534.1 M87             12 31 57.99 +13 15 34.13 1271.0 -11.63 262.6 40.27  2
J123204.35+122030.3 M87             12 32 04.35 +12 20 30.35 1646.3 -11.68  89.0 12.30  2
J123214.45+120159.0 M87             12 32 14.45 +12 01 59.06 1825.0 -10.69 143.4 16.22  2
J123214.58+120305.3 M87             12 32 14.58 +12 03 05.36 1261.3 -11.91 139.8 17.42  2
J123221.10+121613.4 M87             12 32 21.10 +12 16 13.44    0.0 -10.52 113.0 29.38  2
J123223.49+115755.0 M87             12 32 23.49 +11 57 54.97 1005.0 -11.15 165.0 11.53  2
J123225.37+121956.8 M87             12 32 25.36 +12 19 56.83    0.0 -10.78 113.7 11.48  2
J123244.97+120411.6 M87             12 32 44.97 +12 04 11.65    0.0  -9.76 164.1 11.17  2
J123256.67+115104.7 M87             12 32 56.67 +11 51 04.67    0.0 -11.09 215.5 16.87  2
