a KV19-442 202.432394  -42.391404  17.59 -10.32 485.1  1.2 22.7 1.71   1.0
b KV19-329 201.672201  -42.703936  17.82 -10.09 627.4  1.6 22.3 1.67   1.0
c KV19-271 201.296298  -43.509212  17.66 -10.25 548.9  1.7 20.9 3.67   1.5
d KV19-212 200.790847  -43.874459  17.93  -9.98 535.1  2.4 21.5 2.46   1.4
e Fluffy   199.545362  -44.157251  18.30  -9.61 719.2  6.4  5.2
- KV19-054 199.1021398 -44.5545868 18.04          0.5  4.3  7.1 5.08
- KV19-258 201.223936  -44.931836  15.84        -17.3  6.4 23.0 0.31
- KV19-397 202.104800  -42.858302  16.26        -80.8 11.1 16.1 0.22   3.75
- KV19-424 202.321732  -45.212907  15.18        -81.3  2.0 11.6 0.0001
- KV19-464 202.645456  -44.666926  17.28        -14.3 32.7 16.1 0.73   1.75
- KV19-492 202.862878  -42.611323  17.89        -21.9  6.9  8.7 0.44   2.0
- KV19-521 203.050732  -41.300504  17.69        -95.2 29.1 10.1 2.27
- KV19-569 203.478425  -42.362577  17.89         23.6  4.6 10.8 0.30   2.0
- KV19-573 203.537185  -42.866562  18.06        -19.6  1.7 11.7 3.35   2.0
