bibcode,year,title,first_author,doi,has_ads_data_property,category,priority,decision,reason,data_access_status
2024ApJ...977L...9Z,2024,ALMA Detection of [O III] 88 μm at z = 12.33: Exploring the Nature and Evolution of GHZ2 as a Massive Compact Stellar System,"Zavala, Jorge A.",10.3847/2041-8213/ad8f38,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2024ApJ...977L..13B,2024,"The Small Sizes and High Implied Densities of ""Little Red Dots"" with Balmer Breaks Could Explain Their Broad Emission Lines without an Active Galactic Nucleus","Baggen, Josephine F. W.",10.3847/2041-8213/ad90b8,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2024AstL...50..807K,2024,An Improved Photoionization Model for Analysis of H II Region Spectra for the Determination of Primordial <inline-formula><tex-math>{}(\boldsymbol{4}) </tex-math></inline-formula>He Abundance,"Kurichin, O. A.",10.1134/S1063773725700070,0,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2024MNRAS.527..603C,2024,"H I content of selected mid-infrared bright, starburst blue compact dwarf galaxies","Chandola, Yogesh",10.1093/mnras/stad3018,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2024MNRAS.527.4643M,2024,The contribution of supermassive black holes in stripped nuclei to the supermassive black hole population of UCDs and galaxy clusters,"Mayes, Rebecca J.",10.1093/mnras/stad3428,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2024MNRAS.527.5767B,2024,Measuring distances to galaxies with globular cluster velocity dispersions,"Beasley, Michael A.",10.1093/mnras/stad3541,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2024MNRAS.527.9118C,2024,New dwarf galaxy candidates in the sphere of influence of the Sombrero galaxy,"Crosby, Ethan",10.1093/mnras/stad3741,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2024MNRAS.529.4914P,2024,Origin of the correlation between stellar kinematics and globular cluster system richness in ultradiffuse galaxies,"Pfeffer, Joel",10.1093/mnras/stae850,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2024MNRAS.530.2907A,2024,Beyond the rings: Polar ring galaxy NGC 4262 and its globular cluster system,"Akhil, Krishna R.",10.1093/mnras/stae1061,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2024MNRAS.530.3787S,2024,The S-PLUS Fornax Project (S+FP): A first 12-band glimpse of the Fornax galaxy cluster,"Smith Castelli, A. V.",10.1093/mnras/stae840,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2024MNRAS.534..783J,2024,The PIPER survey. II. The globular cluster systems of low surface brightness galaxies in the Perseus cluster,"Janssens, Steven R.",10.1093/mnras/stae2137,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2024MNRAS.534.1634L,2024,Gravitational waves from mergers of Population III binary black holes: roles played by two evolution channels,"Liu, Boyuan",10.1093/mnras/stae2120,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2024MNRAS.535..299G,2024,"Early-type galaxy speciation: elliptical (E) and ellicular (ES) galaxies in the M<SUB>bh</SUB>-M<SUB>*,sph</SUB> diagram, and a merger-driven explanation for the origin of ES galaxies, antitruncated stellar discs in lenticular (S0) galaxies, and the Sérsicification of E galaxy light profiles","Graham, Alister W.",10.1093/mnras/stae2324,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2024PDU....4601579B,2024,Testing non-local gravity through Ultra-Diffuse Galaxies kinematics,"Bouchè, Filippo",10.1016/j.dark.2024.101579,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2024SCPMA..6709811L,2024,Intermediate-mass black holes in Green pea galaxies (IMBH-GP) I: A candidate sample from LAMOST and SDSS,"Lin, Ruqiu",10.1007/s11433-024-2412-3,0,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025A&A...693A.251E,2025,Euclid preparation: LVIII. Detecting extragalactic globular clusters in the Euclid survey,Euclid Collaboration,10.1051/0004-6361/202450851,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025A&A...695A.106T,2025,DES to HSC: Detecting low-surface-brightness galaxies in the Abell 194 cluster using transfer learning,"Thuruthipilly, H.",10.1051/0004-6361/202452934,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025A&A...696L...3S,2025,Extremely iron-poor O-type stars in the Magellanic Bridge,"Schösser, E. C.",10.1051/0004-6361/202554027,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025A&A...697A...1E,2025,Euclid: I. Overview of the Euclid mission,Euclid Collaboration,10.1051/0004-6361/202450810,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025A&A...697A.144B,2025,A new way to measure the distance to NGC1052-DF2,"Beasley, M. A.",10.1051/0004-6361/202452446,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025A&A...703A...9R,2025,The SRG/eROSITA all-sky survey: View of the Fornax galaxy cluster,"Reiprich, T. H.",10.1051/0004-6361/202554295,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025A&A...703A.184S,2025,Euclid: Early Release Observations ─ Interplay between dwarf galaxies and their globular clusters in the Perseus galaxy cluster,"Saifollahi, T.",10.1051/0004-6361/202554667,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025A&A...704A.113P,2025,Dwarf galaxies in the MATLAS survey: Hubble Space Telescope observations of nuclear star clusters,"Poulain, Mélina",10.1051/0004-6361/202554845,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025AJ....169..263L,2025,The S-PLUS Fornax Project (S+FP): Mapping Globular Clusters Systems within 5 Virial Radii around NGC 1399,"Lomelí-Núñez, Luis",10.3847/1538-3881/adbf0c,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025AJ....170..363K,2025,The Next Generation Virgo Cluster Survey (NGVS). XL. The Morphological Classification of Virgo Cluster Galaxies,"Kurzner, Max M.",10.3847/1538-3881/ae1616,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...978...55R,2025,Precise Measurements of the LMC Bar's Geometry with Gaia DR3 and a Novel Solution to Crowding-induced Incompleteness in Star Counting,"Rathore, Himansh",10.3847/1538-4357/ad93ae,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...978...93M,2025,The Globular Cluster System of the Virgo Cluster Ultradiffuse Galaxy VCC 615,"Mihos, J. Christopher",10.3847/1538-4357/ad99cd,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...978L..44R,2025,Ultradiffuse Dwarf Galaxies Hosting Pseudobulges,"Rong, Yu",10.3847/2041-8213/ad9ea6,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...979...85L,2025,Dependence of Metal Enrichment of Nuclear Star Clusters on Galaxy Stellar Mass,"Lyu, Wenhe",10.3847/1538-4357/ad9b0d,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...979L..33B,2025,Two Channels of Metal-rich Compact Stellar System Formation: Starbursts under High Ram Pressure versus Tidal Stripping,"Bian, Yuan",10.3847/2041-8213/ada912,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...980L..34L,2025,Discovery of Local Analogs to JWST's Little Red Dots,"Lin, Ruqiu",10.3847/2041-8213/adaaf1,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
