CCC 125 12 49 56.31 -41 15 35.97 17.14 3016 78 2.85 0.34 4.18 0.45 2880 35
CCC  61 12 48 39.68 -41 16 03.14 17.40 2871 62 3.72 0.12 4.14 0.17 2910 67
CCC  58 12 48 36.20 -41 26 21.38 17.94 3312 58 3.20 0.23 3.65 0.33 3304 60
CCC  22 12 48 02.05 -41 18 18.25 17.94 2467 38 2.79 0.09 3.90 0.13 2433 33
CCC  75 12 49 02.05 -41 15 33.26 18.06 1977 73 3.34 0.19 3.62 0.26 1958 71
CCC 150 12 50 24.36 -41 17 46.91 18.23 4408 99 2.49 0.15 3.07 0.20 4426 46
CCC 104 12 49 35.82 -41 25 36.59 18.25 3317 75 3.54 0.47 4.89 0.65 -
CCC 121 12 49 54.15 -41 20 21.39 18.36 4661 62 1.55 0.30 2.96 0.41 4739 70
CCC  52 12 48 29.99 -41 19 16.93 18.42 3768 73 3.59 0.27 4.05 0.37 -
CCC 123 12 49 56.03 -41 24 04.06 18.45 4729 46 2.42 0.14 2.75 0.20 4661 69
CCC  97 12 49 30.19 -41 25 14.93 18.70 2870 70 3.58 0.19 4.63 0.25 2818 30
CCC  72 12 48 58.81 -41 10 26.55 19.11 3218 54 2.74 0.27 2.20 0.37 -
CCC  16 12 47 54.58 -41 18 43.37 19.40 3891 58 2.78 0.19 3.27 0.27 -
