source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_excess_noise,astrometric_excess_noise_sig,ruwe,phot_g_n_obs,phot_bp_n_obs,phot_rp_n_obs,astrometric_matched_transits,astrometric_params_solved,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,non_single_star,radial_velocity,radial_velocity_error,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_variable_flag,ra_error,dec_error,dist_arcsec,object_id
6136562965158223488,198.27666196781058,-42.99380570149959,18.0433349609375,17.783693313598633,16.98130226135254,0.3210921514577054,0.22992399334907532,-3.7735629696044937,0.2730250060558319,-1.9765794485516794,0.1948779970407486,1.1786940097808838,11.054858207702637,1.5118869543075562,245,23,22,25,95,0.0007350000087171793,0.9990879893302917,0,,,163.36924743652344,60.35173034667969,42.360477447509766,2.0406439304351807,N,0.2349720001220703,0.153205007314682,0.004222146242021236,2020ApJ...899..140W_0000
6136477203253509632,198.32249049034013,-43.583197293820476,16.939943313598633,16.56275749206543,15.211464881896973,0.3407973559106927,0.34880301356315613,-0.4843252132619743,0.37076300382614136,0.4788447723420065,0.31922000646591187,2.7926619052886963,206.53482055664062,3.6447489261627197,258,33,33,28,95,0.9999679923057556,0.0,0,,,195.39212036132812,136.25238037109375,261.7977600097656,3.0947139263153076,N,0.3052859902381897,0.25616899132728577,0.0010742466669747262,2020ApJ...899..140W_0001
6136548980747174016,198.33421797178465,-43.11459259673494,19.597658157348633,18.415029525756836,16.943029403686523,,,,,,,4.470498085021973,93.93840026855469,,234,26,26,25,3,1.0,0.0,0,,,91.98968505859375,41.199790954589844,46.490238189697266,7.008959770202637,N,0.7119640111923218,0.5038359761238098,0.0009559072324734169,2020ApJ...899..140W_0002
6136471774414809856,198.3638422668101,-43.73572046279692,19.456523895263672,18.041231155395508,16.434642791748047,,,,,,,6.328452110290527,37.052833557128906,,240,33,33,26,3,1.0,0.0,0,,,97.53248596191406,63.04049301147461,163.60533142089844,9.47758674621582,N,0.789110004901886,0.6972619891166687,0.0020879135480432174,2020ApJ...899..140W_0003
6136492527696891392,198.36443329107854,-43.38243351600666,14.951922416687012,15.210153579711914,13.641707420349121,0.9551009760298248,0.3357360064983368,10.12457064248354,0.3897689878940582,7.225928738804605,0.26431500911712646,2.258280038833618,949.105712890625,2.0271170139312744,209,27,26,25,95,0.0,0.9999240040779114,0,-7.735311985015869,14.493338584899902,475.2994689941406,392.8186340332031,587.6930541992188,1.9787230491638184,N,0.29720398783683777,0.21295399963855743,0.01957035353888937,2020ApJ...899..140W_0004
6136490947148884096,198.3686187475762,-43.499625292445415,17.26420783996582,17.232704162597656,16.02935028076172,,,,,,,10.265109062194824,2923.776611328125,,170,28,27,26,3,0.00017100000695791095,0.9975969791412354,0,,,317.7430419921875,84.84800720214844,102.63536071777344,2.059237003326416,N,1.3667030334472656,0.9418119788169861,0.01541055728480196,2020ApJ...899..140W_0005
6136545785291487104,198.37676105535851,-43.14257397178529,18.78458595275879,18.7041015625,17.63995361328125,3.268564153518466,0.5323129892349243,-4.161246050208821,0.6222040057182312,0.3313507378349183,0.40581798553466797,3.7110939025878906,73.97579193115234,4.4617919921875,209,29,30,28,95,0.0012659999774768949,0.9987310171127319,0,,,289.001953125,34.1960563659668,58.449462890625,1.9890170097351074,N,0.5955550074577332,0.33928701281547546,0.005845676279293187,2020ApJ...899..140W_0006
6137349528288671744,198.42676177819143,-42.292762034630485,18.01476287841797,17.71366310119629,16.605958938598633,,,,,,,10.733418464660645,1305.5555419921875,,130,8,8,22,3,0.0005760000203736126,0.9967380166053772,0,,,169.35321044921875,56.23493576049805,98.79203033447266,2.497749090194702,N,1.2653629779815674,1.1119680404663086,0.009265854995980578,2020ApJ...899..140W_0007
6137346023598116096,198.45504425988895,-42.35971979971872,18.476926803588867,18.645349502563477,17.10991859436035,,,,,,,9.731627464294434,652.7599487304688,,191,26,24,27,3,6.500000017695129e-05,0.9931489825248718,0,,,115.13284301757812,48.2900390625,97.11654663085938,2.103580951690674,N,1.0261460542678833,0.9349669814109802,0.002842086354159894,2020ApJ...899..140W_0008
6136278603970116096,198.47870607927067,-43.888004772982015,20.045351028442383,18.466917037963867,16.878332138061523,,,,,,,9.661606788635254,33.2426872253418,,161,24,21,19,3,1.0,0.0,0,,,64.46160125732422,60.319271087646484,142.39630126953125,10.884157180786133,N,1.6746599674224854,1.3555680513381958,0.004916188623902409,2020ApJ...899..140W_0009
