field_id,ra,dec,n_total_candidates,n_model_c,density,status,glon,glat
270,33.86477253581227,-73.30323868618487,3066,1440,720.0,success,294.90358205989355,-42.49037188478494
271,305.75158861236304,-10.450670058639345,9207,3949,1974.5,success,33.75403300248833,-25.034896736588117
272,148.10856319517433,-14.452363330838452,2819,1526,763.0,success,251.09125859245168,29.883861680554187
274,210.28633010856265,60.297336314166394,1670,878,439.0,success,108.02602735518218,54.767552331123966
273,164.80740861488584,-33.89084589031149,4973,2451,1225.5,success,277.75119900782084,23.436132402081117
275,227.5199660322669,51.580380170960446,1685,920,460.0,success,85.65007791910753,54.30757750148521
277,204.21966664515915,7.397967058944768,1533,783,391.5,success,333.65108173968133,67.51818991143509
278,311.87438246045355,-15.390535559179929,5655,2681,1340.5,success,31.371893902729543,-32.494161036273155
276,156.95171120082313,-19.284803009130997,2455,1170,585.0,success,262.1855876419902,31.992841028231297
279,260.92217009009676,17.17776501434726,7433,3567,1783.5,success,39.37589139735142,26.89326394246654
280,136.8489648493285,5.306307820114943,2176,1143,571.5,success,224.66812219268297,32.51884004676349
281,3.4034812938169123,37.774208114628934,4000,2398,1199.0,success,114.72765051273775,-24.494240939701356
283,47.774392862615265,-5.371766367901192,1326,695,347.5,success,186.0440757910112,-50.28890786865748
282,289.5126880521794,-54.56488382045012,9236,4014,2007.0,success,342.59696508943796,-25.550499059141018
284,78.56785419731145,-12.560310304773452,3212,1781,890.5,success,213.60485990612716,-27.163006090631416
287,158.24761138869712,34.21195243046782,1411,816,408.0,success,190.90324149026853,59.5544470175477
285,352.71661091806135,-8.132039679283931,1469,766,383.0,success,74.08066643895023,-63.08170206773194
286,159.35555515906833,-29.505587705971656,4042,2224,1112.0,success,270.94624959657216,24.91620427670633
289,175.06199322434514,53.87144083352958,1654,1040,520.0,success,144.205271580883,60.21782849237468
291,166.5213256171529,-9.109137047716017,1643,812,406.0,success,264.1083599034427,45.67199574766115
288,316.83185990488516,-29.910827903354992,3601,1743,871.5,success,15.701944967763575,-41.182123072719385
290,21.69660519447662,-57.67884668655785,1832,946,473.0,success,293.80367163567234,-58.818548081804146
293,349.4506545565286,16.879321376506024,2127,1115,557.5,success,92.9454935620066,-40.47769150792674
294,22.31190511779088,-8.720197433867277,1852,1126,563.0,success,150.5961793395606,-69.53522566247293
